step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,36.3,system,
10000,12.654,1.142,0.678,40.775,process_tree,1.44,process_tree,590.78
20000,20.821,1.142,0.691,44.85833333333333,process_tree,1.45,process_tree,593.13
30000,28.864,1.282,0.841,45.375,process_tree,1.45,process_tree,593.32
40000,36.872,1.364,0.807,40.30833333333333,process_tree,1.45,process_tree,593.86
50000,44.938,1.358,0.803,62.083333333333336,process_tree,1.46,process_tree,596.01
60000,52.89,1.394,0.797,36.725,process_tree,1.45,process_tree,594.42
70000,60.808,1.484,0.826,45.48333333333333,process_tree,1.45,process_tree,592.27
80000,68.626,1.554,0.901,37.03333333333333,process_tree,1.45,process_tree,594.43
90000,79.569,1.732,1.121,54.19166666666666,process_tree,1.46,process_tree,595.43
100000,87.61,1.735,1.008,45.10833333333333,process_tree,1.46,process_tree,595.52
110000,95.514,1.875,1.089,46.28333333333333,process_tree,1.45,process_tree,593.54
120000,103.282,1.972,1.193,63.90833333333333,process_tree,1.46,process_tree,595.75
130000,111.022,2.186,1.264,43.9,process_tree,1.46,process_tree,595.66
140000,118.745,2.245,1.347,50.125,process_tree,1.46,process_tree,595.88
150000,126.513,2.401,1.456,41.5,process_tree,1.45,process_tree,593.82
160000,134.173,2.399,1.496,56.84166666666666,process_tree,1.46,process_tree,596.2
170000,141.778,2.72,1.812,35.541666666666664,process_tree,1.45,process_tree,594.76
180000,152.578,2.711,1.794,62.11666666666667,process_tree,1.46,process_tree,596.62
190000,160.472,2.988,2.159,55.76666666666667,process_tree,1.46,process_tree,597.3
200000,167.936,3.452,2.507,47.099999999999994,process_tree,1.46,process_tree,598.0
210000,175.458,3.556,2.357,33.63333333333333,process_tree,1.46,process_tree,598.08
220000,183.064,3.471,2.74,48.30833333333334,process_tree,1.46,process_tree,596.57
230000,190.561,3.593,2.646,44.98333333333333,process_tree,1.46,process_tree,598.3
240000,198.267,3.575,2.826,37.93333333333333,process_tree,1.46,process_tree,598.4
250000,205.767,4.004,3.155,53.449999999999996,process_tree,1.46,process_tree,598.8
260000,213.302,4.726,4.373,33.141666666666666,process_tree,1.46,process_tree,599.14
270000,223.789,4.798,3.813,46.51666666666667,process_tree,1.47,process_tree,601.51
280000,231.278,5.026,4.471,45.383333333333326,process_tree,1.47,process_tree,600.91
290000,238.863,5.152,4.329,40.55833333333333,process_tree,1.47,process_tree,600.9
300000,246.294,5.847,4.92,50.925000000000004,process_tree,1.47,process_tree,601.66
