step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,36.2,system,
10000,13.039,1.152,0.728,42.925000000000004,process_tree,1.39,process_tree,569.68
20000,21.646,1.458,0.9,33.141666666666666,process_tree,1.4,process_tree,572.06
30000,30.124,2.17,1.409,35.875,process_tree,1.4,process_tree,572.46
40000,38.467,2.925,2.232,35.53333333333333,process_tree,1.4,process_tree,573.3
50000,46.487,3.833,3.111,45.166666666666664,process_tree,1.4,process_tree,573.45
60000,54.804,4.492,3.92,33.43333333333333,process_tree,1.4,process_tree,574.11
70000,62.714,5.662,4.866,36.725,process_tree,1.4,process_tree,574.19
80000,70.841,6.476,7.17,33.141666666666666,process_tree,1.4,process_tree,574.68
90000,78.88,7.837,7.432,32.25,process_tree,1.41,process_tree,574.9
100000,86.855,8.507,7.165,48.84166666666666,process_tree,1.41,process_tree,575.29
110000,95.217,12.095,14.916,22.675,process_tree,1.41,process_tree,575.7
120000,103.074,10.757,9.443,66.575,process_tree,1.41,process_tree,575.19
130000,111.081,10.319,9.215,42.61666666666667,process_tree,1.41,process_tree,575.15
140000,119.096,10.795,9.328,33.141666666666666,process_tree,1.41,process_tree,575.47
150000,127.007,8.163,6.747,43.89166666666667,process_tree,1.41,process_tree,575.52
160000,134.791,11.186,9.217,33.449999999999996,process_tree,1.41,process_tree,575.41
170000,142.795,11.984,8.993,32.25,process_tree,1.41,process_tree,575.55
180000,150.532,9.826,7.185,44.98333333333333,process_tree,1.41,process_tree,575.15
190000,158.484,12.448,7.196,45.04999999999999,process_tree,1.41,process_tree,575.13
200000,166.457,14.552,9.034,59.208333333333336,process_tree,1.41,process_tree,575.64
210000,174.605,22.193,13.875,34.641666666666666,process_tree,1.41,process_tree,575.47
220000,182.191,32.768,24.237,47.78333333333333,process_tree,1.41,process_tree,575.87
230000,189.746,35.193,26.714,35.833333333333336,process_tree,1.41,process_tree,575.88
240000,197.664,32.589,25.665,33.449999999999996,process_tree,1.41,process_tree,575.77
250000,205.587,13.083,7.744,44.975,process_tree,1.41,process_tree,576.04
260000,213.162,25.44,11.173,34.63333333333333,process_tree,1.41,process_tree,576.01
270000,221.072,21.596,14.622,45.383333333333326,process_tree,1.41,process_tree,576.28
280000,228.783,18.558,10.285,42.916666666666664,process_tree,1.41,process_tree,576.38
290000,236.482,31.408,23.114,44.17499999999999,process_tree,1.41,process_tree,575.95
300000,244.33,29.208,23.155,33.449999999999996,process_tree,1.41,process_tree,576.25
310000,252.385,22.663,19.241,50.17499999999999,process_tree,1.41,process_tree,576.2
