step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,36.1,system,
10000,13.6,1.214,0.719,39.391666666666666,process_tree,1.44,process_tree,591.04
20000,22.551,1.226,0.723,34.333333333333336,process_tree,1.45,process_tree,593.76
30000,31.45,1.333,0.795,51.19166666666666,process_tree,1.45,process_tree,594.43
40000,40.262,1.571,0.904,51.333333333333336,process_tree,1.45,process_tree,594.86
50000,49.122,1.851,1.202,42.699999999999996,process_tree,1.46,process_tree,595.53
60000,57.787,2.217,1.387,45.80833333333334,process_tree,1.45,process_tree,595.08
70000,66.437,2.616,1.832,51.35833333333333,process_tree,1.46,process_tree,595.56
80000,74.906,4.261,3.329,39.1,process_tree,1.46,process_tree,596.32
90000,83.192,7.796,7.288,35.824999999999996,process_tree,1.46,process_tree,595.84
100000,91.518,12.473,14.938,30.783333333333335,process_tree,1.46,process_tree,595.75
110000,99.852,22.81,18.287,45.35833333333333,process_tree,1.46,process_tree,596.62
120000,107.881,67.183,35.974,48.85833333333333,process_tree,1.46,process_tree,596.65
130000,115.909,85.515,28.253,55.008333333333326,process_tree,1.46,process_tree,596.87
140000,124.146,91.982,16.326,50.15,process_tree,1.46,process_tree,596.75
150000,132.412,93.76,18.72,46.18333333333333,process_tree,1.46,process_tree,597.02
160000,140.359,100.0,0.0,38.833333333333336,process_tree,1.46,process_tree,596.94
170000,148.601,100.0,0.0,38.166666666666664,process_tree,1.46,process_tree,597.02
180000,156.686,84.554,30.006,32.25,process_tree,1.46,process_tree,596.75
190000,164.738,93.757,15.292,22.7,process_tree,1.46,process_tree,596.96
200000,176.554,85.247,28.813,38.18333333333333,process_tree,1.46,process_tree,597.29
210000,184.737,100.0,0.0,66.625,process_tree,1.46,process_tree,597.3
220000,192.819,98.74,3.78,39.425,process_tree,1.46,process_tree,597.7
230000,200.923,90.35,18.026,47.724999999999994,process_tree,1.46,process_tree,597.81
240000,209.169,96.245,11.873,60.94166666666666,process_tree,1.46,process_tree,597.45
250000,217.248,100.0,0.0,64.25,process_tree,1.46,process_tree,597.64
260000,225.369,100.0,0.0,70.175,process_tree,1.46,process_tree,597.8
270000,234.068,100.0,0.0,45.291666666666664,process_tree,1.46,process_tree,597.65
280000,242.049,99.389,1.728,57.30833333333334,process_tree,1.46,process_tree,597.75
290000,250.241,100.0,0.0,63.03333333333334,process_tree,1.46,process_tree,597.81
