step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,36.2,system,
10000,17.549,1.863,1.402,33.449999999999996,process_tree,1.39,process_tree,569.38
20000,31.22,7.555,7.472,33.141666666666666,process_tree,1.4,process_tree,571.68
30000,45.023,18.467,18.583,33.15,process_tree,1.4,process_tree,571.98
40000,57.704,32.558,27.503,33.24166666666667,process_tree,1.4,process_tree,571.85
50000,70.885,44.765,36.092,33.141666666666666,process_tree,1.4,process_tree,572.05
60000,83.683,69.641,44.237,33.449999999999996,process_tree,1.4,process_tree,572.07
70000,96.993,89.267,30.358,33.449999999999996,process_tree,1.4,process_tree,572.11
80000,110.236,50.543,49.457,33.449999999999996,process_tree,1.4,process_tree,572.53
90000,123.021,77.092,41.824,33.141666666666666,process_tree,1.4,process_tree,572.14
100000,136.395,22.275,38.511,33.449999999999996,process_tree,1.4,process_tree,572.12
110000,149.566,65.1,44.926,33.141666666666666,process_tree,1.4,process_tree,572.13
120000,162.332,47.363,47.814,33.141666666666666,process_tree,1.4,process_tree,572.14
130000,175.881,54.764,46.332,33.141666666666666,process_tree,1.4,process_tree,572.48
140000,189.125,27.087,43.135,35.53333333333333,process_tree,1.4,process_tree,572.3
150000,201.909,78.721,40.746,33.449999999999996,process_tree,1.4,process_tree,572.14
160000,215.132,37.874,46.753,33.449999999999996,process_tree,1.4,process_tree,572.15
170000,227.831,48.289,46.034,32.25,process_tree,1.4,process_tree,572.21
180000,241.167,25.5,42.266,33.449999999999996,process_tree,1.4,process_tree,572.21
190000,254.342,64.111,46.994,33.333333333333336,process_tree,1.4,process_tree,572.46
200000,267.668,75.338,42.717,33.449999999999996,process_tree,1.4,process_tree,572.23
210000,280.462,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.22
220000,293.841,67.654,44.63,33.141666666666666,process_tree,1.4,process_tree,572.34
230000,307.173,53.89,48.261,33.449999999999996,process_tree,1.4,process_tree,572.68
240000,319.974,58.583,42.512,33.141666666666666,process_tree,1.4,process_tree,572.45
250000,333.305,73.827,43.411,31.25,process_tree,1.4,process_tree,572.45
260000,346.029,71.992,38.789,33.449999999999996,process_tree,1.4,process_tree,572.46
270000,359.355,62.5,43.054,33.141666666666666,process_tree,1.4,process_tree,572.63
280000,372.707,100.0,0.0,32.25,process_tree,1.4,process_tree,572.55
290000,385.307,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.46
300000,398.488,100.0,0.0,32.291666666666664,process_tree,1.4,process_tree,572.46
310000,411.624,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.34
320000,424.867,92.183,25.925,33.141666666666666,process_tree,1.4,process_tree,572.34
330000,438.169,87.675,32.609,32.25,process_tree,1.4,process_tree,572.4
340000,451.296,100.0,0.0,31.058333333333334,process_tree,1.4,process_tree,572.43
350000,463.984,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.34
360000,477.277,84.746,35.773,33.449999999999996,process_tree,1.4,process_tree,572.34
370000,490.42,75.117,43.099,32.25,process_tree,1.4,process_tree,572.34
380000,503.674,75.231,42.901,33.449999999999996,process_tree,1.4,process_tree,572.34
390000,516.835,58.617,48.966,33.449999999999996,process_tree,1.4,process_tree,572.65
400000,529.675,52.955,46.012,33.141666666666666,process_tree,1.4,process_tree,572.34
410000,542.908,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.34
420000,556.177,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.34
430000,569.333,82.145,37.875,33.333333333333336,process_tree,1.4,process_tree,572.5
440000,582.144,55.795,48.884,33.141666666666666,process_tree,1.4,process_tree,572.34
450000,595.474,23.227,38.265,33.141666666666666,process_tree,1.4,process_tree,572.34
460000,608.29,31.526,41.804,33.449999999999996,process_tree,1.4,process_tree,572.43
470000,621.496,73.86,39.083,33.449999999999996,process_tree,1.4,process_tree,572.43
480000,634.453,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.49
490000,647.802,31.725,45.377,33.449999999999996,process_tree,1.4,process_tree,572.51
500000,661.085,32.495,46.119,35.81666666666666,process_tree,1.43,process_tree,583.39
510000,674.036,85.893,34.555,33.449999999999996,process_tree,1.43,process_tree,584.22
520000,687.516,100.0,0.0,31.958333333333332,process_tree,1.43,process_tree,584.36
530000,700.376,100.0,0.0,33.449999999999996,process_tree,1.43,process_tree,584.61
540000,713.715,78.322,40.555,31.958333333333332,process_tree,1.43,process_tree,584.77
550000,726.493,80.36,39.28,33.449999999999996,process_tree,1.43,process_tree,584.64
560000,739.957,100.0,0.0,33.449999999999996,process_tree,1.43,process_tree,584.64
570000,753.059,57.857,40.493,33.141666666666666,process_tree,1.43,process_tree,584.79
580000,765.736,34.415,36.084,33.141666666666666,process_tree,1.43,process_tree,584.64
590000,779.189,100.0,0.0,33.141666666666666,process_tree,1.43,process_tree,584.64
600000,792.533,89.336,28.343,33.333333333333336,process_tree,1.43,process_tree,584.9
