step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.1,system,
10000,17.628,1.549,1.005,33.24166666666667,process_tree,1.39,process_tree,569.8
20000,30.143,4.222,4.504,31.858333333333334,process_tree,1.4,process_tree,572.5
30000,42.362,100.0,0.0,47.875,process_tree,1.4,process_tree,573.17
40000,53.762,64.055,47.553,33.449999999999996,process_tree,1.4,process_tree,573.13
50000,66.021,18.802,38.281,33.24166666666667,process_tree,1.4,process_tree,573.54
60000,78.223,22.349,41.024,35.824999999999996,process_tree,1.4,process_tree,573.3
70000,90.473,85.793,34.8,40.175000000000004,process_tree,1.4,process_tree,573.13
80000,101.868,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.95
90000,114.13,81.927,38.338,49.19166666666666,process_tree,1.4,process_tree,573.72
100000,125.725,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,573.66
110000,138.834,92.338,26.54,33.6,process_tree,1.4,process_tree,573.87
120000,151.111,75.144,43.053,34.05833333333333,process_tree,1.4,process_tree,574.09
130000,162.665,66.928,46.772,33.6,process_tree,1.4,process_tree,573.91
140000,174.888,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,574.28
150000,187.108,100.0,0.0,40.18333333333333,process_tree,1.4,process_tree,574.28
160000,198.482,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.97
170000,210.621,92.323,26.594,31.858333333333334,process_tree,1.4,process_tree,573.91
180000,222.912,75.125,43.085,36.166666666666664,process_tree,1.4,process_tree,574.16
190000,234.294,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.97
200000,246.563,100.0,0.0,37.44166666666666,process_tree,1.4,process_tree,574.28
210000,258.125,66.742,47.034,33.24166666666667,process_tree,1.4,process_tree,573.94
220000,270.512,85.757,34.888,33.141666666666666,process_tree,1.4,process_tree,573.98
230000,282.83,100.0,0.0,42.93333333333334,process_tree,1.4,process_tree,574.16
240000,294.264,92.315,26.62,33.24166666666667,process_tree,1.4,process_tree,574.19
250000,306.393,92.362,26.46,31.858333333333334,process_tree,1.4,process_tree,574.34
260000,318.619,90.01,29.97,32.824999999999996,process_tree,1.4,process_tree,574.46
270000,329.969,100.0,0.0,32.25,process_tree,1.4,process_tree,574.11
280000,342.118,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,574.34
290000,354.244,100.0,0.0,38.4,process_tree,1.4,process_tree,574.34
300000,365.686,92.315,26.62,33.141666666666666,process_tree,1.4,process_tree,574.36
310000,377.802,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,574.17
320000,390.001,22.172,15.473,31.433333333333334,process_tree,1.4,process_tree,574.12
330000,402.28,85.779,34.835,37.199999999999996,process_tree,1.4,process_tree,574.3
340000,413.589,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,574.09
350000,425.835,85.729,34.958,33.63333333333333,process_tree,1.4,process_tree,574.14
360000,438.057,100.0,0.0,34.63333333333333,process_tree,1.4,process_tree,574.27
370000,449.431,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,574.08
380000,461.629,85.85,34.661,31.65833333333333,process_tree,1.4,process_tree,574.27
390000,474.082,100.0,0.0,38.550000000000004,process_tree,1.4,process_tree,574.3
400000,485.376,72.873,44.3,33.24166666666667,process_tree,1.4,process_tree,574.42
410000,497.655,66.878,46.843,34.833333333333336,process_tree,1.4,process_tree,574.35
420000,510.24,90.936,28.662,59.5,process_tree,1.4,process_tree,574.3
430000,521.529,80.073,39.854,33.449999999999996,process_tree,1.4,process_tree,574.3
440000,533.982,100.0,0.0,43.041666666666664,process_tree,1.4,process_tree,574.3
450000,545.447,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,574.07
460000,557.644,80.02,39.96,34.43333333333333,process_tree,1.4,process_tree,574.46
470000,570.01,71.429,45.175,71.59166666666667,process_tree,1.4,process_tree,574.46
480000,581.383,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,574.11
490000,593.552,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,574.34
500000,605.973,100.0,0.0,45.708333333333336,process_tree,1.43,process_tree,583.88
510000,617.451,100.0,0.0,33.6,process_tree,1.43,process_tree,584.67
520000,629.682,100.0,0.0,27.224999999999998,process_tree,1.43,process_tree,585.15
