step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,32.1,system,
10000,9.403,1.129,0.666,54.775,process_tree,1.44,process_tree,588.07
20000,14.447,1.202,0.75,47.01666666666667,process_tree,1.5,process_tree,611.98
30000,19.439,1.173,0.689,52.508333333333326,process_tree,1.55,process_tree,633.79
40000,24.373,1.227,0.691,37.925000000000004,process_tree,1.6,process_tree,654.69
50000,29.275,1.209,0.773,45.26666666666667,process_tree,1.65,process_tree,676.85
60000,34.34,1.134,0.621,71.65833333333333,process_tree,1.71,process_tree,700.61
70000,39.156,1.193,0.741,45.05833333333334,process_tree,1.76,process_tree,720.44
80000,44.275,1.19,0.743,33.824999999999996,process_tree,1.81,process_tree,741.71
90000,49.496,1.209,0.73,57.25,process_tree,1.87,process_tree,763.3
100000,55.326,1.142,0.634,45.35833333333333,process_tree,1.92,process_tree,785.43
110000,60.139,1.207,0.768,35.824999999999996,process_tree,1.98,process_tree,809.09
120000,65.026,1.227,0.696,34.641666666666666,process_tree,2.03,process_tree,830.0
130000,70.209,1.154,0.714,54.458333333333336,process_tree,2.08,process_tree,849.49
140000,75.051,1.174,0.675,47.475,process_tree,2.13,process_tree,871.86
150000,79.939,1.151,0.619,32.24166666666667,process_tree,2.18,process_tree,893.38
160000,85.125,1.197,0.726,34.333333333333336,process_tree,2.24,process_tree,915.01
170000,89.975,1.157,0.667,41.8,process_tree,2.29,process_tree,936.75
180000,94.822,1.17,0.642,39.375,process_tree,2.34,process_tree,958.66
190000,99.627,1.166,0.684,54.65833333333333,process_tree,2.4,process_tree,980.27
200000,104.409,1.17,0.682,51.26666666666666,process_tree,2.45,process_tree,1001.91
210000,109.704,1.217,0.739,37.0,process_tree,2.5,process_tree,1022.91
220000,114.581,1.147,0.64,43.800000000000004,process_tree,2.55,process_tree,1045.12
230000,119.538,1.118,0.67,61.883333333333326,process_tree,2.61,process_tree,1067.24
240000,124.373,1.189,0.682,46.291666666666664,process_tree,2.66,process_tree,1088.58
250000,129.216,1.208,0.738,62.06666666666666,process_tree,2.71,process_tree,1110.25
260000,134.648,1.236,0.707,48.94166666666666,process_tree,2.77,process_tree,1132.06
270000,139.451,1.259,0.811,37.625,process_tree,2.82,process_tree,1153.92
280000,144.264,1.192,0.702,48.958333333333336,process_tree,2.87,process_tree,1175.26
290000,149.13,1.202,0.744,47.475,process_tree,2.93,process_tree,1196.85
300000,153.957,1.203,0.687,53.71666666666667,process_tree,2.98,process_tree,1218.31
310000,158.823,1.144,0.701,44.98333333333333,process_tree,3.03,process_tree,1240.93
320000,164.4,1.133,0.652,35.81666666666666,process_tree,3.09,process_tree,1262.23
330000,169.243,1.158,0.688,54.65,process_tree,3.14,process_tree,1283.95
340000,319.832,1.181,0.643,34.63333333333333,process_tree,1.9,process_tree,778.36
350000,324.684,1.265,0.791,56.133333333333326,process_tree,1.85,process_tree,755.41
360000,329.45,1.355,0.792,52.541666666666664,process_tree,1.86,process_tree,759.33
370000,334.303,1.243,0.662,49.86666666666667,process_tree,1.88,process_tree,768.73
380000,339.097,1.317,0.76,38.15,process_tree,1.89,process_tree,774.51
390000,343.955,1.258,0.76,45.0,process_tree,1.92,process_tree,785.09
400000,348.929,1.293,0.83,37.0,process_tree,1.95,process_tree,796.42
410000,353.688,1.311,0.799,35.81666666666666,process_tree,1.97,process_tree,805.16
420000,358.725,1.286,0.758,61.13333333333333,process_tree,2.01,process_tree,820.95
430000,363.537,1.289,0.762,36.725,process_tree,2.06,process_tree,842.91
440000,368.683,1.281,0.73,39.35,process_tree,2.09,process_tree,855.19
450000,373.465,1.269,0.704,47.625,process_tree,2.11,process_tree,863.66
460000,378.24,1.263,0.787,33.44166666666666,process_tree,2.16,process_tree,885.51
470000,383.446,1.329,0.807,38.21666666666666,process_tree,2.1,process_tree,860.8
480000,388.242,1.24,0.719,33.44166666666667,process_tree,2.16,process_tree,881.91
490000,393.123,1.354,0.88,47.491666666666674,process_tree,2.21,process_tree,903.89
500000,397.979,1.309,0.758,42.99166666666667,process_tree,2.29,process_tree,937.98
510000,403.272,1.293,0.752,47.61666666666667,process_tree,2.35,process_tree,959.7
520000,408.123,1.272,0.787,46.1,process_tree,2.4,process_tree,981.32
530000,412.97,1.286,0.794,37.00833333333333,process_tree,2.45,process_tree,1002.96
540000,417.726,1.262,0.741,36.958333333333336,process_tree,2.5,process_tree,1024.04
550000,423.106,1.343,0.787,33.449999999999996,process_tree,2.56,process_tree,1046.66
560000,427.913,1.321,0.767,55.96666666666667,process_tree,2.61,process_tree,1068.31
570000,432.76,1.305,0.812,52.541666666666664,process_tree,2.66,process_tree,1089.61
580000,437.654,1.241,0.752,39.391666666666666,process_tree,2.72,process_tree,1111.97
590000,442.418,1.289,0.708,52.25,process_tree,2.77,process_tree,1133.27
600000,447.285,1.214,0.765,46.49166666666667,process_tree,2.82,process_tree,1154.88
610000,452.749,1.308,0.774,41.516666666666666,process_tree,2.88,process_tree,1176.65
620000,457.589,1.274,0.718,40.61666666666667,process_tree,2.93,process_tree,1198.51
