step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.6,system,
10000,14.99,1.406,0.998,33.24166666666667,process_tree,1.39,process_tree,569.9
20000,24.58,3.432,2.749,33.449999999999996,process_tree,1.4,process_tree,572.4
30000,33.867,15.248,17.172,31.858333333333334,process_tree,1.4,process_tree,573.16
40000,43.029,44.7,40.929,35.96666666666666,process_tree,1.4,process_tree,573.16
50000,52.255,91.742,27.39,49.291666666666664,process_tree,1.4,process_tree,573.14
60000,60.963,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.03
70000,70.277,69.771,37.477,33.6,process_tree,1.4,process_tree,573.08
80000,79.505,58.446,41.675,34.525,process_tree,1.4,process_tree,573.14
90000,88.772,100.0,0.0,34.833333333333336,process_tree,1.4,process_tree,573.2
100000,97.478,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.15
110000,106.833,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,573.16
120000,115.994,100.0,0.0,30.474999999999998,process_tree,1.4,process_tree,573.21
130000,125.246,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,573.17
140000,134.531,100.0,0.0,34.833333333333336,process_tree,1.4,process_tree,573.26
150000,143.126,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.21
160000,152.417,100.0,0.0,29.09166666666667,process_tree,1.4,process_tree,573.23
170000,161.771,92.392,26.354,33.449999999999996,process_tree,1.4,process_tree,573.28
180000,170.962,93.975,18.331,33.24166666666667,process_tree,1.4,process_tree,573.33
190000,181.04,71.02,37.241,47.90833333333333,process_tree,1.4,process_tree,573.33
200000,189.739,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.29
210000,198.903,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,573.29
220000,208.137,100.0,0.0,33.24166666666667,process_tree,1.4,process_tree,573.3
230000,217.62,92.523,25.901,33.24166666666667,process_tree,1.4,process_tree,573.34
240000,226.863,100.0,0.0,36.21666666666666,process_tree,1.4,process_tree,573.46
250000,236.104,100.0,0.0,36.824999999999996,process_tree,1.4,process_tree,573.46
260000,244.744,91.045,28.317,33.24166666666667,process_tree,1.4,process_tree,573.42
270000,253.923,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.43
280000,263.035,100.0,0.0,32.25,process_tree,1.4,process_tree,573.44
290000,272.314,100.0,0.0,32.25,process_tree,1.4,process_tree,573.48
300000,281.354,100.0,0.0,37.458333333333336,process_tree,1.4,process_tree,573.48
310000,290.091,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.53
