step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,34.5,system,
10000,10.24,1.185,0.746,62.791666666666664,process_tree,1.43,process_tree,586.54
20000,15.742,1.174,0.676,36.71666666666666,process_tree,1.49,process_tree,609.68
30000,21.152,1.184,0.757,37.925,process_tree,1.55,process_tree,632.65
40000,26.734,1.157,0.708,53.275,process_tree,1.6,process_tree,653.55
50000,32.073,1.231,0.76,46.475,process_tree,1.65,process_tree,675.85
60000,37.568,1.187,0.676,58.083333333333336,process_tree,1.71,process_tree,699.32
70000,42.882,1.187,0.685,32.225,process_tree,1.76,process_tree,720.26
80000,48.433,1.165,0.736,48.94166666666666,process_tree,1.82,process_tree,742.57
90000,53.693,1.204,0.67,38.21666666666666,process_tree,1.87,process_tree,765.26
100000,59.295,1.199,0.671,51.208333333333336,process_tree,1.92,process_tree,786.86
110000,64.648,1.189,0.74,34.641666666666666,process_tree,1.98,process_tree,810.2
120000,69.961,1.225,0.745,45.96666666666666,process_tree,2.02,process_tree,827.77
130000,75.551,1.231,0.742,39.375,process_tree,2.07,process_tree,848.3
140000,80.906,1.145,0.676,34.358333333333334,process_tree,2.13,process_tree,870.34
150000,86.199,1.171,0.697,37.125,process_tree,2.18,process_tree,891.36
160000,91.91,1.17,0.693,37.94166666666667,process_tree,2.23,process_tree,913.54
170000,97.259,1.166,0.744,37.00833333333333,process_tree,2.29,process_tree,934.89
180000,102.594,1.172,0.71,46.574999999999996,process_tree,2.34,process_tree,957.08
190000,107.846,1.185,0.669,26.058333333333337,process_tree,2.39,process_tree,977.98
200000,113.246,1.201,0.719,22.491666666666664,process_tree,2.44,process_tree,999.88
210000,119.0,1.168,0.688,35.824999999999996,process_tree,2.5,process_tree,1022.21
220000,124.4,1.138,0.706,37.225,process_tree,2.55,process_tree,1044.02
230000,129.625,1.223,0.755,45.35833333333334,process_tree,2.61,process_tree,1065.67
240000,135.019,1.28,0.809,37.016666666666666,process_tree,2.66,process_tree,1086.68
250000,140.345,1.131,0.687,64.44166666666666,process_tree,2.71,process_tree,1109.34
260000,146.279,1.188,0.696,53.449999999999996,process_tree,2.76,process_tree,1130.66
270000,151.453,1.135,0.653,48.86666666666667,process_tree,2.82,process_tree,1152.16
280000,156.792,1.184,0.698,46.55833333333334,process_tree,2.87,process_tree,1174.01
290000,162.002,1.227,0.771,51.34166666666666,process_tree,2.92,process_tree,1196.11
300000,167.257,1.217,0.73,42.916666666666664,process_tree,2.98,process_tree,1217.64
310000,172.463,1.189,0.795,41.516666666666666,process_tree,3.03,process_tree,1238.55
320000,179.163,1.195,0.713,42.275,process_tree,3.08,process_tree,1261.02
330000,184.849,1.234,0.744,38.208333333333336,process_tree,3.14,process_tree,1282.94
340000,190.136,1.207,0.704,38.19166666666667,process_tree,3.19,process_tree,1304.2
350000,195.295,1.192,0.73,45.083333333333336,process_tree,3.24,process_tree,1326.03
360000,200.587,1.189,0.742,46.56666666666666,process_tree,3.29,process_tree,1347.75
370000,205.762,1.18,0.679,45.375,process_tree,3.35,process_tree,1369.55
380000,210.987,1.198,0.754,46.19166666666666,process_tree,3.4,process_tree,1391.23
390000,216.119,1.222,0.754,26.941666666666666,process_tree,3.45,process_tree,1412.55
400000,222.251,1.161,0.711,36.99166666666667,process_tree,3.51,process_tree,1434.29
410000,227.415,1.211,0.766,52.05833333333334,process_tree,3.56,process_tree,1456.86
420000,443.571,1.438,0.872,53.574999999999996,process_tree,1.95,process_tree,796.04
430000,448.725,1.453,0.862,35.81666666666666,process_tree,1.94,process_tree,792.44
440000,453.804,1.412,0.822,46.56666666666666,process_tree,1.96,process_tree,799.97
450000,458.983,1.464,0.957,55.675000000000004,process_tree,1.97,process_tree,807.62
460000,464.135,1.423,0.882,39.375,process_tree,2.0,process_tree,816.67
470000,469.186,1.408,0.909,32.1,process_tree,2.02,process_tree,828.27
480000,474.364,1.549,1.018,40.25,process_tree,2.05,process_tree,839.77
490000,479.719,1.451,0.91,44.199999999999996,process_tree,2.08,process_tree,849.45
500000,484.854,1.434,0.799,35.225,process_tree,2.13,process_tree,869.43
510000,490.508,1.43,0.885,32.23333333333333,process_tree,2.17,process_tree,889.68
520000,495.766,1.475,0.883,54.675000000000004,process_tree,2.21,process_tree,903.75
530000,500.817,1.454,0.85,39.34166666666667,process_tree,2.23,process_tree,910.41
540000,506.338,1.373,0.933,60.225,process_tree,2.23,process_tree,912.72
550000,511.399,1.461,0.981,50.15,process_tree,2.16,process_tree,883.95
560000,516.483,1.396,0.897,37.916666666666664,process_tree,2.21,process_tree,905.43
570000,522.05,1.474,1.019,47.449999999999996,process_tree,2.27,process_tree,926.89
580000,527.174,1.488,0.942,45.541666666666664,process_tree,2.32,process_tree,949.14
590000,532.322,1.419,0.846,49.86666666666667,process_tree,2.37,process_tree,970.36
600000,537.433,1.406,0.872,62.06666666666666,process_tree,2.43,process_tree,992.46
610000,543.087,1.39,0.857,63.01666666666667,process_tree,2.48,process_tree,1013.86
620000,548.218,1.401,0.887,53.449999999999996,process_tree,2.53,process_tree,1036.34
630000,553.376,1.434,0.935,50.14166666666667,process_tree,2.59,process_tree,1057.69
640000,558.587,1.503,0.966,48.925000000000004,process_tree,2.64,process_tree,1079.27
650000,563.704,1.457,0.912,48.71666666666666,process_tree,2.69,process_tree,1100.93
660000,569.5,1.406,0.855,53.291666666666664,process_tree,2.74,process_tree,1122.71
670000,574.648,1.408,0.868,36.725,process_tree,2.8,process_tree,1143.7
680000,579.819,1.461,0.915,54.78333333333333,process_tree,2.85,process_tree,1165.98
