step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,14.886,1.193,0.686,37.9,process_tree,1.4,process_tree,572.07
20000,25.192,1.691,0.895,40.55833333333333,process_tree,1.41,process_tree,574.79
30000,35.303,2.935,2.16,71.36666666666666,process_tree,1.41,process_tree,575.75
40000,45.385,4.716,4.298,35.800000000000004,process_tree,1.41,process_tree,576.5
50000,55.594,10.411,8.851,34.333333333333336,process_tree,1.41,process_tree,577.91
60000,65.182,34.942,33.388,33.141666666666666,process_tree,1.41,process_tree,578.69
70000,75.035,29.253,27.084,76.06666666666666,process_tree,1.41,process_tree,578.74
80000,85.205,26.635,29.35,33.141666666666666,process_tree,1.42,process_tree,578.98
90000,95.076,38.293,31.275,32.25,process_tree,1.42,process_tree,579.34
100000,104.602,35.113,32.355,38.18333333333333,process_tree,1.42,process_tree,579.3
110000,114.513,58.786,35.377,33.449999999999996,process_tree,1.42,process_tree,578.9
120000,124.44,34.261,36.51,33.449999999999996,process_tree,1.42,process_tree,579.43
130000,134.039,41.017,37.297,33.449999999999996,process_tree,1.42,process_tree,579.55
140000,143.989,51.627,24.266,33.449999999999996,process_tree,1.42,process_tree,579.11
150000,153.937,42.673,33.293,32.25,process_tree,1.42,process_tree,579.1
160000,163.375,51.494,28.28,31.058333333333334,process_tree,1.42,process_tree,579.31
170000,173.579,92.169,26.385,33.141666666666666,process_tree,1.42,process_tree,579.42
180000,183.136,68.709,41.753,33.141666666666666,process_tree,1.42,process_tree,579.63
190000,192.762,71.469,37.173,31.96666666666667,process_tree,1.42,process_tree,579.56
200000,202.684,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,579.62
210000,212.409,54.365,42.061,33.449999999999996,process_tree,1.42,process_tree,579.5
220000,222.086,55.85,37.508,33.333333333333336,process_tree,1.42,process_tree,579.85
230000,232.109,33.6,29.011,33.449999999999996,process_tree,1.42,process_tree,579.8
240000,241.839,64.595,34.586,33.141666666666666,process_tree,1.42,process_tree,579.94
250000,253.438,53.973,25.918,33.25,process_tree,1.42,process_tree,579.75
