step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.8,system,
10000,16.159,1.571,1.02,41.5,process_tree,1.39,process_tree,569.0
20000,27.899,3.036,2.2,32.291666666666664,process_tree,1.4,process_tree,571.84
30000,39.362,6.655,7.003,33.141666666666666,process_tree,1.4,process_tree,572.74
40000,50.312,23.511,26.38,33.449999999999996,process_tree,1.4,process_tree,572.99
50000,61.475,84.117,35.526,33.24166666666667,process_tree,1.4,process_tree,572.99
60000,72.518,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.03
70000,83.785,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.04
80000,95.211,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.05
90000,105.907,100.0,0.0,39.11666666666667,process_tree,1.4,process_tree,573.05
100000,117.171,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.05
110000,128.483,89.109,28.641,32.25,process_tree,1.4,process_tree,573.09
120000,139.535,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.06
130000,150.922,100.0,0.0,31.958333333333332,process_tree,1.4,process_tree,573.06
140000,162.291,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.07
150000,173.781,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.07
160000,185.057,100.0,0.0,33.333333333333336,process_tree,1.4,process_tree,573.07
170000,196.362,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.07
180000,207.415,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.07
190000,218.579,83.392,37.137,33.141666666666666,process_tree,1.4,process_tree,573.07
200000,229.893,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.07
210000,241.121,75.05,43.215,42.60833333333333,process_tree,1.4,process_tree,573.15
220000,252.238,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.16
230000,263.551,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.16
240000,274.684,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,573.16
250000,285.755,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.17
260000,297.18,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,573.24
