step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.5,system,
10000,16.499,1.339,0.778,40.61666666666667,process_tree,1.39,process_tree,569.29
20000,28.657,2.181,1.58,33.141666666666666,process_tree,1.4,process_tree,571.33
30000,40.798,3.239,2.635,33.449999999999996,process_tree,1.4,process_tree,571.91
40000,52.394,4.54,4.243,33.449999999999996,process_tree,1.4,process_tree,571.88
50000,64.32,7.847,6.975,33.141666666666666,process_tree,1.4,process_tree,571.81
60000,75.847,13.613,11.958,33.141666666666666,process_tree,1.4,process_tree,571.77
70000,87.372,22.431,22.525,33.449999999999996,process_tree,1.4,process_tree,571.73
80000,99.058,89.455,27.929,31.058333333333334,process_tree,1.4,process_tree,571.82
90000,110.548,93.569,22.277,33.449999999999996,process_tree,1.4,process_tree,571.73
100000,121.863,82.164,37.838,44.23333333333333,process_tree,1.4,process_tree,571.84
110000,134.033,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.85
120000,145.354,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.75
130000,156.795,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.85
140000,168.796,100.0,0.0,32.25,process_tree,1.4,process_tree,571.94
150000,180.343,92.346,26.514,33.333333333333336,process_tree,1.4,process_tree,571.75
160000,191.807,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.85
170000,203.311,100.0,0.0,64.2,process_tree,1.4,process_tree,571.75
180000,215.086,66.892,46.824,33.449999999999996,process_tree,1.4,process_tree,571.94
190000,226.676,91.683,27.583,33.449999999999996,process_tree,1.4,process_tree,571.85
200000,238.056,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.75
210000,249.75,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.93
220000,261.154,81.9,38.396,33.449999999999996,process_tree,1.4,process_tree,571.89
230000,272.741,83.392,37.137,34.63333333333333,process_tree,1.4,process_tree,572.05
240000,284.593,81.26,37.573,32.291666666666664,process_tree,1.4,process_tree,572.08
250000,296.916,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.05
260000,308.339,83.375,37.175,33.449999999999996,process_tree,1.4,process_tree,572.09
270000,319.844,100.0,0.0,44.199999999999996,process_tree,1.4,process_tree,572.24
280000,331.548,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,572.18
290000,342.923,90.04,29.88,38.65833333333333,process_tree,1.4,process_tree,572.09
