step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.8,system,
10000,13.652,1.182,0.728,53.73333333333333,process_tree,1.4,process_tree,572.62
20000,22.583,1.521,0.905,38.21666666666666,process_tree,1.4,process_tree,574.47
30000,31.35,2.11,1.211,43.9,process_tree,1.41,process_tree,574.83
40000,40.264,2.849,1.9,33.449999999999996,process_tree,1.41,process_tree,575.77
50000,48.939,3.573,2.705,33.449999999999996,process_tree,1.41,process_tree,576.22
60000,57.552,3.594,3.233,33.141666666666666,process_tree,1.41,process_tree,576.53
70000,66.14,5.018,4.448,33.449999999999996,process_tree,1.41,process_tree,577.18
80000,75.56,5.027,4.513,48.94166666666666,process_tree,1.41,process_tree,577.41
90000,84.207,6.903,6.865,40.59166666666666,process_tree,1.41,process_tree,578.17
100000,92.522,9.232,10.591,41.80833333333333,process_tree,1.41,process_tree,577.89
110000,101.015,18.47,19.132,55.958333333333336,process_tree,1.41,process_tree,577.86
120000,110.035,23.193,26.76,39.6,process_tree,1.41,process_tree,578.18
130000,118.639,18.76,23.256,58.333333333333336,process_tree,1.41,process_tree,578.79
140000,127.032,50.112,38.867,52.25833333333333,process_tree,1.41,process_tree,578.66
150000,135.336,68.663,43.255,36.99166666666667,process_tree,1.41,process_tree,578.02
160000,143.563,84.16,31.703,56.84166666666666,process_tree,1.41,process_tree,578.5
170000,151.834,100.0,0.0,44.525,process_tree,1.41,process_tree,578.8
180000,160.299,100.0,0.0,45.383333333333326,process_tree,1.41,process_tree,578.79
190000,168.577,100.0,0.0,34.63333333333333,process_tree,1.42,process_tree,579.05
200000,176.865,100.0,0.0,33.449999999999996,process_tree,1.42,process_tree,579.05
210000,185.127,100.0,0.0,53.73333333333333,process_tree,1.41,process_tree,578.73
