step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,12.204,1.027,0.649,48.6,process_tree,1.41,process_tree,575.94
20000,21.065,1.181,0.705,41.516666666666666,process_tree,1.41,process_tree,578.61
30000,29.749,1.476,0.894,50.15,process_tree,1.41,process_tree,578.58
40000,37.105,1.72,1.017,35.541666666666664,process_tree,1.42,process_tree,579.94
50000,45.672,2.177,1.285,36.90833333333333,process_tree,1.42,process_tree,579.68
60000,54.138,2.462,1.636,34.333333333333336,process_tree,1.42,process_tree,579.95
70000,61.223,3.167,2.102,39.11666666666667,process_tree,1.42,process_tree,580.07
80000,69.694,4.127,3.028,42.699999999999996,process_tree,1.42,process_tree,580.2
90000,78.231,4.827,3.887,39.11666666666667,process_tree,1.42,process_tree,581.13
100000,85.019,6.398,6.234,34.516666666666666,process_tree,1.42,process_tree,581.6
110000,93.302,8.591,8.892,54.76666666666667,process_tree,1.42,process_tree,582.84
120000,101.478,14.939,12.976,40.608333333333334,process_tree,1.42,process_tree,582.8
130000,108.323,30.552,28.337,33.475,process_tree,1.43,process_tree,583.47
140000,116.434,29.49,27.766,37.916666666666664,process_tree,1.43,process_tree,583.8
150000,123.356,64.925,41.827,33.141666666666666,process_tree,1.43,process_tree,583.82
160000,131.301,69.6,40.825,41.73333333333333,process_tree,1.43,process_tree,584.31
170000,139.268,85.2,29.945,44.01666666666667,process_tree,1.43,process_tree,584.04
180000,146.059,93.217,22.498,33.141666666666666,process_tree,1.43,process_tree,584.21
190000,153.839,82.858,30.566,48.86666666666667,process_tree,1.43,process_tree,584.68
200000,160.837,59.954,35.165,33.449999999999996,process_tree,1.43,process_tree,584.32
210000,168.75,96.055,10.182,35.85,process_tree,1.43,process_tree,584.04
220000,177.005,100.0,0.0,39.083333333333336,process_tree,1.43,process_tree,584.51
230000,183.54,91.418,27.138,33.449999999999996,process_tree,1.43,process_tree,584.51
240000,191.627,100.0,0.0,50.15,process_tree,1.43,process_tree,584.07
250000,199.649,85.527,31.752,43.15833333333333,process_tree,1.43,process_tree,584.45
260000,206.451,94.84,10.351,34.525,process_tree,1.43,process_tree,584.52
270000,214.249,87.775,27.343,61.43333333333334,process_tree,1.43,process_tree,584.01
280000,220.904,73.907,39.628,28.666666666666668,process_tree,1.43,process_tree,584.35
290000,229.258,90.19,29.43,48.55833333333334,process_tree,1.43,process_tree,585.06
300000,237.165,100.0,0.0,45.291666666666664,process_tree,1.43,process_tree,584.66
310000,243.742,100.0,0.0,33.141666666666666,process_tree,1.43,process_tree,584.64
320000,251.898,100.0,0.0,40.9,process_tree,1.43,process_tree,585.1
330000,259.801,84.647,32.434,38.21666666666666,process_tree,1.43,process_tree,584.77
340000,266.361,100.0,0.0,68.98333333333333,process_tree,1.43,process_tree,584.73
350000,274.731,100.0,0.0,42.93333333333334,process_tree,1.43,process_tree,585.2
360000,282.525,100.0,0.0,51.30833333333334,process_tree,1.43,process_tree,584.77
370000,289.288,87.464,23.242,41.775,process_tree,1.43,process_tree,585.59
380000,298.396,84.018,25.981,61.574999999999996,process_tree,1.43,process_tree,585.89
390000,305.108,63.571,35.685,34.333333333333336,process_tree,1.43,process_tree,586.4
400000,313.098,92.5,15.042,59.48333333333333,process_tree,1.43,process_tree,585.63
410000,321.079,91.75,27.362,37.9,process_tree,1.43,process_tree,586.01
420000,327.973,100.0,0.0,36.74166666666667,process_tree,1.43,process_tree,586.03
430000,335.953,100.0,0.0,36.975,process_tree,1.43,process_tree,585.63
440000,343.832,100.0,0.0,45.383333333333326,process_tree,1.43,process_tree,586.07
450000,350.696,100.0,0.0,46.258333333333326,process_tree,1.43,process_tree,586.12
460000,358.761,100.0,0.0,56.84166666666666,process_tree,1.43,process_tree,585.57
