step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,13.478,1.193,0.67,47.758333333333326,process_tree,1.45,process_tree,593.37
20000,22.633,1.201,0.718,33.43333333333333,process_tree,1.46,process_tree,595.52
30000,31.456,1.357,0.867,44.099999999999994,process_tree,1.46,process_tree,595.92
40000,40.319,1.62,1.0,52.42499999999999,process_tree,1.46,process_tree,596.62
50000,49.049,1.902,1.225,36.266666666666666,process_tree,1.46,process_tree,597.68
60000,61.449,2.577,1.618,50.51666666666667,process_tree,1.46,process_tree,598.36
70000,69.899,3.334,2.456,45.291666666666664,process_tree,1.46,process_tree,599.25
80000,78.446,3.929,3.32,42.94166666666666,process_tree,1.47,process_tree,599.33
90000,86.925,5.818,4.745,35.824999999999996,process_tree,1.47,process_tree,599.76
100000,95.105,8.458,8.122,53.758333333333326,process_tree,1.47,process_tree,599.99
110000,103.44,10.712,9.38,33.449999999999996,process_tree,1.47,process_tree,600.69
120000,115.597,19.17,17.865,54.916666666666664,process_tree,1.47,process_tree,601.0
130000,123.724,17.571,18.522,57.25,process_tree,1.47,process_tree,601.04
140000,131.863,18.844,16.42,45.98333333333333,process_tree,1.47,process_tree,601.04
150000,140.156,43.252,37.335,89.28333333333335,process_tree,1.47,process_tree,601.3
160000,148.314,34.263,32.183,42.800000000000004,process_tree,1.47,process_tree,601.41
170000,160.3,39.004,32.967,43.89166666666667,process_tree,1.47,process_tree,601.16
180000,168.375,33.92,32.631,45.35833333333333,process_tree,1.47,process_tree,601.38
190000,176.753,19.107,17.415,39.375,process_tree,1.47,process_tree,601.27
200000,185.093,13.5,7.812,60.92499999999999,process_tree,1.47,process_tree,601.33
210000,193.201,9.07,5.724,52.4,process_tree,1.47,process_tree,601.33
220000,201.47,7.731,4.773,35.81666666666666,process_tree,1.47,process_tree,601.33
230000,213.558,11.808,8.123,37.025,process_tree,1.47,process_tree,601.54
240000,221.708,23.272,16.986,48.86666666666667,process_tree,1.47,process_tree,601.54
250000,229.81,26.769,22.366,37.03333333333333,process_tree,1.47,process_tree,601.31
260000,238.071,26.555,21.194,42.51666666666667,process_tree,1.47,process_tree,600.75
