step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,29.5,system,
10000,12.183,1.052,0.71,34.61666666666667,process_tree,1.43,process_tree,583.05
20000,19.29,1.415,0.899,33.141666666666666,process_tree,1.43,process_tree,585.51
30000,27.283,2.263,1.738,33.425,process_tree,1.43,process_tree,585.4
40000,34.249,3.414,2.5,33.449999999999996,process_tree,1.43,process_tree,586.16
50000,42.062,5.424,4.389,45.36666666666667,process_tree,1.43,process_tree,585.82
60000,48.421,16.533,18.329,48.96666666666666,process_tree,1.44,process_tree,587.45
70000,54.897,52.833,35.063,33.449999999999996,process_tree,1.44,process_tree,587.55
80000,62.326,100.0,0.0,43.81666666666666,process_tree,1.44,process_tree,588.17
90000,68.799,100.0,0.0,58.5,process_tree,1.44,process_tree,588.71
100000,76.267,100.0,0.0,34.625,process_tree,1.44,process_tree,588.99
110000,82.592,100.0,0.0,53.583333333333336,process_tree,1.44,process_tree,589.2
120000,89.108,100.0,0.0,33.141666666666666,process_tree,1.44,process_tree,588.54
130000,96.578,75.181,42.988,34.80833333333333,process_tree,1.44,process_tree,588.6
140000,102.953,85.8,34.783,41.80833333333333,process_tree,1.44,process_tree,589.16
150000,110.572,84.738,35.792,50.93333333333334,process_tree,1.44,process_tree,589.15
160000,117.107,100.0,0.0,34.625,process_tree,1.44,process_tree,589.16
170000,123.339,78.721,40.745,45.35,process_tree,1.44,process_tree,589.18
180000,130.947,43.952,49.158,53.300000000000004,process_tree,1.44,process_tree,589.22
190000,137.495,65.141,47.201,41.50833333333333,process_tree,1.44,process_tree,589.2
200000,144.85,100.0,0.0,41.725,process_tree,1.44,process_tree,589.2
210000,151.255,100.0,0.0,42.98333333333333,process_tree,1.44,process_tree,589.22
220000,157.782,100.0,0.0,33.141666666666666,process_tree,1.44,process_tree,588.43
230000,165.231,100.0,0.0,35.84166666666666,process_tree,1.44,process_tree,589.22
240000,171.592,91.742,27.39,50.125,process_tree,1.44,process_tree,589.74
250000,179.047,100.0,0.0,37.641666666666666,process_tree,1.44,process_tree,588.99
260000,185.5,100.0,0.0,43.89166666666667,process_tree,1.44,process_tree,589.34
270000,191.816,100.0,0.0,30.775000000000002,process_tree,1.44,process_tree,590.07
280000,199.252,100.0,0.0,43.89166666666666,process_tree,1.44,process_tree,590.06
290000,205.539,100.0,0.0,36.725,process_tree,1.44,process_tree,590.08
