step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,29.4,system,
10000,13.623,1.106,0.773,47.758333333333326,process_tree,1.41,process_tree,576.52
20000,22.542,1.652,1.042,39.425,process_tree,1.41,process_tree,578.45
30000,31.459,2.36,1.549,41.74166666666667,process_tree,1.42,process_tree,579.27
40000,40.104,3.523,2.778,34.35,process_tree,1.42,process_tree,580.13
50000,48.806,5.265,4.957,42.61666666666667,process_tree,1.42,process_tree,580.47
60000,56.923,6.686,6.38,33.449999999999996,process_tree,1.42,process_tree,580.15
70000,65.614,8.09,7.808,33.449999999999996,process_tree,1.42,process_tree,580.68
80000,74.097,14.249,11.544,33.449999999999996,process_tree,1.42,process_tree,580.75
90000,82.687,22.724,20.706,35.541666666666664,process_tree,1.42,process_tree,581.07
100000,90.613,29.309,23.447,25.0,process_tree,1.42,process_tree,580.62
110000,99.379,14.41,15.706,32.25,process_tree,1.42,process_tree,581.54
120000,107.869,15.16,12.176,37.94166666666667,process_tree,1.42,process_tree,581.42
130000,116.405,13.905,11.68,33.141666666666666,process_tree,1.42,process_tree,580.81
140000,124.484,25.657,29.171,33.141666666666666,process_tree,1.42,process_tree,580.7
150000,133.393,28.47,30.265,33.141666666666666,process_tree,1.42,process_tree,580.76
160000,142.121,14.756,20.522,33.449999999999996,process_tree,1.42,process_tree,580.68
170000,150.53,22.758,23.729,34.333333333333336,process_tree,1.42,process_tree,581.62
180000,158.84,13.125,14.199,33.449999999999996,process_tree,1.42,process_tree,581.19
190000,167.384,18.325,15.455,34.641666666666666,process_tree,1.42,process_tree,581.21
200000,176.054,29.266,16.241,34.358333333333334,process_tree,1.42,process_tree,581.18
210000,184.134,30.943,29.442,33.449999999999996,process_tree,1.42,process_tree,581.37
220000,192.603,14.713,8.538,33.141666666666666,process_tree,1.42,process_tree,580.95
230000,201.162,11.094,5.142,35.81666666666666,process_tree,1.42,process_tree,581.32
240000,209.708,9.518,4.932,34.61666666666667,process_tree,1.42,process_tree,581.6
250000,218.202,8.092,3.963,41.791666666666664,process_tree,1.42,process_tree,580.98
260000,226.363,8.802,4.109,33.449999999999996,process_tree,1.42,process_tree,580.92
270000,234.9,13.316,5.839,35.53333333333333,process_tree,1.42,process_tree,581.63
280000,243.522,15.562,7.452,49.86666666666667,process_tree,1.42,process_tree,581.54
290000,251.802,14.782,8.501,33.449999999999996,process_tree,1.42,process_tree,581.0
300000,260.522,37.165,14.628,33.449999999999996,process_tree,1.42,process_tree,581.31
310000,269.35,14.777,9.052,33.175000000000004,process_tree,1.42,process_tree,581.11
320000,277.887,24.22,15.522,33.449999999999996,process_tree,1.42,process_tree,580.97
330000,286.565,13.962,3.927,34.63333333333333,process_tree,1.42,process_tree,581.82
340000,295.29,14.28,3.234,33.449999999999996,process_tree,1.42,process_tree,581.49
350000,303.42,9.582,2.335,33.141666666666666,process_tree,1.42,process_tree,581.24
360000,312.024,10.292,3.181,35.541666666666664,process_tree,1.42,process_tree,581.97
370000,320.693,14.324,5.313,47.35833333333333,process_tree,1.42,process_tree,581.64
380000,328.813,36.4,24.083,33.141666666666666,process_tree,1.42,process_tree,581.26
390000,337.23,81.631,29.098,33.141666666666666,process_tree,1.42,process_tree,581.32
400000,345.944,89.593,25.62,33.449999999999996,process_tree,1.42,process_tree,581.55
410000,354.478,74.454,37.583,32.25,process_tree,1.42,process_tree,582.05
420000,362.862,100.0,0.0,52.25833333333333,process_tree,1.42,process_tree,581.28
430000,371.255,100.0,0.0,54.78333333333333,process_tree,1.42,process_tree,582.12
440000,379.347,100.0,0.0,33.449999999999996,process_tree,1.42,process_tree,581.35
450000,387.857,86.533,30.821,33.141666666666666,process_tree,1.42,process_tree,581.39
460000,396.232,83.731,32.293,33.449999999999996,process_tree,1.42,process_tree,581.46
470000,404.708,70.131,43.425,33.449999999999996,process_tree,1.42,process_tree,582.01
480000,413.152,47.045,41.876,34.35,process_tree,1.42,process_tree,581.7
490000,421.179,87.786,23.312,33.141666666666666,process_tree,1.42,process_tree,581.28
500000,429.904,49.833,41.693,33.141666666666666,process_tree,1.45,process_tree,592.55
510000,438.467,35.411,33.957,33.449999999999996,process_tree,1.45,process_tree,593.73
520000,446.857,49.425,41.228,33.141666666666666,process_tree,1.45,process_tree,593.36
530000,455.468,49.182,44.6,34.49166666666667,process_tree,1.45,process_tree,593.55
540000,463.406,51.111,43.295,33.141666666666666,process_tree,1.45,process_tree,593.91
550000,472.065,32.897,39.898,33.141666666666666,process_tree,1.45,process_tree,594.07
560000,480.658,32.339,33.136,33.141666666666666,process_tree,1.45,process_tree,593.55
570000,488.619,24.023,23.113,33.449999999999996,process_tree,1.45,process_tree,593.18
580000,497.113,36.1,17.022,34.63333333333333,process_tree,1.45,process_tree,593.9
590000,505.724,44.057,25.996,37.916666666666664,process_tree,1.45,process_tree,593.43
600000,513.832,25.738,15.207,33.449999999999996,process_tree,1.45,process_tree,593.42
610000,522.342,24.581,10.164,32.25,process_tree,1.45,process_tree,594.14
620000,530.878,30.137,19.941,33.38333333333333,process_tree,1.45,process_tree,593.82
630000,538.961,32.354,18.615,33.449999999999996,process_tree,1.45,process_tree,594.3
640000,547.457,61.609,32.095,33.449999999999996,process_tree,1.45,process_tree,593.4
650000,555.985,100.0,0.0,35.53333333333333,process_tree,1.45,process_tree,594.23
660000,564.01,41.563,25.204,33.449999999999996,process_tree,1.45,process_tree,594.2
670000,572.564,17.823,6.669,34.333333333333336,process_tree,1.45,process_tree,594.99
680000,581.024,15.989,5.578,31.96666666666667,process_tree,1.45,process_tree,594.91
690000,589.664,14.873,5.346,31.96666666666667,process_tree,1.45,process_tree,593.68
700000,597.836,17.347,5.968,33.449999999999996,process_tree,1.45,process_tree,593.86
