step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,29.5,system,
10000,15.368,1.176,0.691,31.958333333333332,process_tree,1.41,process_tree,575.44
20000,25.858,1.801,0.996,33.449999999999996,process_tree,1.41,process_tree,577.02
30000,36.288,2.542,1.776,33.141666666666666,process_tree,1.41,process_tree,578.54
40000,46.832,3.007,2.296,33.449999999999996,process_tree,1.41,process_tree,578.11
50000,57.195,4.591,4.028,33.449999999999996,process_tree,1.42,process_tree,579.77
60000,67.643,4.66,4.531,33.449999999999996,process_tree,1.42,process_tree,580.32
70000,77.967,6.906,6.065,33.449999999999996,process_tree,1.42,process_tree,579.88
80000,87.97,9.884,10.522,29.866666666666664,process_tree,1.42,process_tree,581.94
90000,98.614,10.967,12.309,28.666666666666668,process_tree,1.42,process_tree,582.64
100000,108.722,18.718,20.199,33.449999999999996,process_tree,1.42,process_tree,581.84
110000,118.708,17.69,19.218,33.141666666666666,process_tree,1.42,process_tree,581.54
120000,128.999,20.426,20.331,33.141666666666666,process_tree,1.42,process_tree,582.75
130000,139.12,22.547,19.962,33.141666666666666,process_tree,1.42,process_tree,582.39
140000,149.042,34.473,32.677,33.141666666666666,process_tree,1.43,process_tree,583.1
150000,159.31,19.53,22.39,32.25,process_tree,1.42,process_tree,581.41
160000,169.267,29.853,24.476,33.449999999999996,process_tree,1.42,process_tree,582.55
170000,179.315,53.393,34.851,33.449999999999996,process_tree,1.43,process_tree,583.34
180000,189.494,77.225,39.709,33.141666666666666,process_tree,1.42,process_tree,582.87
190000,199.648,68.144,42.405,33.449999999999996,process_tree,1.43,process_tree,582.98
200000,209.617,54.206,33.358,35.833333333333336,process_tree,1.42,process_tree,582.23
210000,220.764,48.068,34.499,33.449999999999996,process_tree,1.42,process_tree,582.65
220000,230.764,37.843,30.534,33.141666666666666,process_tree,1.42,process_tree,582.25
230000,240.716,66.038,31.358,33.141666666666666,process_tree,1.42,process_tree,582.07
240000,251.131,79.227,31.927,34.63333333333333,process_tree,1.43,process_tree,583.12
250000,261.239,93.89,15.344,33.141666666666666,process_tree,1.43,process_tree,583.09
260000,271.382,69.592,43.75,33.24166666666667,process_tree,1.42,process_tree,582.93
270000,281.649,65.647,42.539,33.449999999999996,process_tree,1.42,process_tree,582.75
280000,291.593,64.143,42.509,33.449999999999996,process_tree,1.42,process_tree,582.21
290000,302.267,92.733,24.101,33.449999999999996,process_tree,1.43,process_tree,583.05
300000,312.31,79.557,31.48,33.141666666666666,process_tree,1.42,process_tree,582.62
310000,322.189,72.225,40.721,34.63333333333333,process_tree,1.43,process_tree,583.3
320000,332.561,84.627,24.33,33.449999999999996,process_tree,1.42,process_tree,581.96
330000,342.362,93.37,19.89,33.449999999999996,process_tree,1.43,process_tree,583.41
340000,352.833,92.446,26.167,30.775000000000002,process_tree,1.42,process_tree,582.76
350000,362.891,79.877,25.989,31.858333333333334,process_tree,1.42,process_tree,582.78
360000,372.806,70.147,32.356,33.449999999999996,process_tree,1.43,process_tree,582.99
370000,383.262,68.322,28.857,34.333333333333336,process_tree,1.42,process_tree,582.77
380000,393.274,93.633,15.341,33.449999999999996,process_tree,1.42,process_tree,582.77
390000,403.255,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,581.89
400000,413.507,100.0,0.0,33.43333333333333,process_tree,1.42,process_tree,582.71
410000,423.548,90.463,25.234,33.449999999999996,process_tree,1.43,process_tree,583.4
420000,433.404,94.273,14.674,33.6,process_tree,1.43,process_tree,583.52
430000,443.576,95.689,12.194,33.141666666666666,process_tree,1.42,process_tree,581.95
440000,453.961,99.191,2.559,33.449999999999996,process_tree,1.42,process_tree,582.75
450000,463.898,94.615,18.653,32.25,process_tree,1.42,process_tree,582.75
460000,473.892,85.825,32.218,32.25,process_tree,1.43,process_tree,583.59
470000,483.997,88.9,29.368,33.449999999999996,process_tree,1.42,process_tree,582.83
480000,494.322,85.8,31.759,33.141666666666666,process_tree,1.43,process_tree,583.44
490000,503.889,65.26,42.983,33.449999999999996,process_tree,1.43,process_tree,583.46
500000,514.549,61.535,40.263,33.141666666666666,process_tree,1.45,process_tree,592.43
510000,524.565,78.4,34.584,39.36666666666667,process_tree,1.45,process_tree,592.84
520000,534.711,74.565,34.775,32.25,process_tree,1.45,process_tree,593.29
530000,544.767,47.342,35.922,33.449999999999996,process_tree,1.45,process_tree,592.91
