step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,36.5,system,
10000,11.624,1.127,0.69,37.016666666666666,process_tree,1.43,process_tree,584.96
20000,18.544,1.172,0.769,34.333333333333336,process_tree,1.43,process_tree,586.92
30000,25.405,1.163,0.679,38.18333333333333,process_tree,1.44,process_tree,587.93
40000,33.851,1.281,0.754,37.00833333333333,process_tree,1.44,process_tree,588.07
50000,40.673,1.327,0.791,56.54999999999999,process_tree,1.44,process_tree,587.97
60000,47.478,1.495,0.89,46.275,process_tree,1.44,process_tree,588.67
70000,55.842,1.57,0.974,41.525,process_tree,1.44,process_tree,588.45
80000,62.499,1.818,1.035,48.85,process_tree,1.44,process_tree,588.33
90000,69.177,1.909,1.154,36.725,process_tree,1.44,process_tree,588.51
100000,76.226,2.049,1.228,26.041666666666668,process_tree,1.44,process_tree,588.52
110000,84.315,2.278,1.306,39.34166666666667,process_tree,1.44,process_tree,588.98
120000,90.941,2.541,1.663,42.96666666666667,process_tree,1.44,process_tree,589.13
130000,97.43,2.871,1.837,37.916666666666664,process_tree,1.44,process_tree,589.2
140000,105.51,2.753,1.742,36.725,process_tree,1.44,process_tree,588.98
150000,112.189,3.229,2.359,56.11666666666667,process_tree,1.44,process_tree,589.26
160000,118.681,3.401,3.026,52.09166666666667,process_tree,1.44,process_tree,589.46
170000,126.628,4.023,3.193,49.71666666666666,process_tree,1.44,process_tree,589.52
180000,133.028,4.549,3.644,47.758333333333326,process_tree,1.44,process_tree,589.51
190000,139.302,4.601,3.803,52.10833333333333,process_tree,1.44,process_tree,589.83
200000,145.563,4.671,4.255,33.449999999999996,process_tree,1.44,process_tree,590.39
210000,153.54,5.092,4.08,38.18333333333333,process_tree,1.44,process_tree,590.18
220000,159.86,6.237,5.135,41.05833333333333,process_tree,1.44,process_tree,590.44
230000,166.075,7.266,6.994,42.94166666666666,process_tree,1.44,process_tree,590.38
240000,173.879,8.545,9.108,55.875,process_tree,1.44,process_tree,590.03
250000,179.994,10.761,10.558,57.15,process_tree,1.44,process_tree,590.14
260000,186.22,9.456,12.695,34.34166666666667,process_tree,1.44,process_tree,590.62
270000,194.047,11.649,12.244,44.98333333333333,process_tree,1.44,process_tree,590.19
280000,200.122,11.365,13.061,63.01666666666667,process_tree,1.44,process_tree,590.38
290000,206.318,9.394,10.674,37.60833333333333,process_tree,1.44,process_tree,590.66
300000,212.438,10.381,11.8,44.15833333333333,process_tree,1.44,process_tree,590.72
310000,220.161,10.421,9.965,31.041666666666668,process_tree,1.44,process_tree,590.7
320000,226.395,11.634,12.919,49.900000000000006,process_tree,1.44,process_tree,590.96
330000,232.453,16.873,17.01,45.291666666666664,process_tree,1.44,process_tree,590.99
340000,240.132,10.951,9.908,41.50833333333333,process_tree,1.44,process_tree,590.51
350000,246.391,13.638,11.728,52.25,process_tree,1.44,process_tree,590.89
360000,252.471,27.969,22.384,37.93333333333333,process_tree,1.44,process_tree,590.93
370000,258.532,16.692,17.0,32.291666666666664,process_tree,1.45,process_tree,591.14
380000,266.269,12.086,10.637,55.84166666666667,process_tree,1.44,process_tree,590.84
390000,272.244,21.298,17.228,40.74166666666667,process_tree,1.44,process_tree,590.93
400000,278.33,15.393,11.952,37.025,process_tree,1.44,process_tree,590.95
410000,286.058,21.024,15.165,32.858333333333334,process_tree,1.44,process_tree,590.68
420000,292.047,21.059,18.325,46.166666666666664,process_tree,1.44,process_tree,590.77
430000,298.293,19.36,22.634,63.041666666666664,process_tree,1.45,process_tree,591.44
440000,304.355,15.368,19.18,33.449999999999996,process_tree,1.45,process_tree,591.36
450000,311.99,22.076,25.549,29.849999999999998,process_tree,1.44,process_tree,591.09
