step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,35.2,system,
10000,22.538,1.372,0.88,33.449999999999996,process_tree,1.41,process_tree,575.0
20000,41.701,2.622,2.07,34.333333333333336,process_tree,1.41,process_tree,577.25
30000,59.328,4.14,2.985,32.291666666666664,process_tree,1.41,process_tree,578.44
40000,78.448,5.827,5.044,34.35,process_tree,1.41,process_tree,577.63
50000,96.061,8.075,7.147,30.775000000000002,process_tree,1.41,process_tree,578.38
60000,113.457,9.78,8.956,33.449999999999996,process_tree,1.41,process_tree,578.05
70000,132.355,12.006,14.231,32.25,process_tree,1.41,process_tree,578.09
80000,151.101,8.879,6.203,44.10833333333333,process_tree,1.41,process_tree,577.95
90000,168.779,11.431,9.146,35.53333333333333,process_tree,1.41,process_tree,578.48
100000,186.159,10.989,10.902,33.449999999999996,process_tree,1.41,process_tree,578.38
110000,204.974,14.579,11.872,37.03333333333333,process_tree,1.41,process_tree,578.3
120000,222.358,13.304,16.199,33.449999999999996,process_tree,1.41,process_tree,578.23
130000,241.488,15.01,11.385,34.333333333333336,process_tree,1.41,process_tree,578.38
140000,258.965,20.067,22.08,31.058333333333334,process_tree,1.41,process_tree,578.25
150000,276.429,31.937,32.66,33.449999999999996,process_tree,1.41,process_tree,578.82
160000,295.535,79.017,32.379,34.63333333333333,process_tree,1.41,process_tree,578.49
170000,313.155,30.195,32.815,33.449999999999996,process_tree,1.41,process_tree,578.56
180000,332.177,18.207,13.01,39.391666666666666,process_tree,1.41,process_tree,578.56
190000,349.492,25.54,16.48,33.141666666666666,process_tree,1.41,process_tree,578.54
200000,366.969,26.412,24.295,33.449999999999996,process_tree,1.41,process_tree,578.57
210000,385.977,23.342,12.597,31.983333333333334,process_tree,1.41,process_tree,578.68
220000,403.535,58.21,38.02,33.141666666666666,process_tree,1.41,process_tree,578.59
230000,421.133,60.793,37.49,33.449999999999996,process_tree,1.41,process_tree,578.47
240000,440.222,30.803,33.179,41.73333333333333,process_tree,1.41,process_tree,578.39
250000,457.714,28.079,30.719,33.449999999999996,process_tree,1.41,process_tree,578.79
260000,476.474,55.2,32.85,48.925000000000004,process_tree,1.41,process_tree,578.2
270000,493.95,58.465,37.338,30.775000000000002,process_tree,1.42,process_tree,579.01
280000,511.42,35.56,32.3,33.449999999999996,process_tree,1.42,process_tree,579.12
290000,530.394,36.988,31.752,48.541666666666664,process_tree,1.41,process_tree,578.59
300000,547.792,27.669,17.368,32.25,process_tree,1.42,process_tree,578.86
310000,565.142,43.596,33.279,33.449999999999996,process_tree,1.41,process_tree,578.82
320000,583.905,48.779,40.807,35.53333333333333,process_tree,1.41,process_tree,578.82
330000,601.331,22.284,25.211,32.291666666666664,process_tree,1.42,process_tree,578.86
340000,620.442,13.381,12.901,29.59166666666667,process_tree,1.42,process_tree,578.87
350000,637.759,19.447,14.085,33.449999999999996,process_tree,1.42,process_tree,578.93
360000,656.801,19.456,13.876,34.03333333333333,process_tree,1.41,process_tree,578.48
370000,674.427,36.533,32.179,33.449999999999996,process_tree,1.42,process_tree,579.07
380000,693.324,29.835,18.636,36.725,process_tree,1.42,process_tree,579.12
390000,710.785,45.992,28.436,30.208333333333332,process_tree,1.42,process_tree,579.1
400000,728.364,32.685,30.564,33.141666666666666,process_tree,1.42,process_tree,578.86
410000,747.157,12.551,9.069,34.35,process_tree,1.41,process_tree,578.74
420000,764.713,10.296,4.992,33.449999999999996,process_tree,1.42,process_tree,578.87
