step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,35.6,system,
10000,16.692,1.192,0.757,55.975,process_tree,1.43,process_tree,585.24
20000,28.531,1.728,1.161,39.70833333333333,process_tree,1.44,process_tree,587.46
30000,40.213,2.673,1.867,47.48333333333333,process_tree,1.44,process_tree,587.81
40000,51.695,6.713,6.968,46.525,process_tree,1.44,process_tree,587.87
50000,62.969,12.379,10.637,60.61666666666667,process_tree,1.44,process_tree,588.16
60000,74.296,12.281,8.039,33.141666666666666,process_tree,1.44,process_tree,587.51
70000,88.877,21.75,11.941,46.18333333333333,process_tree,1.44,process_tree,587.88
80000,100.164,80.106,35.378,34.666666666666664,process_tree,1.44,process_tree,587.91
90000,111.525,66.738,40.218,46.28333333333333,process_tree,1.44,process_tree,588.56
100000,123.174,58.6,38.074,29.849999999999998,process_tree,1.44,process_tree,588.4
110000,134.413,91.082,28.202,36.88333333333333,process_tree,1.44,process_tree,588.65
120000,145.712,69.642,35.657,33.141666666666666,process_tree,1.44,process_tree,588.7
130000,160.482,48.979,39.234,59.708333333333336,process_tree,1.44,process_tree,588.97
140000,171.86,59.406,48.521,52.18333333333334,process_tree,1.44,process_tree,589.12
150000,183.175,87.663,32.642,36.00833333333333,process_tree,1.44,process_tree,589.25
160000,194.547,96.755,10.263,46.275,process_tree,1.44,process_tree,589.44
170000,205.752,92.164,18.346,56.10833333333333,process_tree,1.44,process_tree,589.13
180000,217.129,23.674,26.846,48.458333333333336,process_tree,1.44,process_tree,589.01
190000,228.44,13.741,12.294,33.449999999999996,process_tree,1.44,process_tree,589.5
200000,242.984,97.94,4.12,31.958333333333332,process_tree,1.44,process_tree,588.83
210000,254.239,81.486,34.651,40.583333333333336,process_tree,1.44,process_tree,589.61
220000,265.559,83.491,35.183,46.5,process_tree,1.44,process_tree,589.54
230000,277.012,100.0,0.0,42.99166666666667,process_tree,1.45,process_tree,591.3
240000,288.246,100.0,0.0,48.94166666666666,process_tree,1.44,process_tree,589.45
250000,299.452,75.313,42.761,33.44166666666667,process_tree,1.44,process_tree,589.61
260000,310.694,71.8,44.589,33.449999999999996,process_tree,1.44,process_tree,589.78
270000,325.26,58.158,49.065,37.0,process_tree,1.44,process_tree,589.12
280000,336.754,8.902,27.154,37.00833333333333,process_tree,1.44,process_tree,589.61
290000,348.229,12.866,32.096,54.916666666666664,process_tree,1.44,process_tree,589.51
300000,359.689,6.583,22.151,44.19166666666666,process_tree,1.44,process_tree,589.32
310000,371.247,6.285,18.026,46.51666666666667,process_tree,1.44,process_tree,589.66
320000,382.785,2.808,7.355,33.141666666666666,process_tree,1.44,process_tree,589.5
330000,397.612,8.456,22.112,49.75,process_tree,1.45,process_tree,591.66
340000,408.957,27.069,43.129,35.53333333333333,process_tree,1.44,process_tree,589.94
350000,420.248,67.0,46.671,39.1,process_tree,1.44,process_tree,590.08
360000,431.493,77.922,41.304,48.333333333333336,process_tree,1.44,process_tree,590.03
370000,442.679,91.742,27.39,50.166666666666664,process_tree,1.44,process_tree,590.1
380000,453.772,78.736,40.718,32.25,process_tree,1.44,process_tree,590.09
390000,464.97,86.221,33.768,22.491666666666664,process_tree,1.44,process_tree,589.96
400000,479.499,66.893,46.82,55.01666666666667,process_tree,1.44,process_tree,589.65
410000,490.785,69.829,34.524,47.475,process_tree,1.44,process_tree,589.57
420000,502.092,51.613,34.989,34.35,process_tree,1.44,process_tree,589.69
430000,513.43,91.667,27.639,40.34166666666667,process_tree,1.44,process_tree,589.69
440000,524.73,100.0,0.0,35.81666666666666,process_tree,1.44,process_tree,590.07
450000,535.945,24.3,28.95,32.291666666666664,process_tree,1.44,process_tree,590.47
460000,550.513,39.28,40.44,41.766666666666666,process_tree,1.45,process_tree,592.31
470000,561.778,100.0,0.0,48.86666666666667,process_tree,1.44,process_tree,590.46
480000,573.07,84.785,35.683,34.833333333333336,process_tree,1.45,process_tree,592.34
490000,584.399,85.843,34.679,38.225,process_tree,1.45,process_tree,592.35
500000,595.652,100.0,0.0,49.86666666666667,process_tree,1.47,process_tree,601.83
510000,606.944,85.914,34.503,34.63333333333333,process_tree,1.47,process_tree,602.43
520000,618.18,64.693,47.373,33.449999999999996,process_tree,1.47,process_tree,602.45
530000,632.785,60.6,47.261,47.68333333333333,process_tree,1.47,process_tree,602.32
540000,644.099,84.685,35.918,45.36666666666667,process_tree,1.47,process_tree,602.39
550000,655.367,75.194,42.966,58.041666666666664,process_tree,1.47,process_tree,602.39
560000,666.643,63.305,43.501,56.65833333333333,process_tree,1.47,process_tree,602.55
570000,677.846,43.511,43.719,52.05833333333334,process_tree,1.47,process_tree,602.48
580000,689.131,35.095,37.337,33.333333333333336,process_tree,1.47,process_tree,602.39
590000,703.874,88.911,31.364,63.29999999999999,process_tree,1.47,process_tree,602.71
600000,715.136,62.525,35.577,49.074999999999996,process_tree,1.47,process_tree,603.21
610000,726.355,100.0,0.0,42.98333333333333,process_tree,1.47,process_tree,603.31
620000,737.714,83.558,36.765,63.958333333333336,process_tree,1.47,process_tree,603.39
630000,749.023,83.633,36.597,43.958333333333336,process_tree,1.47,process_tree,603.22
640000,760.247,92.669,25.395,42.824999999999996,process_tree,1.47,process_tree,603.23
650000,771.571,65.118,47.232,33.141666666666666,process_tree,1.48,process_tree,603.56
660000,786.085,82.125,34.041,41.5,process_tree,1.47,process_tree,602.98
670000,797.323,60.5,45.939,50.05833333333334,process_tree,1.47,process_tree,602.98
680000,808.617,83.567,36.747,44.199999999999996,process_tree,1.47,process_tree,602.99
690000,820.093,100.0,0.0,53.449999999999996,process_tree,1.47,process_tree,603.04
700000,831.245,100.0,0.0,33.15,process_tree,1.47,process_tree,603.24
710000,842.337,100.0,0.0,34.34166666666667,process_tree,1.47,process_tree,603.25
720000,853.594,100.0,0.0,26.28333333333333,process_tree,1.48,process_tree,604.25
730000,868.033,77.546,40.999,48.84166666666666,process_tree,1.48,process_tree,603.54
740000,879.369,76.34,38.126,42.824999999999996,process_tree,1.48,process_tree,603.63
