step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,33.9,system,
10000,9.861,1.227,0.759,53.324999999999996,process_tree,1.43,process_tree,585.98
20000,15.019,1.178,0.701,39.375,process_tree,1.49,process_tree,608.84
30000,20.263,1.221,0.702,64.23333333333333,process_tree,1.55,process_tree,632.59
40000,25.494,1.215,0.691,44.791666666666664,process_tree,1.6,process_tree,652.82
50000,30.712,1.204,0.741,56.14166666666667,process_tree,1.65,process_tree,675.06
60000,35.927,1.171,0.656,35.375,process_tree,1.71,process_tree,699.97
70000,40.987,1.193,0.685,45.00833333333333,process_tree,1.76,process_tree,719.8
80000,46.283,1.215,0.761,57.30833333333334,process_tree,1.81,process_tree,741.73
90000,51.386,1.173,0.758,41.725,process_tree,1.87,process_tree,764.09
100000,56.819,1.196,0.697,37.925,process_tree,1.92,process_tree,786.51
110000,61.898,1.189,0.714,45.275,process_tree,1.98,process_tree,810.76
120000,67.002,1.166,0.691,43.875,process_tree,2.02,process_tree,826.55
130000,72.478,1.18,0.7,39.1,process_tree,2.07,process_tree,848.22
140000,77.491,1.179,0.679,48.93333333333334,process_tree,2.13,process_tree,869.57
150000,82.569,1.165,0.693,35.81666666666666,process_tree,2.18,process_tree,890.75
160000,88.11,1.196,0.748,43.25833333333333,process_tree,2.23,process_tree,913.42
170000,93.194,1.204,0.742,33.449999999999996,process_tree,2.28,process_tree,934.23
180000,98.239,1.18,0.652,35.083333333333336,process_tree,2.34,process_tree,956.58
190000,103.402,1.234,0.729,42.09166666666666,process_tree,2.39,process_tree,977.76
200000,108.49,1.154,0.696,42.84166666666667,process_tree,2.44,process_tree,1000.14
210000,114.068,1.174,0.734,57.15833333333333,process_tree,2.5,process_tree,1021.57
220000,119.182,1.194,0.724,38.20833333333333,process_tree,2.55,process_tree,1043.49
230000,124.235,1.194,0.721,46.19166666666666,process_tree,2.6,process_tree,1065.16
240000,129.354,1.195,0.679,42.775,process_tree,2.66,process_tree,1086.83
250000,134.397,1.219,0.689,33.15833333333334,process_tree,2.71,process_tree,1108.04
260000,140.214,1.191,0.685,35.824999999999996,process_tree,2.76,process_tree,1130.15
270000,145.241,1.223,0.708,34.63333333333333,process_tree,2.82,process_tree,1151.69
280000,150.288,1.184,0.781,34.86666666666667,process_tree,2.87,process_tree,1173.26
290000,155.413,1.204,0.726,51.333333333333336,process_tree,2.92,process_tree,1195.36
300000,160.469,1.206,0.689,41.775,process_tree,2.97,process_tree,1216.95
310000,165.593,1.257,0.759,58.225,process_tree,3.03,process_tree,1238.14
320000,171.476,1.196,0.765,34.475,process_tree,3.08,process_tree,1260.24
330000,176.591,1.224,0.746,50.14166666666667,process_tree,3.13,process_tree,1282.11
340000,181.663,1.183,0.696,37.925,process_tree,3.19,process_tree,1303.68
350000,186.925,1.191,0.68,40.55833333333333,process_tree,3.24,process_tree,1324.88
360000,192.008,1.271,0.71,59.699999999999996,process_tree,3.29,process_tree,1347.39
370000,197.012,1.22,0.769,42.90833333333333,process_tree,3.35,process_tree,1368.77
380000,202.186,1.251,0.771,34.641666666666666,process_tree,3.4,process_tree,1390.58
390000,207.186,1.227,0.744,49.86666666666667,process_tree,3.45,process_tree,1411.93
400000,422.716,1.164,0.725,36.88333333333333,process_tree,1.98,process_tree,810.77
410000,427.747,1.338,0.952,46.56666666666666,process_tree,1.87,process_tree,766.17
420000,432.923,1.367,0.863,36.916666666666664,process_tree,1.87,process_tree,762.99
430000,437.899,1.38,0.849,34.641666666666666,process_tree,1.88,process_tree,768.69
440000,442.987,1.362,0.832,36.71666666666666,process_tree,1.89,process_tree,774.16
450000,447.938,1.399,0.938,38.225,process_tree,1.92,process_tree,783.54
460000,452.923,1.417,0.87,41.791666666666664,process_tree,1.94,process_tree,793.19
470000,458.113,1.379,0.857,43.31666666666667,process_tree,1.96,process_tree,803.02
480000,463.084,1.337,0.875,35.525,process_tree,2.0,process_tree,817.21
490000,468.351,1.351,0.794,41.449999999999996,process_tree,2.04,process_tree,834.91
500000,473.388,1.453,0.954,37.03333333333333,process_tree,2.1,process_tree,858.26
510000,478.681,1.467,0.91,37.025,process_tree,2.11,process_tree,863.02
520000,484.178,1.273,0.833,38.19166666666667,process_tree,2.15,process_tree,880.27
530000,489.214,1.388,0.897,44.76666666666667,process_tree,2.12,process_tree,866.11
540000,494.271,1.424,0.906,38.21666666666666,process_tree,2.17,process_tree,887.14
550000,499.697,1.395,0.81,38.225,process_tree,2.22,process_tree,908.38
560000,504.882,1.406,0.866,40.56666666666667,process_tree,2.27,process_tree,930.58
570000,509.969,1.35,0.881,35.516666666666666,process_tree,2.33,process_tree,951.9
580000,514.995,1.396,0.894,46.833333333333336,process_tree,2.38,process_tree,973.87
590000,520.53,1.378,0.867,43.18333333333334,process_tree,2.43,process_tree,995.36
600000,525.498,1.389,0.857,47.85,process_tree,2.49,process_tree,1017.07
610000,530.517,1.383,0.89,42.916666666666664,process_tree,2.54,process_tree,1038.93
620000,535.506,1.324,0.803,52.53333333333333,process_tree,2.59,process_tree,1059.66
630000,540.585,1.334,0.81,33.03333333333333,process_tree,2.65,process_tree,1082.07
640000,546.3,1.369,0.877,44.17499999999999,process_tree,2.7,process_tree,1104.04
650000,551.278,1.351,0.914,37.925,process_tree,2.75,process_tree,1125.51
660000,556.361,1.388,0.886,35.225,process_tree,2.8,process_tree,1146.83
670000,561.335,1.328,0.821,42.98333333333333,process_tree,2.86,process_tree,1168.56
680000,566.427,1.333,0.875,58.49166666666667,process_tree,2.91,process_tree,1190.05
690000,571.447,1.368,0.873,34.358333333333334,process_tree,2.96,process_tree,1212.0
700000,577.101,1.433,0.904,34.59166666666667,process_tree,3.01,process_tree,1233.12
710000,582.236,1.311,0.831,42.63333333333333,process_tree,3.07,process_tree,1254.75
720000,587.241,1.408,0.924,63.31666666666666,process_tree,3.12,process_tree,1276.99
730000,592.218,1.377,0.906,33.425,process_tree,3.17,process_tree,1298.21
740000,597.205,1.349,0.845,44.64166666666667,process_tree,3.23,process_tree,1319.9
750000,602.148,1.378,0.879,48.725,process_tree,3.28,process_tree,1341.27
760000,607.333,1.335,0.92,37.0,process_tree,3.33,process_tree,1363.76
770000,613.132,1.392,0.889,41.74166666666667,process_tree,3.39,process_tree,1385.21
780000,618.179,1.437,0.961,48.9,process_tree,3.44,process_tree,1406.73
790000,623.179,1.408,0.877,34.61666666666667,process_tree,3.49,process_tree,1428.76
800000,838.282,1.38,0.884,53.449999999999996,process_tree,2.16,process_tree,884.72
810000,843.067,2.139,1.526,44.24166666666667,process_tree,2.07,process_tree,848.25
820000,847.982,2.018,1.43,34.333333333333336,process_tree,2.07,process_tree,845.03
830000,852.838,2.058,1.57,38.80833333333333,process_tree,2.07,process_tree,847.0
840000,857.569,2.088,1.375,46.48333333333333,process_tree,2.09,process_tree,855.95
850000,862.458,2.107,1.398,42.68333333333334,process_tree,2.11,process_tree,864.75
860000,867.447,2.091,1.6,37.025,process_tree,2.12,process_tree,868.89
870000,872.2,2.139,1.522,44.083333333333336,process_tree,2.15,process_tree,877.96
880000,877.422,2.076,1.507,31.391666666666666,process_tree,2.19,process_tree,893.87
890000,882.202,1.94,1.305,34.358333333333334,process_tree,2.2,process_tree,898.05
900000,887.292,2.22,1.493,38.208333333333336,process_tree,2.25,process_tree,919.29
910000,892.208,2.05,1.514,37.916666666666664,process_tree,2.3,process_tree,942.68
920000,897.368,1.963,1.393,45.00833333333333,process_tree,2.16,process_tree,884.39
930000,902.203,2.121,1.544,59.416666666666664,process_tree,2.18,process_tree,891.19
940000,906.895,2.228,1.581,38.225,process_tree,2.19,process_tree,896.96
950000,912.11,2.062,1.446,41.93333333333333,process_tree,2.22,process_tree,909.95
960000,916.953,2.074,1.453,53.449999999999996,process_tree,2.27,process_tree,930.5
970000,921.83,2.033,1.39,61.80833333333334,process_tree,2.33,process_tree,952.98
980000,926.698,2.059,1.439,34.34166666666667,process_tree,2.38,process_tree,974.12
990000,932.082,1.949,1.406,44.78333333333333,process_tree,2.44,process_tree,996.12
1000000,936.913,2.188,1.442,37.916666666666664,process_tree,2.49,process_tree,1018.19
1010000,942.103,2.034,1.466,34.31666666666666,process_tree,2.54,process_tree,1040.25
1020000,946.891,2.007,1.542,33.44166666666667,process_tree,2.59,process_tree,1061.23
1030000,951.652,2.026,1.455,45.083333333333336,process_tree,2.65,process_tree,1082.54
1040000,957.149,2.168,1.591,48.85833333333333,process_tree,2.7,process_tree,1104.35
1050000,962.033,2.067,1.599,36.733333333333334,process_tree,2.75,process_tree,1126.29
1060000,966.94,2.008,1.46,38.108333333333334,process_tree,2.8,process_tree,1147.25
1070000,971.798,2.12,1.547,54.94166666666666,process_tree,2.86,process_tree,1169.2
1080000,976.726,2.002,1.453,36.166666666666664,process_tree,2.91,process_tree,1190.95
1090000,981.498,2.081,1.534,36.983333333333334,process_tree,2.96,process_tree,1212.26
1100000,987.176,2.093,1.468,48.958333333333336,process_tree,3.02,process_tree,1234.14
1110000,992.009,1.959,1.485,46.975,process_tree,3.07,process_tree,1255.55
1120000,996.863,2.141,1.72,43.849999999999994,process_tree,3.12,process_tree,1276.93
1130000,1001.664,2.037,1.393,61.10833333333333,process_tree,3.17,process_tree,1297.98
1140000,1006.611,2.042,1.391,54.48333333333333,process_tree,3.23,process_tree,1320.34
1150000,1011.627,2.037,1.424,57.63333333333333,process_tree,3.28,process_tree,1342.01
1160000,1016.437,2.045,1.414,29.866666666666664,process_tree,3.33,process_tree,1362.81
1170000,1022.147,2.058,1.485,45.24166666666667,process_tree,3.39,process_tree,1384.97
1180000,1027.027,2.037,1.522,43.041666666666664,process_tree,3.44,process_tree,1406.61
1190000,1031.879,2.211,1.438,35.516666666666666,process_tree,3.49,process_tree,1428.8
1200000,1246.43,2.098,1.529,51.541666666666664,process_tree,2.21,process_tree,903.07
1210000,1251.208,4.099,3.914,45.083333333333336,process_tree,2.11,process_tree,862.02
1220000,1255.9,3.576,3.062,33.425,process_tree,2.12,process_tree,866.04
1230000,1260.572,4.077,3.629,48.89166666666666,process_tree,2.13,process_tree,871.55
1240000,1265.295,4.408,3.74,49.85833333333333,process_tree,2.15,process_tree,878.43
1250000,1270.151,3.277,2.75,36.175000000000004,process_tree,2.16,process_tree,882.95
1260000,1274.941,4.404,3.419,45.300000000000004,process_tree,2.18,process_tree,893.46
1270000,1279.573,3.641,3.234,36.733333333333334,process_tree,2.21,process_tree,902.53
1280000,1284.548,3.793,2.923,55.11666666666667,process_tree,2.23,process_tree,912.67
1290000,1289.283,3.872,3.187,48.666666666666664,process_tree,2.26,process_tree,923.75
1300000,1294.213,4.041,3.746,37.916666666666664,process_tree,2.31,process_tree,943.45
1310000,1298.919,4.068,3.643,48.96666666666666,process_tree,2.37,process_tree,967.88
1320000,1303.585,3.771,3.508,56.125,process_tree,2.21,process_tree,902.98
1330000,1308.412,4.221,3.627,59.71666666666666,process_tree,2.22,process_tree,908.96
1340000,1313.062,3.684,3.211,53.599999999999994,process_tree,2.24,process_tree,915.54
1350000,1317.875,3.973,3.377,37.0,process_tree,2.25,process_tree,921.59
1360000,1322.982,3.835,2.981,41.458333333333336,process_tree,2.28,process_tree,931.96
1370000,1327.685,3.705,3.273,45.291666666666664,process_tree,2.33,process_tree,952.81
1380000,1332.419,3.871,2.97,41.74166666666667,process_tree,2.38,process_tree,974.96
1390000,1337.103,3.606,3.13,33.141666666666666,process_tree,2.43,process_tree,995.25
1400000,1342.167,3.771,3.28,46.574999999999996,process_tree,2.49,process_tree,1017.98
1410000,1346.742,3.64,2.997,34.625,process_tree,2.54,process_tree,1039.16
1420000,1351.528,3.638,3.414,42.699999999999996,process_tree,2.59,process_tree,1061.02
1430000,1356.206,3.825,3.348,45.375,process_tree,2.65,process_tree,1083.08
1440000,1361.461,4.054,3.233,48.666666666666664,process_tree,2.7,process_tree,1103.98
1450000,1366.226,3.859,3.569,70.425,process_tree,2.75,process_tree,1126.2
1460000,1370.864,3.761,2.968,46.44166666666667,process_tree,2.81,process_tree,1147.56
1470000,1375.426,3.794,3.528,54.28333333333333,process_tree,2.86,process_tree,1168.75
1480000,1380.118,4.021,3.424,37.916666666666664,process_tree,2.91,process_tree,1190.89
1490000,1385.512,3.819,3.392,47.78333333333333,process_tree,2.96,process_tree,1212.17
1500000,1390.193,3.752,3.332,42.94166666666666,process_tree,3.02,process_tree,1233.84
1510000,1395.139,3.648,3.133,34.641666666666666,process_tree,3.07,process_tree,1255.68
1520000,1399.85,3.729,3.241,59.333333333333336,process_tree,3.12,process_tree,1277.01
1530000,1404.453,4.178,3.434,37.94166666666667,process_tree,3.17,process_tree,1298.48
1540000,1409.037,4.119,3.401,41.708333333333336,process_tree,3.23,process_tree,1320.2
1550000,1413.641,3.721,3.038,40.55,process_tree,3.28,process_tree,1341.87
1560000,1418.975,3.839,2.866,39.375,process_tree,3.33,process_tree,1362.95
1570000,1423.631,4.241,3.944,41.775,process_tree,3.38,process_tree,1384.56
1580000,1428.29,3.478,3.077,40.44166666666667,process_tree,3.44,process_tree,1406.4
1590000,1432.977,3.754,3.125,47.775,process_tree,3.49,process_tree,1426.96
1600000,1647.71,3.665,3.442,36.725,process_tree,2.27,process_tree,929.09
1610000,1652.129,11.421,10.382,47.083333333333336,process_tree,2.19,process_tree,896.11
1620000,1656.546,11.925,10.937,56.51666666666667,process_tree,2.18,process_tree,892.98
1630000,1661.079,11.692,11.021,65.39166666666667,process_tree,2.2,process_tree,900.54
1640000,1665.548,13.83,11.504,42.93333333333334,process_tree,2.21,process_tree,902.95
1650000,1670.031,12.664,11.503,46.28333333333333,process_tree,2.23,process_tree,912.32
1660000,1674.667,11.19,11.261,37.925000000000004,process_tree,2.24,process_tree,916.71
1670000,1679.214,12.745,11.921,42.99166666666667,process_tree,2.26,process_tree,925.5
1680000,1683.901,14.291,12.614,34.333333333333336,process_tree,2.28,process_tree,933.59
1690000,1688.306,11.356,10.293,41.11666666666667,process_tree,2.31,process_tree,943.44
1700000,1692.833,13.302,11.972,43.90833333333333,process_tree,2.35,process_tree,962.61
1710000,1697.539,11.659,11.843,33.43333333333333,process_tree,2.41,process_tree,986.88
1720000,1701.962,9.649,9.944,34.63333333333333,process_tree,2.3,process_tree,941.07
1730000,1706.646,13.409,11.917,37.025,process_tree,2.31,process_tree,945.86
