step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,35.7,system,
10000,17.532,1.729,1.226,33.449999999999996,process_tree,1.41,process_tree,575.75
20000,30.432,4.154,3.941,31.958333333333332,process_tree,1.42,process_tree,580.69
30000,43.227,10.456,13.691,33.141666666666666,process_tree,1.42,process_tree,582.32
40000,56.1,46.3,39.574,33.141666666666666,process_tree,1.42,process_tree,582.44
50000,67.984,62.717,41.402,33.141666666666666,process_tree,1.42,process_tree,582.45
60000,80.589,73.55,38.715,32.25,process_tree,1.43,process_tree,583.23
70000,93.542,49.143,30.837,37.0,process_tree,1.42,process_tree,582.61
80000,105.704,57.711,35.231,33.449999999999996,process_tree,1.42,process_tree,582.55
90000,117.92,79.413,32.857,33.449999999999996,process_tree,1.42,process_tree,582.89
100000,131.153,84.964,29.944,31.958333333333332,process_tree,1.43,process_tree,583.33
110000,143.304,82.4,32.337,33.449999999999996,process_tree,1.43,process_tree,583.3
120000,156.15,98.855,3.622,33.449999999999996,process_tree,1.42,process_tree,582.93
130000,168.47,92.125,15.399,33.449999999999996,process_tree,1.43,process_tree,583.3
140000,181.053,90.36,28.92,43.89166666666667,process_tree,1.42,process_tree,582.65
150000,193.46,100.0,0.0,33.449999999999996,process_tree,1.42,process_tree,582.61
160000,206.379,87.964,28.856,33.449999999999996,process_tree,1.43,process_tree,583.31
170000,218.419,46.863,39.486,33.449999999999996,process_tree,1.43,process_tree,583.39
180000,230.77,66.522,44.221,33.449999999999996,process_tree,1.42,process_tree,582.85
190000,243.611,100.0,0.0,42.708333333333336,process_tree,1.42,process_tree,582.73
200000,256.024,91.082,28.202,33.141666666666666,process_tree,1.43,process_tree,583.38
210000,268.139,87.725,32.477,33.449999999999996,process_tree,1.42,process_tree,582.7
220000,280.604,75.375,37.068,33.449999999999996,process_tree,1.43,process_tree,583.57
230000,293.658,94.57,16.29,33.449999999999996,process_tree,1.43,process_tree,583.35
240000,305.626,85.546,28.75,33.449999999999996,process_tree,1.43,process_tree,583.3
250000,318.411,54.795,36.96,33.449999999999996,process_tree,1.43,process_tree,583.39
260000,330.605,78.467,26.0,33.333333333333336,process_tree,1.43,process_tree,584.06
270000,343.178,89.8,28.006,33.44166666666667,process_tree,1.43,process_tree,583.47
280000,355.455,100.0,0.0,33.449999999999996,process_tree,1.43,process_tree,584.1
290000,367.819,100.0,0.0,33.449999999999996,process_tree,1.43,process_tree,584.06
300000,380.666,100.0,0.0,35.84166666666666,process_tree,1.43,process_tree,584.11
310000,392.971,100.0,0.0,32.25,process_tree,1.43,process_tree,583.41
320000,405.464,100.0,0.0,33.449999999999996,process_tree,1.43,process_tree,583.28
