step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,34.3,system,
10000,16.286,1.432,1.051,41.80833333333333,process_tree,1.39,process_tree,568.98
20000,27.616,4.335,3.7,44.199999999999996,process_tree,1.4,process_tree,571.02
30000,38.768,8.861,8.715,65.40833333333333,process_tree,1.4,process_tree,571.63
40000,50.181,18.376,23.982,33.449999999999996,process_tree,1.4,process_tree,571.71
50000,61.549,59.873,40.68,33.141666666666666,process_tree,1.4,process_tree,571.65
60000,72.856,84.785,35.08,33.333333333333336,process_tree,1.4,process_tree,571.64
70000,84.037,51.523,46.433,33.141666666666666,process_tree,1.4,process_tree,571.65
80000,95.112,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.65
90000,106.469,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.65
100000,117.842,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.65
110000,128.853,100.0,0.0,42.916666666666664,process_tree,1.4,process_tree,571.65
120000,140.449,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.59
130000,152.057,90.22,29.34,39.425,process_tree,1.4,process_tree,571.59
140000,163.482,91.717,27.473,33.449999999999996,process_tree,1.4,process_tree,571.6
150000,174.846,100.0,0.0,33.6,process_tree,1.4,process_tree,571.61
160000,185.952,100.0,0.0,43.791666666666664,process_tree,1.4,process_tree,571.67
170000,197.353,91.7,27.528,33.449999999999996,process_tree,1.4,process_tree,571.68
180000,208.661,100.0,0.0,28.666666666666668,process_tree,1.4,process_tree,571.68
190000,219.731,100.0,0.0,37.61666666666667,process_tree,1.4,process_tree,571.68
200000,231.056,100.0,0.0,33.449999999999996,process_tree,1.4,process_tree,571.68
210000,242.437,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.69
220000,253.779,71.65,44.825,33.449999999999996,process_tree,1.4,process_tree,571.69
230000,265.067,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.7
240000,276.222,100.0,0.0,32.25,process_tree,1.4,process_tree,571.7
250000,287.354,75.375,42.654,42.916666666666664,process_tree,1.4,process_tree,571.7
260000,298.685,100.0,0.0,32.25,process_tree,1.4,process_tree,571.77
270000,309.587,78.75,40.691,33.449999999999996,process_tree,1.4,process_tree,571.96
280000,321.091,91.109,28.116,38.65833333333333,process_tree,1.4,process_tree,571.96
290000,332.386,90.982,28.518,33.449999999999996,process_tree,1.4,process_tree,571.96
300000,343.516,100.0,0.0,32.291666666666664,process_tree,1.4,process_tree,571.96
310000,354.861,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.96
320000,365.959,91.7,27.528,33.449999999999996,process_tree,1.4,process_tree,571.96
330000,377.34,84.808,35.63,32.25,process_tree,1.4,process_tree,571.96
340000,388.412,90.973,28.547,33.141666666666666,process_tree,1.4,process_tree,571.96
350000,399.711,90.918,28.719,33.449999999999996,process_tree,1.4,process_tree,571.91
360000,410.68,87.538,32.973,69.28333333333333,process_tree,1.4,process_tree,571.83
370000,422.034,61.406,48.381,33.141666666666666,process_tree,1.4,process_tree,571.84
380000,433.304,77.1,41.81,41.80833333333333,process_tree,1.4,process_tree,571.83
390000,444.528,61.589,48.152,32.25,process_tree,1.4,process_tree,571.84
400000,455.495,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.84
410000,466.912,100.0,0.0,33.141666666666666,process_tree,1.4,process_tree,571.84
420000,478.224,100.0,0.0,33.333333333333336,process_tree,1.4,process_tree,571.84
430000,489.134,80.147,39.707,44.083333333333336,process_tree,1.4,process_tree,571.84
440000,500.506,90.936,28.662,43.00833333333333,process_tree,1.4,process_tree,571.84
450000,511.828,78.764,40.663,33.449999999999996,process_tree,1.4,process_tree,571.84
460000,522.979,83.433,37.044,33.141666666666666,process_tree,1.4,process_tree,571.84
470000,534.388,84.723,35.828,33.449999999999996,process_tree,1.4,process_tree,571.84
480000,545.754,100.0,0.0,32.25,process_tree,1.4,process_tree,571.84
490000,556.732,70.8,45.237,44.099999999999994,process_tree,1.4,process_tree,571.84
500000,568.058,77.154,41.711,33.449999999999996,process_tree,1.42,process_tree,581.84
510000,579.619,84.792,35.665,33.141666666666666,process_tree,1.42,process_tree,582.21
520000,590.633,100.0,0.0,33.449999999999996,process_tree,1.42,process_tree,582.21
530000,602.205,100.0,0.0,39.425,process_tree,1.42,process_tree,582.5
540000,613.211,85.843,34.678,42.60833333333333,process_tree,1.42,process_tree,582.55
550000,624.379,85.871,34.608,45.275,process_tree,1.42,process_tree,582.58
560000,635.716,83.45,37.007,33.449999999999996,process_tree,1.42,process_tree,582.67
570000,647.034,100.0,0.0,40.61666666666667,process_tree,1.42,process_tree,582.67
580000,658.406,91.0,28.461,29.866666666666664,process_tree,1.42,process_tree,582.73
590000,669.891,100.0,0.0,33.449999999999996,process_tree,1.42,process_tree,582.7
600000,680.939,100.0,0.0,43.00833333333333,process_tree,1.42,process_tree,582.69
610000,692.305,100.0,0.0,33.449999999999996,process_tree,1.42,process_tree,582.69
620000,703.691,91.009,28.432,33.141666666666666,process_tree,1.42,process_tree,582.69
630000,714.944,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,582.69
640000,726.409,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,582.69
650000,737.38,100.0,0.0,35.375,process_tree,1.42,process_tree,582.69
660000,748.709,100.0,0.0,30.208333333333332,process_tree,1.42,process_tree,582.68
670000,759.87,100.0,0.0,33.141666666666666,process_tree,1.42,process_tree,582.68
