step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,74.9,system,
10000,26.974,1.323,0.798,17.915,process_tree,1.96,process_tree,636.07
20000,45.874,2.113,1.336,9.27,process_tree,1.97,process_tree,638.14
30000,63.418,3.692,2.803,4.970000000000001,process_tree,1.97,process_tree,639.44
40000,82.059,5.352,4.909,5.68,process_tree,1.98,process_tree,640.96
50000,99.504,8.394,8.483,5.7,process_tree,1.98,process_tree,641.96
60000,117.002,16.661,20.296,4.970000000000001,process_tree,1.98,process_tree,642.18
70000,134.517,38.833,33.93,5.735,process_tree,1.99,process_tree,643.18
80000,151.604,44.183,35.707,6.45,process_tree,1.99,process_tree,643.2
90000,168.398,89.425,19.67,4.985,process_tree,1.99,process_tree,643.1
100000,185.623,93.662,21.957,5.015,process_tree,1.99,process_tree,643.27
110000,203.093,96.6,11.277,5.015,process_tree,1.99,process_tree,643.55
120000,220.368,93.638,16.834,5.68,process_tree,1.99,process_tree,643.51
130000,238.537,99.309,2.185,5.735,process_tree,1.99,process_tree,643.41
140000,254.558,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,643.5
150000,270.484,84.969,35.254,4.3,process_tree,1.99,process_tree,643.59
160000,287.499,82.214,34.785,2.84,process_tree,1.99,process_tree,643.57
170000,304.736,90.95,27.222,17.169999999999998,process_tree,1.99,process_tree,644.63
180000,320.595,100.0,0.0,5.015,process_tree,1.99,process_tree,644.09
190000,339.389,75.323,38.477,4.3,process_tree,1.99,process_tree,644.79
200000,355.594,84.777,35.701,4.975,process_tree,1.99,process_tree,644.87
210000,372.314,90.09,29.73,12.135,process_tree,1.99,process_tree,644.89
220000,390.197,71.229,44.593,8.575,process_tree,1.99,process_tree,644.61
230000,407.202,88.42,29.101,7.165000000000001,process_tree,1.99,process_tree,645.05
240000,424.314,100.0,0.0,22.264999999999997,process_tree,1.99,process_tree,644.94
250000,442.908,100.0,0.0,10.694999999999999,process_tree,1.99,process_tree,645.09
260000,460.385,91.683,27.583,5.015,process_tree,1.99,process_tree,644.7
270000,477.139,84.723,35.828,17.19,process_tree,1.99,process_tree,645.2
280000,494.849,100.0,0.0,8.175,process_tree,1.99,process_tree,644.49
290000,511.719,90.86,27.42,5.6850000000000005,process_tree,1.99,process_tree,645.2
