step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,75.5,system,
10000,18.397,1.159,0.691,5.735,process_tree,1.99,process_tree,644.18
20000,32.96,1.133,0.639,4.26,process_tree,2.0,process_tree,646.4
30000,47.811,1.282,0.829,1.875,process_tree,2.0,process_tree,647.88
40000,62.183,1.592,0.972,3.585,process_tree,2.0,process_tree,647.03
50000,76.688,1.889,1.134,5.015,process_tree,2.0,process_tree,647.23
60000,92.507,2.238,1.508,5.015,process_tree,2.0,process_tree,647.31
70000,108.27,2.654,1.832,3.585,process_tree,2.0,process_tree,647.64
80000,122.706,3.22,2.344,3.55,process_tree,2.0,process_tree,647.72
90000,136.525,3.208,2.387,5.015,process_tree,2.0,process_tree,648.25
100000,150.675,3.523,2.775,5.88,process_tree,2.0,process_tree,648.0
110000,166.123,4.536,3.609,5.015,process_tree,2.0,process_tree,648.82
120000,181.593,4.026,3.652,4.3,process_tree,2.0,process_tree,648.82
130000,195.961,3.778,3.509,3.55,process_tree,2.0,process_tree,648.52
140000,210.036,4.378,4.465,13.580000000000002,process_tree,2.0,process_tree,648.68
150000,224.092,5.768,4.728,5.015,process_tree,2.0,process_tree,649.06
160000,238.512,6.099,5.847,17.815,process_tree,2.0,process_tree,648.79
170000,252.923,6.177,6.421,10.735,process_tree,2.0,process_tree,648.84
180000,267.523,6.592,7.051,17.115,process_tree,2.0,process_tree,648.82
190000,281.715,8.886,9.436,16.47,process_tree,2.0,process_tree,648.98
200000,295.826,10.846,11.306,23.115000000000002,process_tree,2.0,process_tree,649.16
210000,310.552,6.856,6.055,9.3,process_tree,2.01,process_tree,649.54
220000,325.069,7.036,6.087,16.445,process_tree,2.0,process_tree,649.45
230000,338.835,6.633,6.04,12.885,process_tree,2.01,process_tree,649.66
240000,352.78,7.566,4.961,4.970000000000001,process_tree,2.01,process_tree,650.2
250000,365.772,7.412,5.598,22.770000000000003,process_tree,2.01,process_tree,649.66
260000,379.77,7.465,6.308,6.404999999999999,process_tree,2.01,process_tree,650.3
270000,394.123,11.188,8.97,12.175,process_tree,2.01,process_tree,650.06
280000,408.287,10.709,8.162,12.855,process_tree,2.01,process_tree,650.02
290000,423.305,11.851,8.725,10.705000000000002,process_tree,2.01,process_tree,650.3
300000,437.778,9.633,5.94,14.25,process_tree,2.01,process_tree,650.05
310000,452.488,11.135,7.824,6.3950000000000005,process_tree,2.01,process_tree,650.28
320000,466.683,11.973,7.524,11.365,process_tree,2.01,process_tree,649.97
330000,481.2,11.956,7.014,22.06,process_tree,2.01,process_tree,650.35
340000,494.84,11.402,7.287,29.355,process_tree,2.01,process_tree,650.09
350000,508.469,12.472,9.294,6.45,process_tree,2.01,process_tree,650.41
360000,522.939,16.925,10.062,10.005,process_tree,2.01,process_tree,650.52
370000,537.087,17.115,12.174,20.27,process_tree,2.01,process_tree,650.14
380000,550.034,21.771,14.995,27.915,process_tree,2.01,process_tree,650.24
390000,564.108,24.314,15.537,14.995,process_tree,2.01,process_tree,650.03
400000,578.182,33.979,17.896,21.49,process_tree,2.01,process_tree,650.02
410000,591.81,39.11,27.023,14.975,process_tree,2.01,process_tree,650.21
420000,605.888,31.217,23.517,18.53,process_tree,2.01,process_tree,650.89
430000,619.718,29.828,25.918,22.175,process_tree,2.01,process_tree,651.11
440000,633.279,36.111,29.332,11.42,process_tree,2.01,process_tree,651.3
450000,646.636,41.483,27.534,7.875,process_tree,2.01,process_tree,650.95
460000,660.065,53.276,30.777,13.280000000000001,process_tree,2.01,process_tree,651.05
470000,673.241,82.877,32.874,21.715,process_tree,2.01,process_tree,651.02
480000,686.446,35.304,26.881,8.535,process_tree,2.01,process_tree,651.02
490000,699.746,69.563,28.904,12.175,process_tree,2.01,process_tree,651.62
500000,713.243,51.205,31.707,20.740000000000002,process_tree,2.03,process_tree,658.96
510000,725.958,25.379,22.278,10.705,process_tree,2.05,process_tree,662.48
