step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.0,system,
10000,18.442,1.144,0.69,22.775,process_tree,2.0,process_tree,648.65
20000,30.231,1.315,0.787,11.365,process_tree,2.01,process_tree,650.69
30000,42.372,1.518,0.849,7.159999999999999,process_tree,2.01,process_tree,651.93
40000,57.198,1.752,1.006,14.309999999999999,process_tree,2.01,process_tree,651.16
50000,68.249,2.509,1.605,9.305000000000001,process_tree,2.01,process_tree,651.91
60000,79.804,3.216,2.401,8.59,process_tree,2.01,process_tree,651.92
70000,91.233,3.494,2.766,14.12,process_tree,2.01,process_tree,652.0
80000,104.984,4.652,4.076,14.944999999999999,process_tree,2.01,process_tree,651.84
90000,115.771,6.212,6.649,12.819999999999999,process_tree,2.01,process_tree,652.05
100000,126.347,12.837,11.938,5.68,process_tree,2.01,process_tree,652.01
110000,136.454,21.848,25.237,17.875,process_tree,2.01,process_tree,652.11
120000,150.099,75.471,33.135,12.805000000000001,process_tree,2.02,process_tree,653.94
130000,160.843,88.025,27.718,34.105000000000004,process_tree,2.01,process_tree,652.32
140000,171.484,91.355,27.339,13.515,process_tree,2.01,process_tree,652.42
150000,181.869,100.0,0.0,8.195,process_tree,2.02,process_tree,653.94
160000,195.147,100.0,0.0,11.425,process_tree,2.02,process_tree,654.08
170000,205.862,100.0,0.0,22.725,process_tree,2.02,process_tree,652.84
180000,216.263,91.767,27.307,6.409999999999999,process_tree,2.02,process_tree,653.52
190000,226.306,100.0,0.0,6.675,process_tree,2.02,process_tree,653.77
200000,239.958,100.0,0.0,13.605,process_tree,2.02,process_tree,653.71
210000,250.64,100.0,0.0,11.405,process_tree,2.02,process_tree,653.87
220000,260.985,100.0,0.0,19.21,process_tree,2.02,process_tree,653.86
230000,271.179,100.0,0.0,10.694999999999999,process_tree,2.02,process_tree,654.03
