step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,88.9,system,
10000,25.022,1.468,0.878,4.970000000000001,process_tree,1.97,process_tree,637.07
20000,42.584,2.209,1.343,5.6850000000000005,process_tree,1.97,process_tree,639.18
30000,60.519,3.032,2.186,4.970000000000001,process_tree,1.98,process_tree,640.64
40000,77.303,4.167,3.596,5.015,process_tree,1.98,process_tree,641.74
50000,94.557,6.56,6.436,7.885,process_tree,1.98,process_tree,642.87
60000,110.432,6.838,7.415,6.45,process_tree,1.99,process_tree,643.11
70000,128.215,8.861,7.963,6.45,process_tree,1.99,process_tree,643.52
80000,144.771,11.28,9.732,5.735,process_tree,1.99,process_tree,643.76
90000,161.124,10.802,15.048,22.9,process_tree,1.99,process_tree,643.49
100000,178.554,13.661,14.847,5.015,process_tree,1.99,process_tree,643.16
110000,194.959,23.672,27.196,9.32,process_tree,1.99,process_tree,644.12
120000,211.851,22.327,22.781,7.815,process_tree,1.99,process_tree,643.56
130000,228.362,25.176,30.883,5.015,process_tree,1.99,process_tree,644.14
140000,244.634,11.843,11.492,5.015,process_tree,1.99,process_tree,643.08
150000,261.475,14.477,11.372,14.225,process_tree,1.99,process_tree,643.31
160000,277.494,15.534,13.248,7.12,process_tree,1.99,process_tree,643.24
170000,294.517,14.939,12.126,7.1049999999999995,process_tree,1.99,process_tree,643.57
180000,310.174,18.384,15.501,7.885,process_tree,1.99,process_tree,644.92
190000,326.337,31.627,24.997,3.585,process_tree,1.99,process_tree,644.52
200000,342.624,15.654,15.555,15.7,process_tree,1.99,process_tree,644.62
210000,359.145,45.12,32.503,11.415000000000001,process_tree,1.99,process_tree,644.79
220000,375.397,55.594,38.65,8.525,process_tree,1.99,process_tree,645.13
230000,392.02,37.671,34.587,4.970000000000001,process_tree,1.99,process_tree,644.67
240000,408.103,37.088,32.296,4.970000000000001,process_tree,1.99,process_tree,644.59
250000,424.516,46.061,32.242,5.015,process_tree,1.99,process_tree,645.35
260000,440.692,43.422,39.686,7.1,process_tree,1.99,process_tree,644.91
270000,457.034,33.315,29.556,7.815,process_tree,1.99,process_tree,645.59
280000,472.753,31.544,31.686,6.45,process_tree,1.99,process_tree,644.64
290000,488.827,28.359,22.722,15.005,process_tree,1.99,process_tree,644.61
300000,505.626,44.895,27.307,12.180000000000001,process_tree,1.99,process_tree,644.7
310000,521.293,55.524,37.818,14.319999999999999,process_tree,1.99,process_tree,645.03
320000,537.975,27.882,23.789,13.495,process_tree,1.99,process_tree,644.84
330000,553.878,27.306,19.956,5.015,process_tree,1.99,process_tree,645.23
340000,569.881,33.411,28.073,5.015,process_tree,1.99,process_tree,644.72
350000,585.851,41.286,29.096,4.970000000000001,process_tree,1.99,process_tree,645.49
360000,601.945,46.726,29.721,5.68,process_tree,1.99,process_tree,644.93
370000,618.714,24.48,20.747,15.77,process_tree,1.99,process_tree,644.95
380000,634.328,21.327,18.84,4.970000000000001,process_tree,1.99,process_tree,645.44
390000,650.567,16.425,12.269,6.39,process_tree,1.99,process_tree,646.07
400000,666.857,22.735,18.437,5.68,process_tree,1.99,process_tree,645.84
410000,683.34,26.315,17.279,6.45,process_tree,1.99,process_tree,645.03
420000,699.996,54.77,37.853,17.205000000000002,process_tree,1.99,process_tree,644.91
430000,715.602,49.724,32.087,5.68,process_tree,1.99,process_tree,645.2
440000,731.605,56.515,32.766,17.044999999999998,process_tree,1.99,process_tree,644.88
450000,747.506,55.1,34.148,10.75,process_tree,1.99,process_tree,645.42
460000,763.973,38.406,27.221,4.970000000000001,process_tree,1.99,process_tree,645.03
470000,780.65,60.49,38.809,4.970000000000001,process_tree,1.99,process_tree,645.67
480000,795.666,39.804,33.475,4.970000000000001,process_tree,1.99,process_tree,645.55
490000,812.068,25.791,25.305,5.015,process_tree,1.99,process_tree,645.82
500000,828.574,29.243,27.086,5.68,process_tree,2.02,process_tree,655.05
510000,845.671,22.025,19.159,7.165000000000001,process_tree,2.02,process_tree,655.38
520000,862.081,21.215,19.853,6.45,process_tree,2.02,process_tree,654.87
530000,879.091,24.3,20.616,4.3,process_tree,2.02,process_tree,655.02
540000,896.452,26.658,24.406,4.970000000000001,process_tree,2.02,process_tree,655.12
550000,913.411,76.74,31.569,5.015,process_tree,2.02,process_tree,655.63
560000,928.983,82.864,28.273,6.659999999999999,process_tree,2.02,process_tree,654.64
570000,945.528,66.519,31.298,7.165000000000001,process_tree,2.02,process_tree,654.64
580000,962.045,21.96,20.749,7.140000000000001,process_tree,2.02,process_tree,654.67
590000,978.03,69.673,38.516,4.970000000000001,process_tree,2.02,process_tree,654.88
600000,994.962,49.768,42.242,5.01,process_tree,2.02,process_tree,655.3
610000,1011.813,46.728,36.015,14.580000000000002,process_tree,2.02,process_tree,654.89
620000,1028.476,63.76,30.456,6.39,process_tree,2.02,process_tree,654.92
630000,1045.558,44.559,33.002,5.015,process_tree,2.02,process_tree,654.89
640000,1062.333,43.279,25.576,8.525,process_tree,2.02,process_tree,654.84
650000,1079.214,45.588,37.72,5.015,process_tree,2.02,process_tree,655.15
660000,1095.912,56.217,32.876,9.275,process_tree,2.02,process_tree,655.53
670000,1111.96,45.444,31.471,7.165000000000001,process_tree,2.02,process_tree,655.49
680000,1128.474,62.527,38.306,12.075,process_tree,2.02,process_tree,654.91
690000,1145.427,87.642,21.739,5.015,process_tree,2.02,process_tree,655.57
700000,1162.987,63.8,36.532,5.015,process_tree,2.03,process_tree,656.24
710000,1178.424,57.807,35.345,5.725,process_tree,2.02,process_tree,655.91
720000,1195.572,49.747,32.078,4.970000000000001,process_tree,2.02,process_tree,655.58
730000,1211.881,41.314,39.948,6.435,process_tree,2.02,process_tree,655.45
740000,1228.061,25.424,25.715,5.015,process_tree,2.02,process_tree,655.46
750000,1244.253,28.796,28.453,4.3,process_tree,2.02,process_tree,655.67
760000,1260.834,70.4,34.83,4.970000000000001,process_tree,2.03,process_tree,656.28
770000,1277.642,96.464,11.183,7.165000000000001,process_tree,2.02,process_tree,655.73
780000,1293.708,70.388,41.078,7.165000000000001,process_tree,2.02,process_tree,655.75
790000,1311.085,77.208,39.685,5.7299999999999995,process_tree,2.03,process_tree,656.51
800000,1327.6,58.438,43.3,6.390000000000001,process_tree,2.02,process_tree,655.75
810000,1343.224,100.0,0.0,14.915000000000001,process_tree,2.02,process_tree,655.84
820000,1360.87,97.87,6.39,7.165000000000001,process_tree,2.02,process_tree,655.75
830000,1376.417,87.055,29.663,9.32,process_tree,2.02,process_tree,655.7
840000,1393.513,83.533,36.821,4.970000000000001,process_tree,2.03,process_tree,656.26
850000,1410.159,77.085,33.62,5.015,process_tree,2.03,process_tree,656.04
860000,1426.89,79.842,32.273,4.3,process_tree,2.02,process_tree,655.92
870000,1443.848,95.564,12.902,4.26,process_tree,2.02,process_tree,655.94
880000,1460.097,75.342,42.71,10.655000000000001,process_tree,2.02,process_tree,655.86
890000,1476.73,100.0,0.0,9.23,process_tree,2.02,process_tree,655.94
900000,1492.955,79.043,40.134,12.855,process_tree,2.02,process_tree,655.89
910000,1509.954,28.543,36.158,5.015,process_tree,2.03,process_tree,657.08
920000,1526.506,21.428,25.623,5.015,process_tree,2.03,process_tree,656.65
930000,1543.556,35.207,36.436,4.970000000000001,process_tree,2.03,process_tree,656.55
940000,1560.568,72.133,42.957,7.13,process_tree,2.03,process_tree,656.52
950000,1577.241,75.7,34.226,12.9,process_tree,2.02,process_tree,655.8
960000,1594.035,67.206,38.316,4.26,process_tree,2.03,process_tree,656.23
970000,1610.258,46.83,30.063,7.165000000000001,process_tree,2.03,process_tree,656.01
980000,1627.311,60.764,39.095,6.445,process_tree,2.02,process_tree,655.83
990000,1643.403,79.321,39.607,16.794999999999998,process_tree,2.02,process_tree,655.75
1000000,1659.641,100.0,0.0,7.165000000000001,process_tree,2.03,process_tree,656.67
1010000,1676.45,90.08,29.76,11.4,process_tree,2.03,process_tree,656.74
