step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.4,system,
10000,26.865,1.884,1.527,9.955000000000002,process_tree,1.99,process_tree,643.14
20000,47.436,6.626,7.028,6.39,process_tree,2.0,process_tree,647.87
30000,67.009,33.42,32.962,5.015,process_tree,2.0,process_tree,648.77
40000,86.57,51.979,37.394,5.015,process_tree,2.0,process_tree,648.84
50000,105.866,72.246,30.567,4.26,process_tree,2.0,process_tree,648.97
60000,126.561,83.771,30.495,7.1,process_tree,2.0,process_tree,648.65
70000,145.576,75.119,37.885,5.735,process_tree,2.0,process_tree,649.18
80000,165.002,49.713,30.658,5.6850000000000005,process_tree,2.0,process_tree,648.73
90000,186.394,88.636,24.846,5.015,process_tree,2.0,process_tree,648.7
100000,204.399,57.972,42.066,4.970000000000001,process_tree,2.0,process_tree,649.0
110000,224.24,51.804,42.917,4.375,process_tree,2.01,process_tree,650.02
120000,244.255,68.185,38.843,4.3,process_tree,2.0,process_tree,648.96
130000,264.267,94.222,10.836,5.015,process_tree,2.01,process_tree,649.49
140000,282.935,48.447,46.14,7.1,process_tree,2.01,process_tree,649.52
150000,302.396,100.0,0.0,5.68,process_tree,2.01,process_tree,649.86
160000,321.901,77.269,41.501,16.439999999999998,process_tree,2.01,process_tree,649.68
170000,341.297,66.8,46.953,11.445,process_tree,2.01,process_tree,649.87
180000,360.816,75.117,43.099,4.970000000000001,process_tree,2.01,process_tree,650.07
190000,380.884,2.489,13.527,5.015,process_tree,2.01,process_tree,649.89
200000,400.285,3.645,16.454,9.235,process_tree,2.01,process_tree,649.91
210000,421.025,8.099,25.956,8.6,process_tree,2.0,process_tree,649.43
220000,440.295,22.092,40.695,5.695,process_tree,2.01,process_tree,650.36
230000,460.597,3.236,15.828,9.275,process_tree,2.01,process_tree,650.53
240000,480.542,12.743,32.52,5.82,process_tree,2.01,process_tree,650.55
250000,499.993,19.133,38.553,6.39,process_tree,2.01,process_tree,650.6
260000,520.308,24.357,42.287,5.735,process_tree,2.01,process_tree,650.66
270000,539.2,58.586,46.376,5.735,process_tree,2.01,process_tree,650.98
280000,559.057,40.36,48.696,7.880000000000001,process_tree,2.01,process_tree,650.76
290000,578.733,32.707,46.316,7.4799999999999995,process_tree,2.01,process_tree,650.58
300000,598.043,44.544,49.158,4.3,process_tree,2.01,process_tree,650.96
310000,617.236,87.625,32.741,6.45,process_tree,2.01,process_tree,650.43
320000,637.459,54.677,47.553,7.8549999999999995,process_tree,2.01,process_tree,650.22
330000,656.477,78.936,35.667,4.3,process_tree,2.01,process_tree,650.55
340000,676.433,65.733,43.934,7.815,process_tree,2.01,process_tree,650.38
350000,694.96,51.868,42.418,13.594999999999999,process_tree,2.01,process_tree,650.48
360000,714.406,71.433,42.205,4.26,process_tree,2.01,process_tree,651.23
370000,733.667,75.267,42.84,5.82,process_tree,2.01,process_tree,651.36
380000,752.604,73.727,43.57,7.165000000000001,process_tree,2.01,process_tree,650.53
390000,771.395,82.1,37.972,4.3,process_tree,2.01,process_tree,650.29
400000,790.67,100.0,0.0,5.735,process_tree,2.01,process_tree,650.84
410000,809.432,84.708,35.864,3.55,process_tree,2.01,process_tree,650.78
420000,829.65,90.13,29.61,4.26,process_tree,2.01,process_tree,650.72
430000,848.381,90.18,29.46,9.295,process_tree,2.01,process_tree,650.72
440000,867.588,100.0,0.0,6.675,process_tree,2.01,process_tree,650.72
450000,886.768,100.0,0.0,5.015,process_tree,2.01,process_tree,650.73
460000,905.739,84.838,35.557,4.970000000000001,process_tree,2.01,process_tree,650.87
470000,924.535,91.118,28.087,4.970000000000001,process_tree,2.01,process_tree,650.68
480000,943.823,100.0,0.0,4.970000000000001,process_tree,2.01,process_tree,650.83
490000,963.345,100.0,0.0,7.165000000000001,process_tree,2.01,process_tree,650.84
500000,982.47,91.858,27.003,9.32,process_tree,2.04,process_tree,661.5
510000,1002.56,90.2,29.4,4.3,process_tree,2.04,process_tree,661.43
520000,1021.655,100.0,0.0,4.970000000000001,process_tree,2.04,process_tree,661.5
530000,1041.624,100.0,0.0,7.1,process_tree,2.04,process_tree,661.56
540000,1061.091,100.0,0.0,9.32,process_tree,2.04,process_tree,661.71
550000,1080.637,92.691,23.113,3.585,process_tree,2.04,process_tree,661.09
560000,1099.675,91.082,28.202,6.45,process_tree,2.04,process_tree,661.51
570000,1118.726,100.0,0.0,5.015,process_tree,2.04,process_tree,661.13
580000,1138.323,100.0,0.0,4.26,process_tree,2.04,process_tree,661.26
590000,1158.67,51.905,35.62,5.735,process_tree,2.04,process_tree,661.84
600000,1177.615,94.325,18.822,6.39,process_tree,2.04,process_tree,661.53
610000,1196.896,88.967,31.207,4.3,process_tree,2.04,process_tree,661.92
620000,1216.353,75.25,42.87,7.165000000000001,process_tree,2.04,process_tree,661.69
630000,1236.025,91.742,27.39,4.3,process_tree,2.04,process_tree,662.14
640000,1255.894,26.404,40.736,5.015,process_tree,2.04,process_tree,661.46
650000,1274.45,69.775,44.857,5.015,process_tree,2.04,process_tree,662.05
