step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,91.4,system,
10000,42.387,1.385,0.832,7.12,process_tree,1.96,process_tree,634.12
20000,55.905,1.938,1.188,3.585,process_tree,1.96,process_tree,636.42
30000,69.47,2.462,1.589,4.26,process_tree,1.97,process_tree,636.61
40000,82.712,3.785,2.706,2.8649999999999998,process_tree,1.97,process_tree,637.69
50000,95.24,4.872,4.093,10.02,process_tree,1.97,process_tree,637.85
60000,107.782,6.05,5.65,5.245,process_tree,1.97,process_tree,638.29
70000,120.54,8.079,7.504,4.3,process_tree,1.97,process_tree,639.31
80000,132.98,9.635,10.929,8.52,process_tree,1.97,process_tree,639.48
90000,145.199,14.571,19.576,12.180000000000001,process_tree,1.98,process_tree,640.03
100000,157.806,16.494,23.284,10.705000000000002,process_tree,1.98,process_tree,640.55
110000,169.88,24.176,27.83,14.975,process_tree,1.98,process_tree,640.52
120000,182.669,34.341,28.004,9.27,process_tree,1.98,process_tree,640.63
130000,195.411,45.152,42.545,16.485000000000003,process_tree,1.98,process_tree,640.99
140000,207.066,49.426,41.488,4.970000000000001,process_tree,1.98,process_tree,641.08
150000,219.414,87.718,24.179,9.315000000000001,process_tree,1.98,process_tree,640.74
160000,231.95,62.653,40.214,13.615,process_tree,1.98,process_tree,640.72
170000,244.157,72.829,39.872,6.435,process_tree,1.98,process_tree,640.7
180000,255.54,74.107,40.128,12.115,process_tree,1.98,process_tree,640.5
190000,268.034,81.964,38.261,7.885,process_tree,1.98,process_tree,641.07
200000,280.513,100.0,0.0,6.415000000000001,process_tree,1.98,process_tree,641.91
210000,292.949,82.246,35.433,18.619999999999997,process_tree,1.98,process_tree,641.91
220000,305.435,100.0,0.0,15.02,process_tree,1.98,process_tree,641.95
230000,317.352,88.592,28.115,22.035,process_tree,1.98,process_tree,641.77
240000,330.304,91.064,28.259,3.585,process_tree,1.98,process_tree,641.78
250000,342.378,91.825,27.113,5.88,process_tree,1.98,process_tree,641.94
260000,354.698,100.0,0.0,5.695,process_tree,1.98,process_tree,642.0
270000,367.326,77.177,41.672,19.315,process_tree,1.98,process_tree,642.29
280000,380.03,92.446,26.167,4.3,process_tree,1.98,process_tree,641.84
290000,392.269,99.782,0.69,4.26,process_tree,1.98,process_tree,641.81
300000,404.618,77.285,41.473,13.605,process_tree,1.98,process_tree,642.09
310000,417.065,69.106,45.825,4.975,process_tree,1.98,process_tree,641.83
320000,428.639,100.0,0.0,8.565000000000001,process_tree,1.98,process_tree,641.71
330000,441.185,91.1,28.144,4.970000000000001,process_tree,1.98,process_tree,641.68
340000,454.45,75.313,42.761,28.660000000000004,process_tree,1.98,process_tree,641.67
350000,466.474,91.942,26.726,5.7,process_tree,1.98,process_tree,641.56
360000,478.439,83.583,36.709,4.3,process_tree,1.98,process_tree,641.58
370000,491.097,65.214,46.673,8.01,process_tree,1.98,process_tree,641.53
380000,502.521,87.738,32.444,13.580000000000002,process_tree,1.98,process_tree,641.7
390000,514.231,100.0,0.0,5.015,process_tree,1.98,process_tree,641.76
400000,526.431,75.425,42.568,7.165000000000001,process_tree,1.98,process_tree,641.87
410000,538.924,100.0,0.0,18.535,process_tree,1.98,process_tree,641.77
420000,551.094,73.527,43.903,24.160000000000004,process_tree,1.98,process_tree,641.82
430000,564.48,82.127,37.914,3.585,process_tree,1.98,process_tree,641.89
440000,577.122,100.0,0.0,4.3,process_tree,1.98,process_tree,641.72
450000,589.873,73.5,43.946,8.6,process_tree,1.98,process_tree,641.57
460000,603.305,100.0,0.0,4.985,process_tree,1.98,process_tree,641.89
470000,616.878,91.027,28.374,4.970000000000001,process_tree,1.98,process_tree,641.94
480000,629.566,91.775,27.279,18.589999999999996,process_tree,1.98,process_tree,641.86
490000,641.654,100.0,0.0,5.015,process_tree,1.98,process_tree,642.03
500000,653.589,67.0,46.67,12.9,process_tree,2.01,process_tree,650.42
510000,666.318,85.893,34.555,25.755000000000003,process_tree,2.01,process_tree,651.74
520000,678.538,84.808,35.629,20.055,process_tree,2.01,process_tree,651.72
530000,691.014,100.0,0.0,13.55,process_tree,2.01,process_tree,651.87
540000,703.502,91.783,27.252,5.015,process_tree,2.01,process_tree,651.87
550000,715.762,89.1,30.83,9.98,process_tree,2.01,process_tree,651.81
560000,727.98,87.65,32.675,3.585,process_tree,2.01,process_tree,651.74
570000,740.78,85.793,34.8,4.3,process_tree,2.01,process_tree,652.29
580000,752.715,100.0,0.0,7.834999999999999,process_tree,2.01,process_tree,651.77
590000,764.602,77.477,41.125,8.52,process_tree,2.01,process_tree,651.8
600000,777.589,92.354,26.487,10.035,process_tree,2.01,process_tree,652.03
610000,789.554,100.0,0.0,6.404999999999999,process_tree,2.01,process_tree,651.96
620000,801.793,100.0,0.0,5.015,process_tree,2.01,process_tree,652.12
630000,814.081,100.0,0.0,7.165000000000001,process_tree,2.01,process_tree,651.93
640000,826.357,100.0,0.0,5.015,process_tree,2.01,process_tree,652.07
650000,838.308,100.0,0.0,4.970000000000001,process_tree,2.01,process_tree,651.98
