step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,82.3,system,
10000,22.811,1.436,0.949,6.720000000000001,process_tree,1.95,process_tree,633.1
20000,39.092,2.855,1.872,5.015,process_tree,1.96,process_tree,635.12
30000,55.041,6.543,5.41,4.3,process_tree,1.96,process_tree,635.15
40000,70.536,18.406,16.864,4.970000000000001,process_tree,1.96,process_tree,635.19
50000,85.6,65.689,44.541,7.1450000000000005,process_tree,1.96,process_tree,635.32
60000,101.341,88.978,31.176,5.735,process_tree,1.96,process_tree,635.38
70000,116.803,100.0,0.0,5.015,process_tree,1.96,process_tree,635.38
80000,132.404,84.638,36.026,6.404999999999999,process_tree,1.96,process_tree,635.41
90000,147.536,84.785,35.683,6.39,process_tree,1.96,process_tree,635.48
100000,163.106,64.912,47.51,12.115,process_tree,1.96,process_tree,634.89
110000,178.64,91.683,27.583,5.015,process_tree,1.96,process_tree,635.18
120000,193.938,100.0,0.0,5.015,process_tree,1.96,process_tree,635.02
130000,208.531,100.0,0.0,5.015,process_tree,1.96,process_tree,635.13
140000,224.163,91.8,27.196,6.39,process_tree,1.96,process_tree,635.44
150000,239.183,100.0,0.0,4.3,process_tree,1.96,process_tree,635.44
160000,254.803,91.683,27.583,5.735,process_tree,1.96,process_tree,635.45
170000,269.418,78.736,40.719,5.735,process_tree,1.96,process_tree,635.45
180000,284.695,75.242,42.884,5.015,process_tree,1.96,process_tree,635.41
190000,300.446,100.0,0.0,6.45,process_tree,1.96,process_tree,635.84
200000,315.748,100.0,0.0,4.3,process_tree,1.96,process_tree,636.13
210000,330.958,100.0,0.0,5.015,process_tree,1.96,process_tree,636.13
220000,346.409,100.0,0.0,4.26,process_tree,1.96,process_tree,636.13
230000,361.589,84.846,35.539,6.535000000000001,process_tree,1.96,process_tree,636.07
240000,376.981,82.2,37.76,5.015,process_tree,1.96,process_tree,636.08
250000,392.874,100.0,0.0,5.82,process_tree,1.96,process_tree,635.89
260000,407.936,91.692,27.556,5.735,process_tree,1.96,process_tree,636.03
270000,423.615,100.0,0.0,4.3,process_tree,1.96,process_tree,636.03
280000,438.86,84.762,35.739,2.8649999999999998,process_tree,1.96,process_tree,636.04
290000,454.089,84.662,35.972,5.015,process_tree,1.96,process_tree,636.08
300000,469.588,100.0,0.0,13.564999999999998,process_tree,1.96,process_tree,635.85
