step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,75.6,system,
10000,27.472,1.055,0.643,9.995000000000001,process_tree,1.97,process_tree,639.3
20000,46.86,1.319,0.802,28.654999999999994,process_tree,1.98,process_tree,641.89
30000,68.916,1.687,0.973,17.1,process_tree,1.98,process_tree,642.12
40000,87.771,2.214,1.386,13.540000000000001,process_tree,1.98,process_tree,642.06
50000,104.981,3.202,2.147,19.945,process_tree,1.98,process_tree,642.05
60000,116.237,3.409,2.822,6.445,process_tree,1.99,process_tree,643.24
70000,126.515,4.842,3.683,7.869999999999999,process_tree,1.99,process_tree,643.36
80000,136.618,8.082,9.083,5.8100000000000005,process_tree,1.99,process_tree,643.54
90000,151.617,13.714,14.304,15.755,process_tree,1.99,process_tree,643.86
100000,168.848,63.285,35.317,6.415000000000001,process_tree,1.99,process_tree,644.31
110000,186.697,79.364,34.783,12.89,process_tree,1.99,process_tree,644.41
120000,207.617,100.0,0.0,12.834999999999999,process_tree,1.99,process_tree,644.95
130000,224.58,100.0,0.0,14.975,process_tree,1.99,process_tree,645.44
140000,241.54,100.0,0.0,5.71,process_tree,1.99,process_tree,645.47
150000,261.967,100.0,0.0,5.725,process_tree,1.99,process_tree,645.29
160000,278.182,100.0,0.0,24.869999999999997,process_tree,1.99,process_tree,645.91
170000,294.939,100.0,0.0,17.77,process_tree,1.99,process_tree,645.85
180000,315.453,100.0,0.0,6.435,process_tree,2.0,process_tree,646.28
190000,332.233,100.0,0.0,10.0,process_tree,2.0,process_tree,646.44
200000,349.236,100.0,0.0,7.15,process_tree,2.0,process_tree,646.38
