step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,91.2,system,
10000,21.804,1.44,0.922,10.694999999999999,process_tree,1.96,process_tree,635.47
20000,35.781,3.139,2.272,17.18,process_tree,1.97,process_tree,637.73
30000,48.825,6.42,5.637,11.41,process_tree,1.97,process_tree,639.05
40000,62.91,43.436,35.244,5.725,process_tree,1.97,process_tree,639.65
50000,76.665,52.065,39.157,5.01,process_tree,1.98,process_tree,640.14
60000,90.205,74.4,27.319,2.84,process_tree,1.97,process_tree,639.44
70000,104.011,45.973,31.107,5.015,process_tree,1.98,process_tree,640.28
80000,117.333,19.752,20.887,5.015,process_tree,1.98,process_tree,640.59
90000,130.295,49.681,39.347,5.015,process_tree,1.98,process_tree,640.62
100000,144.837,35.564,23.561,15.755,process_tree,1.98,process_tree,640.04
110000,158.037,100.0,0.0,11.46,process_tree,1.98,process_tree,640.8
120000,171.07,100.0,0.0,20.585,process_tree,1.98,process_tree,640.07
130000,184.403,73.465,32.076,9.16,process_tree,1.98,process_tree,640.68
140000,198.298,65.08,41.842,10.025,process_tree,1.98,process_tree,641.11
150000,212.051,50.128,36.723,17.110000000000003,process_tree,1.98,process_tree,640.94
160000,225.48,51.789,27.229,10.655000000000001,process_tree,1.98,process_tree,641.27
170000,239.391,30.893,35.212,5.7299999999999995,process_tree,1.98,process_tree,641.63
180000,252.817,80.788,33.873,12.85,process_tree,1.98,process_tree,641.01
190000,266.691,70.092,38.746,4.3,process_tree,1.98,process_tree,641.5
200000,280.644,31.412,29.958,4.3,process_tree,1.98,process_tree,641.04
210000,293.777,17.126,8.66,5.015,process_tree,1.98,process_tree,641.09
220000,306.939,96.767,7.231,4.970000000000001,process_tree,1.98,process_tree,641.74
230000,321.505,49.719,39.696,10.0,process_tree,1.98,process_tree,641.77
240000,335.138,81.725,34.597,11.425,process_tree,1.98,process_tree,641.03
250000,349.132,70.346,38.706,31.3,process_tree,1.98,process_tree,642.43
260000,362.581,100.0,0.0,19.32,process_tree,1.98,process_tree,641.8
270000,375.797,100.0,0.0,13.59,process_tree,1.98,process_tree,641.64
280000,389.025,78.929,37.095,7.955000000000001,process_tree,1.98,process_tree,641.48
290000,402.861,87.486,30.929,14.219999999999999,process_tree,1.98,process_tree,641.39
300000,416.182,89.427,24.046,13.540000000000001,process_tree,1.98,process_tree,642.21
310000,429.703,100.0,0.0,13.569999999999999,process_tree,1.98,process_tree,641.74
320000,443.859,100.0,0.0,5.015,process_tree,1.98,process_tree,641.78
330000,457.441,100.0,0.0,5.735,process_tree,1.98,process_tree,641.83
340000,471.018,100.0,0.0,5.725,process_tree,1.98,process_tree,641.38
350000,484.877,100.0,0.0,5.015,process_tree,1.98,process_tree,642.01
