step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,80.3,system,
10000,18.395,1.364,0.81,3.55,process_tree,1.97,process_tree,638.04
20000,30.412,2.438,1.859,12.165000000000001,process_tree,1.98,process_tree,640.29
30000,42.26,4.376,3.149,16.47,process_tree,1.98,process_tree,640.29
40000,53.438,8.884,9.342,7.8199999999999985,process_tree,1.98,process_tree,641.12
50000,64.308,27.182,20.148,13.930000000000001,process_tree,1.98,process_tree,640.48
60000,74.427,85.085,34.989,5.735,process_tree,1.98,process_tree,640.75
70000,85.557,100.0,0.0,7.875,process_tree,1.98,process_tree,641.56
80000,97.221,100.0,0.0,18.48,process_tree,1.98,process_tree,641.34
90000,108.243,100.0,0.0,4.985,process_tree,1.98,process_tree,641.96
100000,118.411,100.0,0.0,4.26,process_tree,1.98,process_tree,642.37
110000,129.38,100.0,0.0,5.015,process_tree,1.99,process_tree,643.16
120000,140.472,91.683,27.583,22.205000000000002,process_tree,1.98,process_tree,642.25
130000,151.213,90.04,29.88,6.435,process_tree,1.99,process_tree,643.29
140000,162.536,92.769,25.048,5.735,process_tree,1.98,process_tree,642.79
150000,173.196,84.818,32.877,5.68,process_tree,1.99,process_tree,643.26
160000,184.908,69.75,45.413,5.015,process_tree,1.99,process_tree,643.21
170000,196.779,100.0,0.0,19.09,process_tree,1.99,process_tree,643.44
180000,208.757,92.338,26.54,15.75,process_tree,1.99,process_tree,643.38
190000,219.464,69.323,46.015,12.17,process_tree,1.98,process_tree,642.8
200000,229.671,100.0,0.0,4.3,process_tree,1.99,process_tree,644.19
210000,241.611,81.973,38.242,4.970000000000001,process_tree,1.99,process_tree,643.61
220000,252.401,100.0,0.0,9.995000000000001,process_tree,1.98,process_tree,642.96
230000,262.52,100.0,0.0,10.705000000000002,process_tree,1.99,process_tree,643.1
240000,272.477,100.0,0.0,18.485,process_tree,1.99,process_tree,643.54
250000,282.197,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,643.39
260000,292.791,91.683,27.583,4.275,process_tree,1.99,process_tree,643.08
270000,303.827,90.07,29.79,9.280000000000001,process_tree,1.99,process_tree,644.11
280000,315.119,100.0,0.0,19.345,process_tree,1.99,process_tree,643.83
290000,325.814,84.792,35.666,11.4,process_tree,1.99,process_tree,644.11
300000,335.783,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,644.14
310000,346.205,100.0,0.0,9.985,process_tree,1.99,process_tree,644.21
320000,357.542,90.909,28.748,4.295,process_tree,1.99,process_tree,643.11
330000,369.259,90.945,28.633,11.405,process_tree,1.99,process_tree,643.86
340000,380.147,100.0,0.0,8.555000000000001,process_tree,1.99,process_tree,644.24
350000,389.872,91.683,27.583,4.3,process_tree,1.99,process_tree,643.83
360000,401.317,100.0,0.0,5.015,process_tree,1.99,process_tree,643.75
370000,411.686,100.0,0.0,5.85,process_tree,1.99,process_tree,643.77
380000,421.642,100.0,0.0,14.24,process_tree,1.99,process_tree,643.88
390000,432.309,69.285,46.073,12.125,process_tree,1.99,process_tree,644.21
400000,442.966,100.0,0.0,5.68,process_tree,1.99,process_tree,643.72
410000,454.0,75.131,43.074,4.295,process_tree,1.99,process_tree,643.74
420000,465.193,91.675,27.611,17.8,process_tree,1.99,process_tree,643.64
430000,475.758,90.927,28.69,11.025,process_tree,1.99,process_tree,644.6
440000,486.662,91.675,27.611,15.719999999999999,process_tree,1.99,process_tree,644.33
450000,496.566,90.03,29.91,5.735,process_tree,1.99,process_tree,644.09
460000,507.207,100.0,0.0,4.985,process_tree,1.99,process_tree,644.08
470000,518.151,92.323,26.594,21.455000000000002,process_tree,1.99,process_tree,644.29
480000,529.284,100.0,0.0,15.080000000000002,process_tree,1.99,process_tree,644.19
490000,539.498,100.0,0.0,14.3,process_tree,1.99,process_tree,643.82
500000,550.056,88.042,27.64,8.59,process_tree,2.01,process_tree,650.96
510000,561.973,93.945,19.146,5.695,process_tree,2.02,process_tree,653.37
520000,573.0,100.0,0.0,10.004999999999999,process_tree,2.02,process_tree,654.05
530000,583.434,91.683,27.583,21.365000000000002,process_tree,2.02,process_tree,654.73
540000,594.404,91.833,27.086,13.885,process_tree,2.02,process_tree,654.05
