step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,79.0,system,
10000,52.357,1.241,0.755,2.8600000000000003,process_tree,1.97,process_tree,639.46
20000,91.289,1.229,0.746,7.135,process_tree,1.98,process_tree,641.23
30000,130.869,1.459,0.811,8.905000000000001,process_tree,1.98,process_tree,641.33
40000,163.723,1.569,0.897,15.930000000000001,process_tree,1.98,process_tree,641.73
50000,200.139,1.956,1.218,11.385000000000002,process_tree,1.98,process_tree,641.57
60000,236.444,1.997,1.121,9.575,process_tree,1.98,process_tree,641.78
70000,267.351,2.362,1.469,7.159999999999999,process_tree,1.98,process_tree,642.04
80000,304.76,2.778,1.739,9.415000000000001,process_tree,1.98,process_tree,642.43
90000,337.276,3.481,2.266,4.275,process_tree,1.98,process_tree,642.62
100000,366.142,3.623,2.817,4.985,process_tree,1.99,process_tree,643.31
110000,401.18,3.953,3.099,9.309999999999999,process_tree,1.99,process_tree,643.3
120000,436.773,4.595,3.711,13.615,process_tree,1.99,process_tree,643.33
130000,468.022,5.162,4.766,10.515,process_tree,1.99,process_tree,643.46
140000,511.606,6.02,5.81,1.25,process_tree,1.99,process_tree,643.48
150000,550.221,7.227,7.996,5.58,process_tree,1.99,process_tree,643.42
160000,582.348,8.007,9.522,7.95,process_tree,1.99,process_tree,644.34
170000,621.969,16.079,18.351,6.8,process_tree,1.99,process_tree,645.37
180000,662.667,14.726,18.618,9.99,process_tree,1.99,process_tree,645.32
190000,694.557,24.288,27.242,7.67,process_tree,1.99,process_tree,645.61
200000,731.388,33.181,32.44,0.45499999999999996,process_tree,1.99,process_tree,645.72
210000,761.694,79.785,30.553,3.325,process_tree,1.99,process_tree,646.06
220000,793.994,77.3,34.698,4.4350000000000005,process_tree,1.99,process_tree,646.07
230000,831.23,67.623,40.777,9.3,process_tree,1.99,process_tree,645.7
240000,861.96,66.207,42.201,5.390000000000001,process_tree,1.99,process_tree,646.0
250000,900.292,81.75,31.849,4.27,process_tree,1.99,process_tree,645.7
260000,937.563,80.05,32.55,3.5799999999999996,process_tree,1.99,process_tree,645.88
270000,966.361,90.15,29.55,17.105,process_tree,1.99,process_tree,645.6
280000,1002.939,82.973,36.19,5.01,process_tree,1.99,process_tree,645.94
290000,1036.421,100.0,0.0,5.7,process_tree,1.99,process_tree,645.75
300000,1065.447,100.0,0.0,6.44,process_tree,1.99,process_tree,645.72
310000,1099.378,92.417,25.151,2.8600000000000003,process_tree,2.0,process_tree,646.49
320000,1133.391,100.0,0.0,3.585,process_tree,2.0,process_tree,646.27
330000,1161.836,78.75,40.691,22.195,process_tree,2.0,process_tree,646.25
340000,1195.463,90.17,29.49,5.01,process_tree,2.0,process_tree,646.77
350000,1229.445,91.318,27.454,5.015,process_tree,2.0,process_tree,646.79
360000,1256.596,100.0,0.0,13.515,process_tree,2.0,process_tree,646.97
370000,1291.589,100.0,0.0,15.015,process_tree,2.0,process_tree,646.98
380000,1322.034,87.31,29.658,2.67,process_tree,2.0,process_tree,646.97
390000,1347.694,92.709,23.056,4.025,process_tree,2.0,process_tree,647.01
400000,1380.044,100.0,0.0,5.6,process_tree,2.0,process_tree,647.06
410000,1406.768,90.955,28.604,7.125,process_tree,2.0,process_tree,646.55
420000,1437.796,100.0,0.0,4.99,process_tree,2.0,process_tree,647.09
430000,1472.394,100.0,0.0,6.395,process_tree,2.0,process_tree,647.68
440000,1537.802,100.0,0.0,3.575,process_tree,2.0,process_tree,647.34
450000,1557.533,100.0,0.0,11.440000000000001,process_tree,2.0,process_tree,647.73
460000,1576.375,78.582,34.936,20.655,process_tree,2.0,process_tree,647.73
470000,1591.56,100.0,0.0,19.195,process_tree,2.0,process_tree,647.79
480000,1609.943,100.0,0.0,10.665000000000001,process_tree,2.0,process_tree,647.63
490000,1628.423,100.0,0.0,12.895,process_tree,2.0,process_tree,647.54
500000,1643.202,100.0,0.0,8.594999999999999,process_tree,2.02,process_tree,655.04
510000,1661.841,90.975,27.387,14.3,process_tree,2.03,process_tree,656.76
520000,1677.004,83.567,36.747,3.585,process_tree,2.03,process_tree,657.31
530000,1695.634,95.65,14.427,33.44,process_tree,2.03,process_tree,657.3
540000,1713.612,100.0,0.0,9.285,process_tree,2.03,process_tree,657.51
550000,1729.469,91.109,28.116,4.970000000000001,process_tree,2.03,process_tree,657.93
560000,1747.27,100.0,0.0,14.975,process_tree,2.03,process_tree,657.7
570000,1766.103,100.0,0.0,19.919999999999998,process_tree,2.03,process_tree,658.23
580000,1781.344,100.0,0.0,4.970000000000001,process_tree,2.03,process_tree,657.96
590000,1799.783,92.562,25.768,16.485,process_tree,2.03,process_tree,657.84
600000,1817.949,100.0,0.0,5.7299999999999995,process_tree,2.03,process_tree,657.73
610000,1833.647,100.0,0.0,12.86,process_tree,2.03,process_tree,658.02
620000,1853.531,98.15,4.895,10.01,process_tree,2.03,process_tree,657.99
630000,1872.207,84.669,35.954,3.585,process_tree,2.03,process_tree,658.43
640000,1887.69,90.15,29.55,7.159999999999999,process_tree,2.03,process_tree,658.28
650000,1907.467,100.0,0.0,18.59,process_tree,1.33,process_tree,431.25
660000,1926.999,100.0,0.0,11.475,process_tree,1.33,process_tree,431.85
670000,1943.388,100.0,0.0,16.395,process_tree,1.33,process_tree,431.74
680000,1962.74,100.0,0.0,5.584999999999999,process_tree,1.33,process_tree,431.72
690000,1978.837,91.675,27.611,4.3,process_tree,1.33,process_tree,431.82
700000,1998.89,100.0,0.0,10.030000000000001,process_tree,1.33,process_tree,431.92
710000,2018.559,100.0,0.0,9.3,process_tree,1.33,process_tree,431.76
720000,2034.584,91.675,27.611,2.13,process_tree,1.33,process_tree,431.79
730000,2054.414,100.0,0.0,9.315000000000001,process_tree,1.33,process_tree,431.77
740000,2073.761,88.978,31.176,11.395,process_tree,1.33,process_tree,431.7
750000,2089.761,91.717,27.473,4.3,process_tree,1.33,process_tree,431.7
760000,2109.948,87.855,29.316,7.140000000000001,process_tree,1.33,process_tree,431.77
770000,2129.145,91.683,27.583,15.669999999999998,process_tree,1.33,process_tree,432.25
780000,2145.336,100.0,0.0,12.14,process_tree,1.33,process_tree,431.77
790000,2165.051,83.475,36.951,15.040000000000001,process_tree,1.33,process_tree,431.8
800000,2183.864,100.0,0.0,17.185000000000002,process_tree,1.33,process_tree,431.82
810000,2199.496,100.0,0.0,17.1,process_tree,1.33,process_tree,431.87
820000,2218.977,100.0,0.0,17.880000000000003,process_tree,1.14,process_tree,369.42
830000,2233.947,91.683,27.583,3.585,process_tree,1.14,process_tree,369.75
840000,2253.558,90.982,28.518,13.9,process_tree,1.14,process_tree,369.29
850000,2272.752,90.936,28.662,6.44,process_tree,1.14,process_tree,369.43
860000,2287.824,100.0,0.0,6.45,process_tree,1.14,process_tree,369.53
870000,2307.664,85.786,34.818,8.685,process_tree,1.14,process_tree,369.35
880000,2326.757,99.28,2.16,13.309999999999999,process_tree,1.14,process_tree,369.46
890000,2342.021,100.0,0.0,6.415000000000001,process_tree,1.14,process_tree,369.81
900000,2361.542,91.683,27.583,19.175,process_tree,1.14,process_tree,369.42
910000,2380.811,100.0,0.0,13.55,process_tree,1.14,process_tree,369.55
920000,2396.055,70.23,45.475,17.185,process_tree,1.14,process_tree,369.57
930000,2415.529,100.0,0.0,22.9,process_tree,1.14,process_tree,369.47
940000,2434.565,100.0,0.0,9.955000000000002,process_tree,1.14,process_tree,369.41
950000,2450.356,90.945,28.633,9.285,process_tree,1.14,process_tree,369.52
960000,2469.932,100.0,0.0,13.580000000000002,process_tree,1.14,process_tree,369.55
970000,2488.949,90.936,28.662,12.41,process_tree,1.14,process_tree,369.42
980000,2504.452,87.538,32.973,29.18,process_tree,1.14,process_tree,369.43
990000,2524.23,100.0,0.0,12.135,process_tree,1.14,process_tree,369.51
1000000,2540.031,100.0,0.0,5.6850000000000005,process_tree,1.14,process_tree,369.57
1010000,2558.905,91.817,27.141,9.995000000000001,process_tree,1.14,process_tree,369.55
1020000,2577.964,91.867,26.975,15.885,process_tree,1.14,process_tree,369.64
1030000,2593.912,100.0,0.0,5.015,process_tree,1.14,process_tree,369.6
1040000,2612.991,100.0,0.0,6.465000000000001,process_tree,1.14,process_tree,369.76
1050000,2632.257,100.0,0.0,8.569999999999999,process_tree,1.14,process_tree,369.6
1060000,2648.093,100.0,0.0,4.26,process_tree,1.14,process_tree,369.66
1070000,2667.028,91.683,27.583,12.270000000000001,process_tree,1.14,process_tree,369.87
1080000,2686.634,84.692,35.9,10.14,process_tree,1.14,process_tree,369.73
1090000,2702.066,90.945,28.633,18.610000000000003,process_tree,1.14,process_tree,369.86
1100000,2722.125,100.0,0.0,10.015,process_tree,1.14,process_tree,369.85
1110000,2741.052,91.692,27.556,10.665000000000001,process_tree,1.14,process_tree,369.78
1120000,2757.0,83.608,36.658,20.05,process_tree,1.14,process_tree,369.41
1130000,2775.95,100.0,0.0,9.27,process_tree,1.14,process_tree,369.92
1140000,2795.37,100.0,0.0,7.85,process_tree,1.14,process_tree,369.65
1150000,2811.091,90.918,28.719,15.719999999999999,process_tree,1.14,process_tree,369.52
1160000,2830.236,87.538,32.973,12.175,process_tree,1.14,process_tree,369.83
1170000,2846.002,100.0,0.0,3.585,process_tree,1.14,process_tree,369.97
1180000,2865.386,100.0,0.0,4.99,process_tree,1.14,process_tree,369.86
1190000,2884.459,100.0,0.0,19.95,process_tree,1.14,process_tree,369.88
1200000,2900.155,73.393,44.122,2.8649999999999998,process_tree,1.14,process_tree,370.1
1210000,2919.647,100.0,0.0,16.455000000000002,process_tree,1.14,process_tree,369.86
1220000,2938.701,100.0,0.0,14.265,process_tree,1.14,process_tree,369.96
1230000,2954.655,100.0,0.0,4.26,process_tree,1.14,process_tree,370.02
1240000,2973.941,100.0,0.0,13.594999999999999,process_tree,1.14,process_tree,370.03
1250000,2992.936,100.0,0.0,25.064999999999998,process_tree,1.14,process_tree,369.97
