step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.7,system,
10000,23.187,1.11,0.698,3.585,process_tree,1.95,process_tree,632.68
20000,40.627,1.9,1.037,5.015,process_tree,1.96,process_tree,635.19
30000,57.277,2.694,1.926,4.970000000000001,process_tree,1.96,process_tree,635.55
40000,73.845,3.456,2.613,5.7,process_tree,1.96,process_tree,634.99
50000,90.5,5.591,6.237,4.3,process_tree,1.96,process_tree,635.41
60000,107.938,5.711,4.451,6.535000000000001,process_tree,1.96,process_tree,635.15
70000,124.49,8.381,5.876,4.970000000000001,process_tree,1.96,process_tree,635.71
80000,139.888,9.642,12.828,13.544999999999998,process_tree,1.96,process_tree,635.32
90000,155.056,39.943,36.145,4.26,process_tree,1.96,process_tree,635.36
100000,170.926,35.131,31.941,4.26,process_tree,1.96,process_tree,635.2
110000,186.24,49.111,39.249,5.015,process_tree,1.96,process_tree,635.41
120000,201.836,51.646,37.858,4.3,process_tree,1.96,process_tree,635.47
130000,217.693,61.846,38.552,5.015,process_tree,1.96,process_tree,635.41
140000,235.433,52.439,40.353,5.015,process_tree,1.96,process_tree,635.46
150000,251.493,100.0,0.0,5.015,process_tree,1.96,process_tree,635.54
160000,269.032,20.551,20.284,4.970000000000001,process_tree,1.96,process_tree,635.47
170000,284.054,21.342,18.558,5.68,process_tree,1.96,process_tree,635.47
180000,301.119,13.462,16.992,4.154999999999999,process_tree,1.96,process_tree,636.08
190000,316.909,7.76,5.21,5.015,process_tree,1.96,process_tree,636.21
200000,331.369,19.711,11.934,5.015,process_tree,1.96,process_tree,636.32
210000,345.959,17.012,12.263,3.585,process_tree,1.96,process_tree,636.05
220000,360.895,16.412,15.552,4.26,process_tree,1.96,process_tree,636.33
230000,375.937,22.797,14.365,4.970000000000001,process_tree,1.96,process_tree,636.22
240000,391.405,25.886,13.168,4.970000000000001,process_tree,1.96,process_tree,636.06
250000,407.185,100.0,0.0,4.3,process_tree,1.96,process_tree,635.95
260000,422.883,100.0,0.0,5.015,process_tree,1.96,process_tree,635.99
270000,438.514,100.0,0.0,7.834999999999999,process_tree,1.96,process_tree,635.96
280000,455.238,100.0,0.0,5.82,process_tree,1.96,process_tree,635.96
290000,471.473,100.0,0.0,4.970000000000001,process_tree,1.96,process_tree,635.79
