step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,82.4,system,
10000,23.693,1.343,0.892,5.015,process_tree,1.96,process_tree,633.42
20000,41.158,2.232,1.542,25.785000000000004,process_tree,1.96,process_tree,636.38
30000,57.631,3.315,2.664,4.26,process_tree,1.97,process_tree,637.2
40000,74.75,4.971,5.227,4.970000000000001,process_tree,1.97,process_tree,637.12
50000,90.849,10.309,9.995,4.26,process_tree,1.97,process_tree,638.2
60000,108.028,16.086,15.106,12.265,process_tree,1.97,process_tree,638.21
70000,123.234,27.797,19.864,4.970000000000001,process_tree,1.97,process_tree,639.07
80000,140.124,23.738,22.665,5.720000000000001,process_tree,1.97,process_tree,638.93
90000,155.934,28.723,25.736,4.970000000000001,process_tree,1.97,process_tree,638.89
100000,172.426,54.856,38.317,4.925,process_tree,1.97,process_tree,638.86
110000,188.614,77.125,33.725,4.970000000000001,process_tree,1.97,process_tree,639.31
120000,204.504,56.067,38.208,4.26,process_tree,1.97,process_tree,639.32
130000,221.375,78.709,23.545,11.45,process_tree,1.97,process_tree,639.06
140000,237.059,100.0,0.0,2.84,process_tree,1.97,process_tree,639.49
150000,252.246,97.067,9.729,5.015,process_tree,1.97,process_tree,639.64
160000,269.32,90.564,20.024,9.99,process_tree,1.97,process_tree,639.26
170000,285.131,97.125,7.607,16.145,process_tree,1.98,process_tree,639.84
180000,300.683,98.46,4.62,7.359999999999999,process_tree,1.98,process_tree,640.12
190000,316.381,100.0,0.0,6.39,process_tree,1.98,process_tree,639.97
200000,333.595,57.608,40.724,12.84,process_tree,1.98,process_tree,640.28
210000,349.335,33.54,18.776,4.91,process_tree,1.98,process_tree,639.97
220000,364.781,82.917,25.724,5.015,process_tree,1.98,process_tree,640.16
230000,382.153,100.0,0.0,15.74,process_tree,1.98,process_tree,640.24
240000,397.733,89.16,29.581,8.555,process_tree,1.98,process_tree,640.55
250000,413.15,89.656,29.259,5.7299999999999995,process_tree,1.98,process_tree,640.04
260000,430.421,94.058,19.706,20.639999999999997,process_tree,1.98,process_tree,640.51
270000,446.054,100.0,0.0,7.859999999999999,process_tree,1.98,process_tree,640.07
280000,461.638,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,640.25
