step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.8,system,
10000,19.25,1.183,0.676,15.015,process_tree,1.99,process_tree,645.18
20000,33.992,1.304,0.797,27.195,process_tree,2.0,process_tree,648.38
30000,45.656,1.826,1.142,19.345,process_tree,2.0,process_tree,647.93
40000,58.53,2.603,1.834,11.38,process_tree,2.0,process_tree,648.79
50000,70.705,3.604,2.555,15.165000000000001,process_tree,2.0,process_tree,649.23
60000,82.628,4.648,4.069,5.68,process_tree,2.01,process_tree,651.99
70000,95.262,5.74,4.966,16.65,process_tree,2.01,process_tree,650.06
80000,106.211,8.568,8.469,4.3,process_tree,2.01,process_tree,651.86
90000,119.321,14.867,11.314,19.345,process_tree,2.01,process_tree,650.55
100000,130.608,30.217,26.818,4.970000000000001,process_tree,2.01,process_tree,650.53
110000,142.949,38.461,36.353,24.354999999999997,process_tree,2.01,process_tree,650.4
120000,154.377,24.433,17.406,5.735,process_tree,2.01,process_tree,650.87
130000,167.216,28.969,21.317,19.235,process_tree,2.01,process_tree,650.8
140000,178.047,62.756,45.015,15.684999999999999,process_tree,2.01,process_tree,652.24
150000,190.631,75.321,36.516,21.68,process_tree,2.01,process_tree,652.19
160000,200.968,63.636,32.273,6.435,process_tree,2.02,process_tree,653.39
170000,213.278,85.95,26.916,11.385,process_tree,2.02,process_tree,654.26
180000,223.727,83.915,30.036,11.41,process_tree,2.02,process_tree,654.4
190000,235.916,93.0,23.216,14.98,process_tree,2.02,process_tree,654.77
200000,246.642,56.782,40.219,24.869999999999997,process_tree,2.01,process_tree,652.48
210000,258.836,78.09,34.419,13.584999999999999,process_tree,2.02,process_tree,653.34
220000,270.299,77.72,30.506,15.690000000000001,process_tree,2.01,process_tree,652.42
230000,283.037,54.782,38.552,12.88,process_tree,2.02,process_tree,655.02
240000,294.236,93.942,20.093,12.135,process_tree,2.02,process_tree,655.06
250000,306.76,85.011,28.092,5.725,process_tree,2.03,process_tree,656.07
260000,317.793,100.0,0.0,20.775,process_tree,2.03,process_tree,656.25
270000,328.601,46.4,42.278,5.015,process_tree,2.03,process_tree,656.0
280000,341.671,44.943,38.684,14.5,process_tree,2.03,process_tree,656.17
290000,352.288,56.812,37.547,4.3,process_tree,2.02,process_tree,653.55
300000,364.523,42.029,39.385,8.525,process_tree,2.02,process_tree,653.1
310000,374.716,77.557,31.586,5.845000000000001,process_tree,2.02,process_tree,652.85
320000,387.446,97.177,6.639,12.865,process_tree,2.02,process_tree,655.13
330000,398.164,100.0,0.0,3.585,process_tree,2.02,process_tree,655.43
340000,410.092,100.0,0.0,15.414999999999997,process_tree,2.02,process_tree,655.3
350000,421.147,99.2,2.263,5.6850000000000005,process_tree,2.02,process_tree,655.36
360000,433.71,78.233,36.634,11.46,process_tree,2.03,process_tree,656.04
370000,444.423,100.0,0.0,18.56,process_tree,2.02,process_tree,652.77
380000,457.896,88.577,28.454,14.225,process_tree,2.02,process_tree,655.53
390000,469.02,92.275,25.621,17.580000000000002,process_tree,2.02,process_tree,655.57
400000,480.839,100.0,0.0,10.73,process_tree,2.02,process_tree,654.96
410000,492.705,64.346,37.456,6.43,process_tree,2.02,process_tree,652.83
420000,505.389,55.707,41.6,25.05,process_tree,2.03,process_tree,655.98
430000,516.618,94.822,8.277,15.719999999999999,process_tree,2.02,process_tree,655.66
440000,529.306,98.883,3.704,7.255,process_tree,2.02,process_tree,655.78
450000,540.172,51.08,35.795,36.28,process_tree,2.02,process_tree,653.89
460000,553.508,21.891,11.145,22.91,process_tree,2.02,process_tree,653.64
470000,564.551,20.714,13.691,19.21,process_tree,2.03,process_tree,656.6
480000,577.79,32.559,16.303,4.3,process_tree,2.02,process_tree,655.56
490000,588.388,68.094,36.237,6.43,process_tree,2.02,process_tree,653.23
500000,599.251,30.05,18.165,4.970000000000001,process_tree,2.05,process_tree,663.34
510000,611.316,52.62,24.436,22.185,process_tree,2.06,process_tree,665.7
520000,621.625,95.918,7.452,7.885,process_tree,2.06,process_tree,665.87
530000,634.199,77.229,38.736,22.21,process_tree,2.06,process_tree,667.38
540000,644.128,88.24,23.606,4.3,process_tree,2.06,process_tree,667.38
550000,657.734,89.842,18.492,21.965,process_tree,2.05,process_tree,663.98
560000,668.681,62.663,30.64,4.970000000000001,process_tree,2.06,process_tree,666.63
570000,681.073,45.433,40.785,23.854999999999997,process_tree,2.06,process_tree,667.61
580000,691.916,46.536,36.642,5.88,process_tree,2.05,process_tree,665.41
590000,705.824,36.276,25.585,16.435,process_tree,2.05,process_tree,664.82
600000,716.564,63.455,37.583,4.970000000000001,process_tree,2.06,process_tree,666.63
610000,728.654,98.136,5.893,5.01,process_tree,2.06,process_tree,667.38
620000,739.314,87.992,26.87,4.970000000000001,process_tree,2.06,process_tree,667.95
630000,752.097,84.646,36.008,17.105,process_tree,2.06,process_tree,666.7
640000,762.433,100.0,0.0,4.26,process_tree,2.06,process_tree,667.0
650000,774.551,33.275,33.723,7.88,process_tree,2.06,process_tree,668.11
660000,785.401,16.467,21.08,4.3,process_tree,2.06,process_tree,668.75
670000,797.837,70.305,36.516,27.935000000000002,process_tree,2.06,process_tree,665.77
680000,809.331,28.238,18.257,12.895,process_tree,2.05,process_tree,665.17
690000,821.066,39.526,17.391,11.425,process_tree,2.06,process_tree,668.05
700000,831.716,56.753,27.533,7.159999999999999,process_tree,2.07,process_tree,669.0
710000,844.331,95.608,14.566,16.485,process_tree,2.06,process_tree,667.25
720000,855.369,94.456,14.954,17.880000000000003,process_tree,2.06,process_tree,666.65
730000,868.725,82.857,34.195,19.945,process_tree,2.06,process_tree,667.76
740000,879.294,56.352,39.598,7.860000000000001,process_tree,2.06,process_tree,665.92
750000,892.106,60.645,31.181,9.28,process_tree,2.06,process_tree,668.0
760000,902.648,23.798,9.832,4.985,process_tree,2.06,process_tree,666.02
770000,913.758,26.861,10.807,4.3,process_tree,2.06,process_tree,668.4
780000,927.143,32.617,13.689,33.385000000000005,process_tree,2.06,process_tree,668.7
790000,937.884,97.058,9.756,4.3,process_tree,2.05,process_tree,665.34
800000,950.77,88.2,27.8,29.139999999999997,process_tree,2.06,process_tree,667.7
810000,962.023,69.56,34.888,5.015,process_tree,2.06,process_tree,667.77
820000,975.135,47.285,35.973,5.720000000000001,process_tree,2.06,process_tree,668.41
830000,985.776,61.075,37.293,19.9,process_tree,2.07,process_tree,669.0
840000,998.131,45.587,33.055,17.2,process_tree,2.06,process_tree,668.2
850000,1009.471,51.012,21.37,25.455000000000002,process_tree,2.06,process_tree,667.27
860000,1022.852,25.129,20.821,17.09,process_tree,2.07,process_tree,669.61
870000,1033.567,15.825,6.009,7.834999999999999,process_tree,2.06,process_tree,666.11
880000,1045.94,20.385,9.453,16.595,process_tree,2.06,process_tree,665.75
890000,1056.469,26.498,15.386,6.43,process_tree,2.06,process_tree,667.63
900000,1069.487,18.619,7.903,12.135,process_tree,2.07,process_tree,669.77
910000,1080.541,42.271,25.198,12.175,process_tree,2.07,process_tree,669.81
920000,1094.012,85.586,30.158,15.755,process_tree,2.06,process_tree,668.5
930000,1104.284,79.043,34.42,13.6,process_tree,2.06,process_tree,667.7
940000,1116.351,100.0,0.0,7.875,process_tree,2.06,process_tree,667.78
950000,1126.915,97.773,7.043,6.4350000000000005,process_tree,2.06,process_tree,667.8
960000,1139.469,83.775,27.901,19.240000000000002,process_tree,2.06,process_tree,668.18
970000,1149.816,56.414,32.607,13.575,process_tree,2.06,process_tree,667.63
980000,1162.223,68.971,35.237,21.365000000000002,process_tree,2.06,process_tree,668.75
990000,1172.304,100.0,0.0,14.280000000000001,process_tree,2.06,process_tree,668.75
1000000,1183.224,100.0,0.0,5.015,process_tree,2.06,process_tree,668.76
1010000,1196.235,79.417,36.734,14.289999999999997,process_tree,2.06,process_tree,667.95
