step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,85.1,system,
10000,24.588,1.297,0.771,2.8600000000000003,process_tree,1.98,process_tree,641.15
20000,42.363,2.5,1.919,11.42,process_tree,1.99,process_tree,645.0
30000,58.899,5.661,4.919,11.5,process_tree,2.0,process_tree,646.45
40000,74.006,32.36,27.488,3.585,process_tree,2.0,process_tree,647.35
50000,89.838,37.587,37.85,8.59,process_tree,2.0,process_tree,646.45
60000,106.597,42.117,35.897,22.080000000000002,process_tree,2.0,process_tree,646.77
70000,121.431,51.747,35.131,3.125,process_tree,2.0,process_tree,648.03
80000,137.526,71.233,42.029,7.385,process_tree,2.0,process_tree,646.87
90000,152.224,75.221,40.768,5.735,process_tree,2.0,process_tree,647.96
100000,168.837,74.14,42.892,5.015,process_tree,2.0,process_tree,647.36
110000,184.823,89.044,30.987,12.885,process_tree,2.0,process_tree,647.41
120000,200.248,74.914,37.726,5.015,process_tree,2.0,process_tree,648.34
130000,216.262,90.917,20.517,12.07,process_tree,2.0,process_tree,647.35
140000,230.731,100.0,0.0,5.735,process_tree,2.0,process_tree,647.91
150000,247.561,85.715,33.513,14.26,process_tree,2.0,process_tree,647.69
160000,263.725,99.278,2.043,18.71,process_tree,2.0,process_tree,647.36
170000,278.92,61.321,40.718,5.015,process_tree,2.0,process_tree,647.66
180000,295.889,61.107,33.828,14.225,process_tree,2.0,process_tree,648.75
190000,310.548,84.3,30.27,5.015,process_tree,2.01,process_tree,649.72
200000,327.218,100.0,0.0,18.525,process_tree,2.0,process_tree,649.03
210000,341.535,100.0,0.0,5.735,process_tree,2.0,process_tree,649.27
220000,357.649,98.256,4.493,12.58,process_tree,2.0,process_tree,648.48
230000,374.242,84.264,31.315,19.305,process_tree,2.0,process_tree,648.54
240000,388.44,43.627,39.236,4.970000000000001,process_tree,2.0,process_tree,649.33
250000,404.433,44.241,31.193,5.01,process_tree,2.0,process_tree,649.09
260000,419.794,100.0,0.0,5.735,process_tree,2.0,process_tree,648.59
270000,435.602,71.489,35.491,10.0,process_tree,2.0,process_tree,648.55
280000,449.954,51.886,26.118,5.015,process_tree,2.0,process_tree,648.75
290000,466.125,78.086,29.927,20.055,process_tree,2.01,process_tree,650.65
300000,480.532,83.789,18.772,7.165000000000001,process_tree,2.01,process_tree,650.27
310000,497.64,81.65,31.006,5.6850000000000005,process_tree,2.01,process_tree,650.41
320000,513.91,66.1,37.687,7.869999999999999,process_tree,2.01,process_tree,649.77
330000,528.69,67.667,32.622,5.6850000000000005,process_tree,2.01,process_tree,650.56
340000,545.287,100.0,0.0,17.544999999999998,process_tree,2.01,process_tree,649.85
350000,561.598,70.322,42.147,19.220000000000002,process_tree,2.01,process_tree,649.89
360000,576.469,83.642,31.909,4.3,process_tree,2.01,process_tree,649.86
370000,592.608,89.825,20.388,19.965,process_tree,2.01,process_tree,649.84
380000,607.054,100.0,0.0,5.015,process_tree,2.01,process_tree,650.93
390000,623.324,87.456,27.188,13.569999999999999,process_tree,2.01,process_tree,649.94
400000,637.933,82.643,31.269,5.735,process_tree,2.01,process_tree,650.58
410000,654.363,94.323,19.665,5.6850000000000005,process_tree,2.01,process_tree,649.96
420000,669.787,91.43,25.71,3.585,process_tree,2.01,process_tree,651.27
430000,686.243,68.636,39.877,14.375,process_tree,2.01,process_tree,650.34
440000,701.323,90.358,17.335,6.45,process_tree,2.01,process_tree,650.44
450000,718.559,51.725,33.936,5.015,process_tree,2.01,process_tree,650.35
460000,734.997,39.783,19.929,17.905,process_tree,2.01,process_tree,649.64
470000,751.3,97.625,5.574,6.45,process_tree,2.01,process_tree,651.0
480000,768.621,100.0,0.0,15.7,process_tree,2.01,process_tree,651.11
490000,784.562,100.0,0.0,7.825,process_tree,2.01,process_tree,651.17
500000,802.874,100.0,0.0,25.169999999999998,process_tree,2.04,process_tree,659.49
510000,817.361,92.377,26.407,6.45,process_tree,2.04,process_tree,660.15
520000,834.537,81.693,36.704,9.3,process_tree,2.04,process_tree,659.89
530000,851.713,45.12,41.94,10.015,process_tree,2.04,process_tree,660.27
540000,866.837,28.118,28.539,6.435,process_tree,2.04,process_tree,660.62
550000,884.555,64.536,44.825,15.680000000000001,process_tree,2.04,process_tree,660.25
560000,899.737,78.408,34.286,4.970000000000001,process_tree,2.04,process_tree,661.79
570000,915.926,86.038,26.641,10.694999999999999,process_tree,2.04,process_tree,661.12
580000,932.934,87.82,18.998,27.905,process_tree,2.04,process_tree,661.29
590000,947.69,89.343,15.143,4.970000000000001,process_tree,2.04,process_tree,661.52
600000,964.347,100.0,0.0,7.165000000000001,process_tree,2.04,process_tree,660.88
610000,980.885,100.0,0.0,6.404999999999999,process_tree,2.04,process_tree,660.84
620000,995.377,83.592,36.691,5.845000000000001,process_tree,2.04,process_tree,661.88
630000,1012.298,100.0,0.0,19.935000000000002,process_tree,2.04,process_tree,660.84
640000,1027.055,80.05,39.9,5.735,process_tree,2.04,process_tree,662.07
650000,1043.233,80.14,39.72,12.855,process_tree,2.04,process_tree,661.48
660000,1058.279,70.147,43.08,6.45,process_tree,2.04,process_tree,662.21
670000,1074.522,100.0,0.0,6.404999999999999,process_tree,2.04,process_tree,661.22
680000,1091.0,100.0,0.0,17.05,process_tree,2.04,process_tree,661.05
690000,1105.721,92.042,26.395,5.015,process_tree,2.04,process_tree,661.92
700000,1121.492,100.0,0.0,24.339999999999996,process_tree,2.04,process_tree,661.22
710000,1138.65,100.0,0.0,23.645,process_tree,2.04,process_tree,661.95
720000,1153.219,100.0,0.0,5.015,process_tree,2.04,process_tree,661.3
730000,1170.098,84.915,35.384,14.964999999999998,process_tree,2.04,process_tree,661.34
740000,1185.082,100.0,0.0,5.735,process_tree,2.04,process_tree,662.14
750000,1200.909,100.0,0.0,10.285,process_tree,2.04,process_tree,661.07
760000,1217.699,100.0,0.0,10.745000000000001,process_tree,2.04,process_tree,661.31
770000,1232.712,100.0,0.0,4.3,process_tree,2.04,process_tree,662.05
780000,1248.727,100.0,0.0,9.3,process_tree,2.04,process_tree,661.3
