step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,77.4,system,
10000,18.267,1.224,0.729,18.64,process_tree,1.97,process_tree,637.68
20000,30.609,1.939,1.222,10.094999999999999,process_tree,1.98,process_tree,639.99
30000,45.006,3.208,2.629,15.745,process_tree,1.98,process_tree,642.44
40000,56.691,5.523,4.609,6.45,process_tree,1.99,process_tree,643.68
50000,68.935,9.23,9.834,5.82,process_tree,1.99,process_tree,644.12
60000,82.439,76.447,33.344,10.709999999999999,process_tree,1.99,process_tree,644.91
70000,93.919,64.279,37.554,12.325,process_tree,1.99,process_tree,646.09
80000,106.211,66.95,44.458,10.735,process_tree,1.99,process_tree,645.47
90000,117.705,98.888,2.943,7.8549999999999995,process_tree,1.99,process_tree,645.94
100000,131.311,68.356,45.009,13.1,process_tree,1.99,process_tree,645.6
110000,142.97,100.0,0.0,7.87,process_tree,1.99,process_tree,645.72
120000,154.276,81.679,34.994,16.45,process_tree,1.99,process_tree,645.86
130000,166.386,70.28,45.398,5.015,process_tree,1.99,process_tree,646.12
140000,179.769,99.68,0.96,6.404999999999999,process_tree,1.99,process_tree,646.12
150000,190.819,88.938,29.269,16.46,process_tree,2.0,process_tree,646.55
160000,202.101,98.45,5.141,4.26,process_tree,2.0,process_tree,646.36
170000,215.151,100.0,0.0,6.409999999999999,process_tree,2.0,process_tree,646.48
180000,226.664,100.0,0.0,13.62,process_tree,1.99,process_tree,646.19
190000,239.903,94.467,15.651,4.26,process_tree,1.99,process_tree,646.07
200000,253.241,90.991,28.489,32.25,process_tree,2.0,process_tree,646.71
210000,266.145,42.429,34.681,15.719999999999999,process_tree,2.0,process_tree,646.89
220000,277.452,78.158,32.044,4.970000000000001,process_tree,2.0,process_tree,646.43
230000,292.153,100.0,0.0,29.339999999999996,process_tree,2.0,process_tree,646.6
240000,304.863,100.0,0.0,22.21,process_tree,2.0,process_tree,646.98
250000,317.216,85.814,34.748,5.015,process_tree,2.0,process_tree,647.09
260000,331.472,100.0,0.0,13.6,process_tree,2.0,process_tree,647.32
270000,345.654,74.241,40.24,12.14,process_tree,2.0,process_tree,647.02
280000,357.305,77.917,38.803,4.3,process_tree,2.0,process_tree,647.32
290000,369.846,73.66,36.9,7.875,process_tree,2.0,process_tree,647.35
300000,384.766,22.314,25.979,23.6,process_tree,2.0,process_tree,647.27
310000,397.085,85.879,34.59,25.79,process_tree,2.0,process_tree,647.54
320000,409.891,100.0,0.0,4.3,process_tree,2.0,process_tree,647.31
330000,425.043,66.94,46.754,12.89,process_tree,2.0,process_tree,647.31
340000,436.987,76.3,39.696,27.130000000000003,process_tree,2.0,process_tree,646.55
350000,448.797,68.975,46.018,7.1450000000000005,process_tree,2.0,process_tree,647.35
360000,463.746,56.97,44.525,7.1450000000000005,process_tree,2.0,process_tree,646.96
