step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,78.4,system,
10000,16.265,1.204,0.707,12.9,process_tree,1.97,process_tree,637.79
20000,28.148,1.438,0.785,14.934999999999999,process_tree,1.97,process_tree,639.46
30000,39.385,1.874,1.135,10.73,process_tree,1.98,process_tree,640.02
40000,51.13,2.318,1.447,13.594999999999999,process_tree,1.98,process_tree,640.17
50000,60.612,3.454,2.561,4.3,process_tree,1.98,process_tree,640.86
60000,71.062,4.69,4.298,16.415,process_tree,1.98,process_tree,640.73
70000,82.309,4.969,4.467,12.844999999999999,process_tree,1.98,process_tree,641.57
80000,93.912,7.449,7.46,14.305000000000001,process_tree,1.98,process_tree,641.72
90000,103.186,11.024,12.302,3.585,process_tree,1.98,process_tree,641.86
100000,114.313,22.294,25.665,15.680000000000001,process_tree,1.98,process_tree,642.19
110000,125.553,24.01,31.584,10.705000000000002,process_tree,1.98,process_tree,641.96
120000,135.694,29.403,26.692,10.0,process_tree,1.98,process_tree,642.52
130000,145.485,41.63,37.876,5.7299999999999995,process_tree,1.98,process_tree,642.61
140000,156.238,63.056,37.278,10.694999999999999,process_tree,1.98,process_tree,642.5
150000,167.191,76.323,36.636,12.57,process_tree,1.98,process_tree,642.6
160000,177.375,48.5,42.167,22.9,process_tree,1.98,process_tree,642.89
170000,187.659,21.281,17.638,11.379999999999999,process_tree,1.98,process_tree,642.81
180000,198.608,31.812,34.844,14.26,process_tree,1.98,process_tree,642.77
190000,208.844,28.192,26.165,5.735,process_tree,1.98,process_tree,642.96
200000,219.213,22.71,15.445,4.970000000000001,process_tree,1.99,process_tree,643.03
210000,229.796,76.608,31.93,14.3,process_tree,1.99,process_tree,643.59
220000,240.163,81.92,32.825,17.9,process_tree,1.99,process_tree,643.35
230000,251.927,31.41,29.587,16.475,process_tree,1.99,process_tree,643.19
240000,261.213,75.436,32.969,5.015,process_tree,1.99,process_tree,643.86
250000,271.686,87.44,21.681,29.830000000000002,process_tree,1.99,process_tree,643.48
260000,283.131,56.446,39.977,7.12,process_tree,1.99,process_tree,643.4
270000,294.581,82.467,32.851,26.51,process_tree,1.99,process_tree,643.82
280000,303.534,90.74,27.78,5.725,process_tree,1.99,process_tree,645.11
290000,313.386,74.656,31.526,13.694999999999999,process_tree,1.99,process_tree,645.1
300000,325.014,99.789,0.597,20.775,process_tree,1.99,process_tree,645.0
310000,335.405,92.586,18.161,14.934999999999999,process_tree,1.99,process_tree,644.99
320000,344.296,50.209,38.013,4.3,process_tree,1.99,process_tree,645.45
330000,356.235,24.239,16.864,12.84,process_tree,1.99,process_tree,645.19
340000,367.403,37.169,21.996,17.064999999999998,process_tree,1.99,process_tree,645.35
350000,375.76,87.975,27.19,5.6850000000000005,process_tree,1.99,process_tree,645.3
360000,387.082,83.85,26.692,22.895,process_tree,1.99,process_tree,645.25
370000,398.126,78.213,37.945,13.88,process_tree,1.99,process_tree,645.34
380000,409.081,57.86,37.089,27.205000000000002,process_tree,1.99,process_tree,645.05
390000,418.787,90.2,22.312,4.3,process_tree,1.99,process_tree,645.22
400000,429.446,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,645.26
410000,439.445,100.0,0.0,10.805,process_tree,1.99,process_tree,645.53
420000,450.074,83.885,30.214,14.305000000000001,process_tree,1.99,process_tree,645.52
430000,460.201,43.904,36.363,4.26,process_tree,1.99,process_tree,645.76
440000,470.652,31.651,21.031,22.74,process_tree,1.99,process_tree,645.66
450000,481.313,33.721,25.038,5.7299999999999995,process_tree,1.99,process_tree,645.77
460000,492.591,31.515,27.422,13.594999999999999,process_tree,1.99,process_tree,645.66
470000,501.537,32.163,21.772,3.585,process_tree,1.99,process_tree,645.5
480000,512.545,43.377,31.571,7.859999999999999,process_tree,1.99,process_tree,645.65
490000,523.372,50.21,35.817,12.86,process_tree,1.99,process_tree,645.75
500000,534.207,50.168,31.334,14.13,process_tree,2.01,process_tree,652.25
510000,543.197,29.474,17.014,3.55,process_tree,2.02,process_tree,655.3
520000,554.765,29.561,12.783,13.495,process_tree,2.02,process_tree,655.62
530000,565.382,38.932,22.102,35.815000000000005,process_tree,2.02,process_tree,655.26
540000,576.004,52.271,32.25,17.869999999999997,process_tree,2.02,process_tree,655.45
550000,585.532,40.188,12.505,4.26,process_tree,2.02,process_tree,655.57
560000,597.249,34.628,14.461,14.290000000000001,process_tree,2.02,process_tree,655.8
570000,607.866,36.512,15.632,22.869999999999997,process_tree,2.02,process_tree,655.92
580000,618.326,66.28,31.13,5.695,process_tree,2.03,process_tree,656.23
590000,626.83,100.0,0.0,24.330000000000002,process_tree,2.03,process_tree,656.3
600000,636.939,100.0,0.0,27.189999999999998,process_tree,2.03,process_tree,656.23
610000,648.125,100.0,0.0,7.8549999999999995,process_tree,2.03,process_tree,656.43
620000,659.232,100.0,0.0,23.025,process_tree,2.03,process_tree,656.36
630000,668.668,100.0,0.0,3.585,process_tree,2.03,process_tree,656.11
