step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,93.8,system,
10000,25.484,1.555,0.987,5.88,process_tree,1.95,process_tree,633.19
20000,43.358,2.246,1.372,5.015,process_tree,1.96,process_tree,635.58
30000,61.291,3.223,2.32,5.015,process_tree,1.96,process_tree,635.68
40000,79.597,4.132,3.122,4.3,process_tree,1.96,process_tree,635.93
50000,97.012,6.258,6.504,4.970000000000001,process_tree,1.96,process_tree,635.57
60000,114.258,8.341,9.072,4.970000000000001,process_tree,1.96,process_tree,635.84
70000,131.354,17.33,17.936,4.985,process_tree,1.96,process_tree,635.97
80000,148.75,24.722,28.806,5.015,process_tree,1.96,process_tree,635.61
90000,166.077,76.98,38.838,5.015,process_tree,1.96,process_tree,636.05
100000,183.081,77.908,39.506,5.015,process_tree,1.96,process_tree,636.04
110000,200.592,100.0,0.0,5.680000000000001,process_tree,1.96,process_tree,636.25
120000,217.416,100.0,0.0,4.3,process_tree,1.96,process_tree,636.11
130000,235.396,100.0,0.0,5.735,process_tree,1.96,process_tree,636.05
140000,252.082,100.0,0.0,5.015,process_tree,1.96,process_tree,635.78
150000,269.788,100.0,0.0,5.015,process_tree,1.96,process_tree,636.02
160000,286.392,90.927,28.69,4.26,process_tree,1.96,process_tree,635.76
170000,303.557,92.346,26.514,4.26,process_tree,1.97,process_tree,636.69
180000,320.557,77.844,41.449,4.970000000000001,process_tree,1.96,process_tree,636.51
190000,337.366,80.05,39.9,4.3,process_tree,1.97,process_tree,636.67
200000,354.443,100.0,0.0,5.82,process_tree,1.97,process_tree,636.65
210000,371.335,91.692,27.556,6.39,process_tree,1.97,process_tree,636.64
220000,388.665,84.646,36.008,6.45,process_tree,1.96,process_tree,636.37
230000,405.191,85.764,34.87,17.869999999999997,process_tree,1.97,process_tree,636.86
240000,421.982,100.0,0.0,5.015,process_tree,1.97,process_tree,636.89
250000,439.293,75.113,43.106,5.015,process_tree,1.97,process_tree,636.78
260000,455.776,92.338,26.54,5.015,process_tree,1.97,process_tree,636.64
270000,473.741,84.662,35.972,3.585,process_tree,1.97,process_tree,636.82
280000,490.604,91.708,27.5,4.3,process_tree,1.97,process_tree,636.6
290000,507.168,92.323,26.594,4.970000000000001,process_tree,1.97,process_tree,636.81
300000,524.762,100.0,0.0,4.26,process_tree,1.97,process_tree,636.73
310000,542.178,77.967,41.221,5.015,process_tree,1.97,process_tree,636.91
320000,559.092,92.323,26.594,4.970000000000001,process_tree,1.97,process_tree,636.69
330000,576.67,100.0,0.0,5.015,process_tree,1.97,process_tree,636.74
340000,593.826,91.683,27.583,5.015,process_tree,1.97,process_tree,636.64
350000,610.383,80.047,39.907,4.26,process_tree,1.97,process_tree,637.04
360000,627.366,85.729,34.958,2.8649999999999998,process_tree,1.97,process_tree,637.02
370000,644.8,100.0,0.0,5.015,process_tree,1.97,process_tree,636.62
380000,661.7,100.0,0.0,2.15,process_tree,1.97,process_tree,636.71
390000,678.486,91.692,27.556,4.3,process_tree,1.96,process_tree,636.5
400000,694.819,100.0,0.0,5.0,process_tree,1.97,process_tree,636.6
410000,711.548,100.0,0.0,5.68,process_tree,1.97,process_tree,637.0
420000,728.344,100.0,0.0,4.275,process_tree,1.97,process_tree,636.95
430000,744.755,80.04,39.92,4.26,process_tree,1.97,process_tree,636.95
440000,762.136,100.0,0.0,7.125,process_tree,1.97,process_tree,636.88
450000,778.519,84.754,35.756,4.3,process_tree,1.97,process_tree,636.95
460000,795.267,78.6,40.978,5.015,process_tree,1.97,process_tree,636.85
470000,812.401,91.675,27.611,4.985,process_tree,1.97,process_tree,637.19
480000,828.674,100.0,0.0,5.015,process_tree,1.97,process_tree,637.0
490000,845.905,100.0,0.0,6.595000000000001,process_tree,1.97,process_tree,636.99
500000,861.918,80.08,39.84,5.7299999999999995,process_tree,1.99,process_tree,644.68
510000,879.13,100.0,0.0,4.3,process_tree,1.99,process_tree,645.45
520000,896.533,100.0,0.0,5.015,process_tree,1.99,process_tree,645.47
530000,912.763,91.758,27.335,4.970000000000001,process_tree,1.99,process_tree,645.43
540000,930.283,100.0,0.0,6.445,process_tree,1.99,process_tree,645.59
550000,946.509,80.03,39.94,4.3,process_tree,1.99,process_tree,645.37
560000,963.556,100.0,0.0,4.975,process_tree,1.99,process_tree,645.43
570000,980.132,91.683,27.583,5.015,process_tree,1.99,process_tree,645.3
580000,996.209,91.683,27.583,4.154999999999999,process_tree,1.99,process_tree,645.84
590000,1013.0,83.35,37.231,4.970000000000001,process_tree,1.99,process_tree,645.79
600000,1029.46,88.911,31.364,4.970000000000001,process_tree,1.99,process_tree,645.45
610000,1047.322,100.0,0.0,4.3,process_tree,1.99,process_tree,645.42
620000,1063.868,92.323,26.594,5.015,process_tree,1.99,process_tree,645.52
630000,1081.018,84.669,35.954,7.970000000000001,process_tree,1.99,process_tree,645.61
640000,1097.91,100.0,0.0,5.01,process_tree,1.99,process_tree,645.57
650000,1114.44,90.936,28.662,10.705000000000002,process_tree,1.99,process_tree,645.68
660000,1132.206,88.922,31.333,4.970000000000001,process_tree,1.99,process_tree,645.56
670000,1148.956,100.0,0.0,3.55,process_tree,1.99,process_tree,645.57
680000,1165.689,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,645.29
690000,1182.652,100.0,0.0,5.015,process_tree,1.99,process_tree,645.66
700000,1199.161,100.0,0.0,5.015,process_tree,1.99,process_tree,645.54
710000,1216.462,100.0,0.0,3.125,process_tree,1.99,process_tree,645.67
