step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,84.6,system,
10000,13.388,1.145,0.698,14.26,process_tree,2.02,process_tree,653.39
20000,21.841,1.146,0.699,8.545,process_tree,2.09,process_tree,676.91
30000,30.688,1.143,0.739,11.275,process_tree,2.16,process_tree,699.07
40000,38.638,1.16,0.762,12.145,process_tree,2.23,process_tree,722.15
50000,46.471,1.13,0.766,17.77,process_tree,2.3,process_tree,745.05
60000,54.952,1.129,0.718,23.294999999999998,process_tree,2.36,process_tree,765.15
70000,63.507,1.095,0.734,17.16,process_tree,2.44,process_tree,790.0
80000,71.515,1.153,0.705,16.445,process_tree,2.5,process_tree,810.96
90000,80.04,1.122,0.669,4.3,process_tree,2.57,process_tree,832.55
100000,88.403,1.13,0.709,13.605,process_tree,2.64,process_tree,856.04
110000,97.229,1.098,0.662,19.195,process_tree,2.7,process_tree,873.0
120000,210.524,1.182,0.728,7.154999999999999,process_tree,2.35,process_tree,761.49
130000,218.72,1.29,0.774,9.955,process_tree,2.33,process_tree,755.49
140000,227.09,1.431,0.833,19.189999999999998,process_tree,2.34,process_tree,758.78
150000,234.895,1.348,0.774,7.12,process_tree,2.36,process_tree,762.91
160000,242.863,1.375,0.805,10.02,process_tree,2.38,process_tree,769.54
170000,251.46,1.314,0.819,17.175,process_tree,2.4,process_tree,778.5
180000,259.718,1.352,0.841,9.954999999999998,process_tree,2.43,process_tree,787.24
190000,268.059,1.369,0.849,16.095,process_tree,2.49,process_tree,807.56
200000,276.065,1.363,0.809,12.135,process_tree,2.55,process_tree,827.22
210000,285.176,1.284,0.793,14.975,process_tree,2.62,process_tree,849.29
220000,293.564,1.288,0.784,11.059999999999999,process_tree,2.68,process_tree,869.25
230000,301.762,1.295,0.787,12.855,process_tree,2.76,process_tree,894.67
240000,404.178,1.836,1.288,11.41,process_tree,2.46,process_tree,795.59
250000,412.02,2.075,1.322,14.919999999999998,process_tree,2.45,process_tree,794.2
260000,420.077,2.013,1.333,11.445,process_tree,2.48,process_tree,804.61
270000,428.421,1.942,1.413,8.595,process_tree,2.5,process_tree,811.41
