step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,72.0,system,
10000,17.229,1.199,0.73,8.544999999999998,process_tree,1.96,process_tree,636.4
20000,30.111,1.356,0.751,20.595,process_tree,1.97,process_tree,638.6
30000,42.418,1.523,0.837,19.220000000000002,process_tree,1.97,process_tree,639.11
40000,54.239,1.773,0.959,15.639999999999997,process_tree,1.97,process_tree,639.5
50000,67.323,1.976,1.02,21.464999999999996,process_tree,1.97,process_tree,639.55
60000,79.853,2.206,1.315,6.404999999999999,process_tree,1.97,process_tree,639.6
70000,91.197,2.625,1.475,4.26,process_tree,1.98,process_tree,640.01
80000,103.653,2.974,2.056,8.780000000000001,process_tree,1.98,process_tree,640.24
90000,115.423,3.533,2.645,14.975,process_tree,1.98,process_tree,640.52
100000,126.031,3.589,2.808,3.55,process_tree,1.98,process_tree,641.02
110000,138.148,4.496,3.487,20.04,process_tree,1.98,process_tree,641.54
120000,150.903,4.576,3.888,12.145,process_tree,1.98,process_tree,641.55
130000,161.676,5.219,5.194,4.3,process_tree,1.98,process_tree,641.56
140000,173.936,5.987,5.722,16.375,process_tree,1.98,process_tree,641.93
150000,186.015,6.591,5.915,5.015,process_tree,1.98,process_tree,642.06
160000,197.263,6.716,6.473,19.229999999999997,process_tree,1.98,process_tree,642.17
170000,209.551,8.641,10.03,6.415000000000001,process_tree,1.98,process_tree,642.64
180000,219.882,13.59,18.619,7.165000000000001,process_tree,1.98,process_tree,642.84
190000,231.737,17.626,16.345,14.919999999999998,process_tree,1.99,process_tree,643.71
200000,242.221,13.86,15.723,4.970000000000001,process_tree,1.99,process_tree,644.09
210000,254.322,21.989,26.238,16.455000000000002,process_tree,1.99,process_tree,643.61
220000,265.997,27.121,27.546,15.76,process_tree,1.99,process_tree,644.33
230000,277.236,22.995,29.335,5.015,process_tree,1.99,process_tree,644.34
240000,288.674,51.375,37.78,19.91,process_tree,1.99,process_tree,644.54
250000,299.176,29.786,33.798,5.015,process_tree,1.99,process_tree,645.39
260000,310.789,57.2,41.393,21.494999999999997,process_tree,1.99,process_tree,645.11
270000,321.26,50.283,35.124,5.015,process_tree,1.99,process_tree,645.67
280000,333.666,55.029,42.78,21.68,process_tree,1.99,process_tree,645.36
290000,344.991,50.255,41.462,15.745,process_tree,1.99,process_tree,644.82
300000,355.47,55.227,41.14,11.45,process_tree,1.99,process_tree,645.33
310000,368.439,55.642,44.602,12.129999999999999,process_tree,1.99,process_tree,645.57
320000,379.327,70.55,38.359,12.14,process_tree,1.99,process_tree,645.04
330000,390.723,72.183,41.58,16.475,process_tree,2.0,process_tree,646.3
340000,400.835,100.0,0.0,5.015,process_tree,1.99,process_tree,645.26
350000,411.838,92.078,22.407,18.619999999999997,process_tree,1.99,process_tree,644.97
360000,423.249,80.086,37.109,8.59,process_tree,1.99,process_tree,645.61
370000,433.645,98.736,3.996,12.85,process_tree,1.99,process_tree,645.25
380000,446.367,89.215,27.512,7.860000000000001,process_tree,1.99,process_tree,645.42
390000,456.144,91.627,23.24,6.45,process_tree,2.0,process_tree,646.55
400000,467.898,84.744,31.615,15.01,process_tree,1.99,process_tree,645.67
410000,479.586,94.9,15.3,15.02,process_tree,1.99,process_tree,646.05
420000,491.037,83.608,36.653,3.585,process_tree,1.99,process_tree,646.14
430000,503.065,86.031,27.669,22.544999999999998,process_tree,2.0,process_tree,647.0
440000,513.506,57.859,40.699,4.3,process_tree,2.0,process_tree,646.68
450000,524.648,38.735,36.514,12.225,process_tree,1.99,process_tree,646.03
460000,535.148,97.122,8.14,4.970000000000001,process_tree,1.99,process_tree,646.07
470000,546.717,72.407,43.641,5.8,process_tree,2.0,process_tree,646.64
480000,557.948,89.193,26.591,5.6850000000000005,process_tree,2.0,process_tree,647.32
490000,567.418,85.955,30.689,5.015,process_tree,2.0,process_tree,647.37
500000,579.174,80.46,31.849,22.075,process_tree,2.02,process_tree,653.56
510000,589.578,96.2,12.017,5.735,process_tree,2.03,process_tree,656.0
520000,600.861,87.446,29.499,9.235,process_tree,2.03,process_tree,656.68
530000,612.68,91.6,26.563,20.655,process_tree,2.03,process_tree,656.43
540000,623.164,100.0,0.0,7.15,process_tree,2.03,process_tree,656.49
550000,634.119,100.0,0.0,13.6,process_tree,2.03,process_tree,656.78
560000,645.832,81.929,34.905,20.744999999999997,process_tree,2.03,process_tree,656.29
570000,656.204,52.374,41.557,7.114999999999999,process_tree,2.03,process_tree,656.34
580000,667.919,69.062,39.651,10.719999999999999,process_tree,2.03,process_tree,656.36
590000,678.261,69.85,37.483,14.280000000000001,process_tree,2.03,process_tree,656.68
600000,690.01,54.906,43.828,9.275,process_tree,2.03,process_tree,658.14
610000,699.762,79.192,36.348,6.45,process_tree,2.03,process_tree,657.35
620000,711.648,94.754,18.173,18.005000000000003,process_tree,2.03,process_tree,657.33
630000,722.178,100.0,0.0,5.04,process_tree,2.03,process_tree,657.25
640000,734.012,91.222,16.664,7.87,process_tree,2.03,process_tree,657.14
650000,745.185,100.0,0.0,10.7,process_tree,2.03,process_tree,656.99
660000,755.576,92.562,25.768,4.26,process_tree,2.03,process_tree,657.03
670000,766.493,97.23,8.31,7.860000000000001,process_tree,2.03,process_tree,657.04
680000,779.058,100.0,0.0,24.185,process_tree,2.03,process_tree,657.04
690000,790.213,83.58,30.611,4.99,process_tree,2.03,process_tree,657.11
700000,802.382,77.393,39.012,29.595,process_tree,2.03,process_tree,657.06
710000,812.52,80.51,38.981,14.975,process_tree,2.03,process_tree,657.08
720000,824.2,84.564,30.25,20.02,process_tree,2.03,process_tree,657.5
730000,834.961,100.0,0.0,5.015,process_tree,2.03,process_tree,657.37
740000,845.807,67.422,40.885,8.569999999999999,process_tree,2.03,process_tree,657.61
750000,857.88,80.842,35.621,22.785,process_tree,2.03,process_tree,657.53
760000,868.432,100.0,0.0,4.26,process_tree,2.03,process_tree,657.18
770000,880.381,100.0,0.0,32.004999999999995,process_tree,2.03,process_tree,657.46
780000,892.335,100.0,0.0,20.9,process_tree,2.03,process_tree,657.43
790000,902.822,85.914,34.503,4.970000000000001,process_tree,2.03,process_tree,657.27
800000,914.606,100.0,0.0,14.219999999999999,process_tree,2.03,process_tree,657.46
810000,925.942,100.0,0.0,4.970000000000001,process_tree,2.03,process_tree,657.44
820000,937.973,100.0,0.0,5.695,process_tree,2.03,process_tree,657.46
830000,950.318,100.0,0.0,20.655,process_tree,2.03,process_tree,657.12
840000,961.424,67.033,46.622,7.1450000000000005,process_tree,2.03,process_tree,657.07
850000,974.099,70.971,44.975,6.404999999999999,process_tree,2.03,process_tree,657.05
860000,984.821,91.792,27.224,4.970000000000001,process_tree,2.03,process_tree,657.3
870000,997.035,88.189,30.647,9.995000000000001,process_tree,2.03,process_tree,657.67
880000,1008.506,100.0,0.0,12.819999999999999,process_tree,2.03,process_tree,657.59
890000,1019.382,91.173,27.914,3.585,process_tree,2.03,process_tree,657.96
900000,1031.704,100.0,0.0,8.555000000000001,process_tree,2.03,process_tree,657.59
910000,1042.815,91.758,27.335,4.970000000000001,process_tree,2.03,process_tree,657.43
920000,1054.076,100.0,0.0,15.735000000000003,process_tree,2.03,process_tree,657.02
930000,1066.173,89.0,31.113,10.005,process_tree,2.03,process_tree,657.38
940000,1077.019,100.0,0.0,31.104999999999997,process_tree,2.03,process_tree,657.43
950000,1090.218,91.273,27.598,14.305000000000001,process_tree,2.03,process_tree,657.39
960000,1103.187,91.675,27.611,10.709999999999999,process_tree,2.03,process_tree,657.36
970000,1113.069,90.65,27.013,17.16,process_tree,2.03,process_tree,657.38
980000,1125.287,100.0,0.0,18.625,process_tree,2.03,process_tree,657.34
990000,1135.262,100.0,0.0,5.015,process_tree,2.03,process_tree,657.41
1000000,1147.676,100.0,0.0,15.669999999999998,process_tree,2.03,process_tree,657.39
1010000,1160.047,100.0,0.0,13.505,process_tree,2.03,process_tree,657.39
1020000,1170.635,100.0,0.0,5.7299999999999995,process_tree,2.03,process_tree,657.73
