step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,72.6,system,
10000,23.165,1.222,0.758,5.015,process_tree,1.96,process_tree,633.73
20000,40.336,2.096,1.326,5.6850000000000005,process_tree,1.96,process_tree,636.12
30000,57.111,3.79,3.375,5.015,process_tree,1.96,process_tree,636.12
40000,73.578,5.148,4.366,5.015,process_tree,1.96,process_tree,636.08
50000,90.968,7.75,7.897,4.26,process_tree,1.96,process_tree,636.27
60000,107.037,11.983,13.766,4.3,process_tree,1.97,process_tree,636.64
70000,124.527,21.214,21.798,4.3,process_tree,1.96,process_tree,636.23
80000,141.747,15.167,12.344,5.015,process_tree,1.96,process_tree,636.23
90000,157.042,18.319,9.954,5.015,process_tree,1.96,process_tree,636.21
100000,172.912,100.0,0.0,6.720000000000001,process_tree,1.97,process_tree,636.83
110000,189.678,89.892,27.566,5.68,process_tree,1.97,process_tree,636.82
120000,207.464,80.44,39.12,4.26,process_tree,1.97,process_tree,636.6
130000,226.361,100.0,0.0,5.015,process_tree,1.96,process_tree,636.49
140000,243.175,90.638,26.285,5.015,process_tree,1.97,process_tree,636.52
150000,259.036,67.9,35.461,4.3,process_tree,1.97,process_tree,636.52
160000,277.389,85.921,34.487,4.975,process_tree,1.97,process_tree,636.55
170000,294.448,91.808,27.169,5.015,process_tree,1.97,process_tree,636.8
180000,309.958,100.0,0.0,5.015,process_tree,1.97,process_tree,637.21
190000,325.632,75.375,42.653,5.7299999999999995,process_tree,1.97,process_tree,637.48
200000,342.932,63.169,47.556,7.834999999999999,process_tree,1.97,process_tree,637.26
210000,361.178,91.7,27.528,5.735,process_tree,1.97,process_tree,637.5
220000,378.599,100.0,0.0,4.970000000000001,process_tree,1.97,process_tree,637.33
230000,394.772,91.733,27.417,5.015,process_tree,1.97,process_tree,637.68
240000,414.237,72.909,44.239,3.585,process_tree,1.97,process_tree,636.98
250000,429.77,57.579,48.986,3.6950000000000003,process_tree,1.97,process_tree,637.31
260000,446.422,90.973,28.547,4.3,process_tree,1.97,process_tree,637.06
270000,464.099,85.879,34.59,4.295,process_tree,1.97,process_tree,637.16
280000,481.365,90.991,28.489,4.3,process_tree,1.97,process_tree,637.24
290000,498.509,50.418,49.582,4.970000000000001,process_tree,1.97,process_tree,637.47
300000,517.571,67.025,46.635,4.3,process_tree,1.97,process_tree,637.39
310000,534.776,45.4,49.389,5.735,process_tree,1.97,process_tree,637.48
320000,551.083,52.947,49.599,5.015,process_tree,1.97,process_tree,637.37
330000,569.266,92.362,26.46,4.970000000000001,process_tree,1.97,process_tree,637.18
340000,586.219,59.076,48.914,3.565,process_tree,1.97,process_tree,637.23
350000,602.433,60.253,48.68,7.165000000000001,process_tree,1.97,process_tree,637.34
360000,620.745,35.346,47.064,2.8649999999999998,process_tree,1.97,process_tree,637.6
370000,638.271,100.0,0.0,3.55,process_tree,1.97,process_tree,637.18
380000,655.098,25.884,42.263,4.26,process_tree,1.97,process_tree,637.46
390000,674.217,53.589,48.955,12.8,process_tree,1.97,process_tree,637.41
400000,691.672,36.732,46.976,4.3,process_tree,1.97,process_tree,637.31
410000,708.498,19.01,37.907,5.7299999999999995,process_tree,1.97,process_tree,637.37
420000,725.724,14.327,32.524,4.970000000000001,process_tree,1.97,process_tree,637.53
430000,744.931,37.563,47.545,5.7299999999999995,process_tree,1.97,process_tree,637.33
440000,761.118,35.324,46.942,5.015,process_tree,1.97,process_tree,637.51
450000,778.003,29.845,44.884,5.6850000000000005,process_tree,1.97,process_tree,637.41
460000,794.734,39.442,47.889,4.3,process_tree,1.97,process_tree,637.36
470000,813.166,42.104,48.932,5.720000000000001,process_tree,1.97,process_tree,637.77
480000,830.374,47.937,49.397,4.3,process_tree,1.97,process_tree,637.48
490000,845.223,64.521,47.6,4.26,process_tree,1.97,process_tree,637.46
500000,861.274,71.814,44.568,4.3,process_tree,1.99,process_tree,645.91
510000,879.265,43.2,48.646,4.970000000000001,process_tree,2.0,process_tree,646.51
520000,897.156,41.419,48.577,5.015,process_tree,2.0,process_tree,646.7
530000,912.662,46.938,49.134,5.015,process_tree,2.0,process_tree,646.53
540000,929.192,34.215,46.523,3.55,process_tree,2.0,process_tree,646.73
550000,946.057,30.019,44.767,4.970000000000001,process_tree,2.0,process_tree,646.67
560000,963.074,83.442,37.026,4.970000000000001,process_tree,2.0,process_tree,646.8
570000,981.258,55.605,49.084,4.3,process_tree,2.0,process_tree,646.88
580000,998.003,45.925,48.92,5.015,process_tree,2.0,process_tree,646.89
590000,1013.925,33.139,46.024,5.015,process_tree,2.0,process_tree,646.57
600000,1031.287,84.8,35.648,5.015,process_tree,2.0,process_tree,647.09
610000,1046.334,23.411,40.385,4.970000000000001,process_tree,2.0,process_tree,647.04
