step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.9,system,
10000,14.738,1.473,1.008,4.375,process_tree,1.96,process_tree,633.72
20000,24.299,3.883,3.06,4.970000000000001,process_tree,1.96,process_tree,636.16
30000,33.854,7.947,8.42,4.970000000000001,process_tree,1.96,process_tree,636.31
40000,43.689,17.974,20.003,5.015,process_tree,1.97,process_tree,636.63
50000,56.394,33.256,29.524,20.64,process_tree,1.97,process_tree,636.62
60000,67.8,62.686,42.788,9.309999999999999,process_tree,1.96,process_tree,636.42
70000,78.541,64.35,44.011,4.3,process_tree,1.96,process_tree,636.34
80000,89.379,100.0,0.0,5.015,process_tree,1.96,process_tree,636.02
90000,101.365,47.476,37.65,5.015,process_tree,1.97,process_tree,636.7
100000,115.398,36.914,34.593,27.255000000000003,process_tree,1.96,process_tree,636.09
110000,129.005,82.073,38.03,8.6,process_tree,1.96,process_tree,636.35
120000,142.695,91.742,27.39,7.245,process_tree,1.96,process_tree,636.39
130000,156.296,63.381,47.312,5.015,process_tree,1.96,process_tree,636.51
140000,170.303,78.757,40.677,4.970000000000001,process_tree,1.96,process_tree,636.43
150000,185.34,9.383,19.134,11.275,process_tree,1.96,process_tree,636.36
160000,199.424,63.668,47.571,19.2,process_tree,1.96,process_tree,636.42
170000,214.538,56.033,49.158,3.75,process_tree,1.97,process_tree,637.18
180000,229.983,44.544,48.916,10.709999999999999,process_tree,1.97,process_tree,637.35
190000,244.718,92.331,26.567,10.709999999999999,process_tree,1.97,process_tree,637.38
200000,259.58,92.331,26.567,31.32,process_tree,1.97,process_tree,637.32
210000,275.977,92.369,26.434,24.455000000000002,process_tree,1.97,process_tree,637.5
220000,290.732,100.0,0.0,5.015,process_tree,1.97,process_tree,637.23
230000,306.016,29.453,42.888,5.015,process_tree,1.97,process_tree,638.17
240000,321.917,25.95,35.095,5.7299999999999995,process_tree,1.97,process_tree,638.11
250000,337.398,39.761,44.265,12.145,process_tree,1.97,process_tree,637.89
260000,351.706,69.138,37.495,16.4,process_tree,1.97,process_tree,638.23
270000,368.314,17.91,34.534,6.3950000000000005,process_tree,1.97,process_tree,638.39
280000,383.357,92.515,25.927,5.7299999999999995,process_tree,1.97,process_tree,638.0
290000,398.397,100.0,0.0,5.6850000000000005,process_tree,1.97,process_tree,637.89
