step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.3,system,
10000,25.267,1.918,1.41,12.9,process_tree,1.98,process_tree,640.19
20000,45.206,6.311,7.363,7.1,process_tree,1.98,process_tree,642.98
30000,64.458,55.417,39.942,5.68,process_tree,1.99,process_tree,643.14
40000,83.054,91.427,27.109,6.39,process_tree,1.99,process_tree,643.0
50000,102.412,58.685,43.543,5.6850000000000005,process_tree,1.99,process_tree,643.45
60000,122.326,40.723,40.238,4.970000000000001,process_tree,1.98,process_tree,642.96
70000,142.022,83.993,29.997,4.3,process_tree,1.99,process_tree,643.36
80000,160.71,43.946,27.149,5.015,process_tree,1.98,process_tree,642.55
90000,180.227,93.93,12.145,5.015,process_tree,1.98,process_tree,642.81
100000,200.013,60.7,46.657,4.970000000000001,process_tree,1.99,process_tree,643.64
110000,219.428,75.275,42.826,4.970000000000001,process_tree,1.99,process_tree,643.36
120000,238.863,37.529,39.499,5.015,process_tree,1.98,process_tree,642.91
130000,257.907,93.927,16.505,4.3,process_tree,1.99,process_tree,643.64
140000,277.146,100.0,0.0,5.015,process_tree,1.98,process_tree,642.97
150000,297.657,100.0,0.0,8.575,process_tree,1.99,process_tree,643.3
160000,317.151,91.783,27.252,5.015,process_tree,1.98,process_tree,642.93
170000,336.528,100.0,0.0,5.015,process_tree,1.99,process_tree,643.8
180000,355.33,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,643.91
190000,373.583,100.0,0.0,4.26,process_tree,1.99,process_tree,643.8
200000,392.675,100.0,0.0,5.6850000000000005,process_tree,1.99,process_tree,643.93
210000,412.635,100.0,0.0,4.3,process_tree,1.99,process_tree,643.61
