step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,84.1,system,
10000,18.848,1.21,0.745,2.8649999999999998,process_tree,1.97,process_tree,637.89
20000,31.435,1.792,1.069,12.055,process_tree,1.98,process_tree,640.89
30000,42.995,2.671,1.809,12.895,process_tree,1.98,process_tree,640.75
40000,55.272,4.088,3.265,12.11,process_tree,1.98,process_tree,641.33
50000,66.336,7.676,7.301,2.8649999999999998,process_tree,1.99,process_tree,643.1
60000,77.641,18.95,10.486,19.225,process_tree,1.99,process_tree,644.14
70000,88.231,58.067,43.33,14.290000000000001,process_tree,1.99,process_tree,645.13
80000,98.4,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,645.08
90000,109.456,100.0,0.0,10.015,process_tree,1.99,process_tree,644.95
100000,119.501,100.0,0.0,9.75,process_tree,1.99,process_tree,644.96
110000,130.209,100.0,0.0,5.015,process_tree,1.99,process_tree,645.31
120000,141.076,100.0,0.0,10.015,process_tree,1.99,process_tree,645.52
130000,151.697,100.0,0.0,4.04,process_tree,1.99,process_tree,645.05
140000,161.889,100.0,0.0,4.3,process_tree,1.99,process_tree,645.52
150000,173.586,100.0,0.0,6.409999999999999,process_tree,1.99,process_tree,645.53
160000,184.085,100.0,0.0,11.444999999999999,process_tree,1.99,process_tree,645.55
170000,194.673,100.0,0.0,2.8649999999999998,process_tree,1.99,process_tree,645.56
180000,205.783,100.0,0.0,27.205000000000002,process_tree,1.99,process_tree,645.8
190000,216.899,92.323,26.594,4.9799999999999995,process_tree,1.99,process_tree,645.63
200000,227.778,84.623,36.062,4.970000000000001,process_tree,1.99,process_tree,645.63
210000,238.915,91.717,27.473,4.76,process_tree,1.99,process_tree,646.06
220000,249.841,83.517,36.858,16.4,process_tree,1.99,process_tree,645.63
230000,261.481,100.0,0.0,3.55,process_tree,1.99,process_tree,645.96
240000,272.704,100.0,0.0,12.18,process_tree,1.99,process_tree,645.4
250000,283.183,85.764,34.87,5.680000000000001,process_tree,1.99,process_tree,645.78
260000,294.057,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,645.32
270000,305.366,100.0,0.0,12.17,process_tree,2.0,process_tree,646.8
280000,315.202,100.0,0.0,3.565,process_tree,2.0,process_tree,646.83
290000,325.677,90.02,29.94,4.3,process_tree,2.0,process_tree,646.73
300000,336.343,70.665,45.446,10.635,process_tree,2.0,process_tree,646.82
310000,347.647,100.0,0.0,11.42,process_tree,2.0,process_tree,646.36
320000,357.621,100.0,0.0,3.585,process_tree,2.0,process_tree,646.32
330000,368.735,100.0,0.0,12.86,process_tree,2.0,process_tree,646.34
340000,379.042,80.08,39.84,15.040000000000001,process_tree,2.0,process_tree,646.89
350000,389.666,100.0,0.0,3.55,process_tree,2.0,process_tree,646.95
360000,400.475,100.0,0.0,12.15,process_tree,2.0,process_tree,646.89
370000,411.092,100.0,0.0,8.419999999999998,process_tree,2.0,process_tree,646.77
380000,421.145,100.0,0.0,5.015,process_tree,2.0,process_tree,646.75
390000,432.378,91.808,27.169,13.605,process_tree,1.99,process_tree,646.05
400000,442.84,80.34,39.32,7.15,process_tree,2.0,process_tree,646.27
410000,453.118,100.0,0.0,3.585,process_tree,2.0,process_tree,646.34
420000,463.84,100.0,0.0,34.13,process_tree,2.0,process_tree,646.55
430000,474.805,70.747,45.319,10.015,process_tree,2.0,process_tree,647.18
440000,484.68,100.0,0.0,3.55,process_tree,2.0,process_tree,646.52
450000,495.368,91.009,28.432,10.595,process_tree,2.0,process_tree,646.55
460000,505.764,100.0,0.0,6.44,process_tree,2.0,process_tree,646.89
470000,516.115,100.0,0.0,3.55,process_tree,2.0,process_tree,646.98
480000,527.126,100.0,0.0,10.025,process_tree,2.0,process_tree,646.86
490000,537.389,100.0,0.0,17.095,process_tree,1.99,process_tree,646.16
500000,547.29,100.0,0.0,3.585,process_tree,2.02,process_tree,655.41
