step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,82.2,system,
10000,28.835,1.29,0.838,5.015,process_tree,1.95,process_tree,633.05
20000,50.502,2.76,2.097,4.3,process_tree,1.96,process_tree,635.32
30000,71.639,4.108,3.048,4.3,process_tree,1.96,process_tree,635.22
40000,92.445,4.662,3.636,4.970000000000001,process_tree,1.96,process_tree,635.83
50000,114.206,7.971,6.128,4.3,process_tree,1.96,process_tree,636.06
60000,135.218,8.157,4.478,5.015,process_tree,1.96,process_tree,636.51
70000,157.163,10.272,5.748,6.4350000000000005,process_tree,1.97,process_tree,636.62
80000,179.22,17.247,11.553,5.015,process_tree,1.97,process_tree,637.78
90000,199.018,12.173,13.054,4.970000000000001,process_tree,1.97,process_tree,637.5
100000,220.087,13.022,8.216,4.970000000000001,process_tree,1.97,process_tree,637.74
110000,241.736,10.75,10.79,3.55,process_tree,1.97,process_tree,637.7
120000,263.178,15.276,15.958,5.015,process_tree,1.97,process_tree,637.31
130000,283.386,17.009,14.669,5.015,process_tree,1.97,process_tree,637.32
140000,304.97,14.057,17.071,4.970000000000001,process_tree,1.97,process_tree,637.96
150000,325.149,13.315,10.877,5.015,process_tree,1.97,process_tree,638.35
160000,344.861,11.251,13.135,6.45,process_tree,1.97,process_tree,638.14
170000,366.584,8.164,6.25,4.3,process_tree,1.97,process_tree,638.59
180000,387.543,12.181,10.99,5.015,process_tree,1.97,process_tree,638.66
190000,408.159,26.0,28.256,5.735,process_tree,1.97,process_tree,638.39
200000,430.722,16.459,21.595,4.3,process_tree,1.97,process_tree,638.29
210000,450.811,15.6,13.206,4.970000000000001,process_tree,1.97,process_tree,638.45
220000,472.473,25.386,26.483,4.970000000000001,process_tree,1.97,process_tree,638.55
230000,494.001,22.991,25.859,5.015,process_tree,1.97,process_tree,638.66
240000,514.916,28.765,34.121,5.015,process_tree,1.97,process_tree,639.3
250000,535.741,23.964,31.25,9.145,process_tree,1.97,process_tree,638.91
260000,556.449,28.43,26.473,5.015,process_tree,1.97,process_tree,639.04
270000,577.081,12.299,18.277,4.970000000000001,process_tree,1.97,process_tree,638.99
280000,597.264,6.235,5.939,5.015,process_tree,1.97,process_tree,639.14
290000,619.03,11.909,12.391,5.015,process_tree,1.97,process_tree,638.84
300000,639.37,19.336,21.005,5.015,process_tree,1.97,process_tree,638.75
310000,660.391,12.745,11.409,4.3,process_tree,1.97,process_tree,639.21
320000,681.79,20.444,29.545,5.735,process_tree,1.97,process_tree,639.57
330000,702.488,11.587,19.373,30.794999999999998,process_tree,1.97,process_tree,639.06
340000,723.241,16.023,20.034,4.3,process_tree,1.97,process_tree,638.89
350000,744.945,11.964,14.723,4.970000000000001,process_tree,1.97,process_tree,638.49
360000,765.985,22.746,30.11,5.015,process_tree,1.97,process_tree,639.11
370000,787.715,28.65,34.487,4.3,process_tree,1.97,process_tree,639.12
380000,807.823,65.953,41.405,4.26,process_tree,1.97,process_tree,638.96
390000,828.367,29.5,31.332,5.015,process_tree,1.97,process_tree,638.94
400000,850.169,17.967,15.196,5.735,process_tree,1.97,process_tree,638.81
410000,871.426,25.003,19.935,5.735,process_tree,1.97,process_tree,639.24
420000,891.533,46.204,38.228,4.26,process_tree,1.97,process_tree,638.14
430000,912.755,14.33,13.255,4.3,process_tree,1.97,process_tree,638.93
440000,933.353,32.93,34.807,5.68,process_tree,1.97,process_tree,639.43
450000,953.213,31.078,32.352,4.970000000000001,process_tree,1.97,process_tree,639.22
460000,974.416,47.915,36.738,5.015,process_tree,1.97,process_tree,639.11
470000,994.489,31.462,24.391,4.26,process_tree,1.97,process_tree,639.3
480000,1015.512,59.843,39.659,6.45,process_tree,1.97,process_tree,639.3
490000,1036.407,13.014,18.576,5.015,process_tree,1.97,process_tree,639.21
500000,1057.639,7.783,10.116,5.725,process_tree,2.0,process_tree,648.27
510000,1077.319,24.998,23.11,6.39,process_tree,2.0,process_tree,649.19
520000,1098.748,11.107,7.011,7.88,process_tree,2.0,process_tree,648.93
530000,1119.417,30.129,22.487,5.735,process_tree,2.0,process_tree,649.19
540000,1140.885,49.335,32.065,5.015,process_tree,2.01,process_tree,649.5
550000,1161.652,40.15,39.995,5.015,process_tree,2.01,process_tree,649.73
560000,1182.173,35.837,34.176,5.015,process_tree,2.01,process_tree,650.15
570000,1202.845,18.129,22.531,4.970000000000001,process_tree,2.01,process_tree,649.67
580000,1223.276,12.188,9.154,4.975,process_tree,2.01,process_tree,649.73
590000,1244.804,21.486,18.341,4.3,process_tree,2.01,process_tree,649.75
600000,1264.528,57.647,38.617,5.015,process_tree,2.01,process_tree,650.01
610000,1285.829,20.5,25.992,4.3,process_tree,2.01,process_tree,649.83
620000,1306.399,20.317,19.868,4.3,process_tree,2.01,process_tree,649.84
630000,1327.405,10.491,14.722,5.68,process_tree,2.01,process_tree,649.93
640000,1348.183,12.975,12.477,6.45,process_tree,2.01,process_tree,650.34
650000,1369.396,8.473,8.235,3.325,process_tree,2.01,process_tree,650.17
660000,1390.36,22.935,26.294,6.45,process_tree,2.01,process_tree,649.93
670000,1412.094,18.553,24.111,5.015,process_tree,2.01,process_tree,650.19
680000,1432.815,25.181,31.991,6.45,process_tree,2.01,process_tree,650.11
690000,1454.629,32.781,37.906,6.45,process_tree,2.01,process_tree,650.23
700000,1475.172,42.271,41.584,4.3,process_tree,2.01,process_tree,650.62
710000,1495.938,19.51,31.936,4.970000000000001,process_tree,2.01,process_tree,650.31
720000,1517.011,5.097,9.141,5.015,process_tree,2.01,process_tree,650.85
730000,1537.972,7.406,12.351,4.26,process_tree,2.01,process_tree,650.02
740000,1559.405,10.292,9.465,4.970000000000001,process_tree,2.01,process_tree,650.34
750000,1581.233,11.164,12.566,4.970000000000001,process_tree,2.01,process_tree,650.88
760000,1602.601,14.428,16.338,4.375,process_tree,2.01,process_tree,650.23
770000,1624.035,19.747,24.337,5.015,process_tree,2.01,process_tree,650.56
780000,1644.42,15.091,19.853,4.3,process_tree,2.01,process_tree,650.11
790000,1665.09,9.539,10.169,4.26,process_tree,2.01,process_tree,650.24
800000,1685.844,6.603,5.872,4.970000000000001,process_tree,2.01,process_tree,650.39
810000,1706.716,9.865,9.98,4.3,process_tree,2.01,process_tree,650.27
820000,1728.23,12.664,14.043,4.970000000000001,process_tree,2.01,process_tree,650.34
830000,1749.112,12.866,9.251,5.015,process_tree,2.01,process_tree,650.31
840000,1769.793,12.564,10.248,5.015,process_tree,2.01,process_tree,650.29
850000,1790.759,11.929,11.117,3.585,process_tree,2.01,process_tree,650.46
860000,1811.927,9.728,8.431,4.3,process_tree,2.01,process_tree,650.23
870000,1833.536,9.62,8.325,5.01,process_tree,2.01,process_tree,650.47
880000,1853.694,7.903,7.312,4.26,process_tree,2.01,process_tree,650.38
890000,1875.412,8.001,7.279,4.970000000000001,process_tree,2.01,process_tree,650.37
900000,1896.036,17.982,17.736,5.015,process_tree,2.01,process_tree,650.36
910000,1916.807,27.529,36.22,5.015,process_tree,2.01,process_tree,650.29
920000,1937.847,17.333,26.4,5.82,process_tree,2.01,process_tree,650.57
930000,1958.353,25.944,31.033,4.970000000000001,process_tree,2.01,process_tree,650.22
940000,1979.558,25.708,38.699,5.015,process_tree,2.01,process_tree,650.16
950000,1999.633,20.938,29.223,4.3,process_tree,2.01,process_tree,650.75
960000,2021.432,11.967,9.306,5.735,process_tree,2.01,process_tree,650.45
970000,2041.688,43.095,34.274,4.970000000000001,process_tree,2.01,process_tree,650.26
980000,2062.493,41.423,41.981,5.015,process_tree,2.01,process_tree,650.54
990000,2084.636,45.533,46.076,5.735,process_tree,2.01,process_tree,650.21
1000000,2106.603,52.265,46.541,4.970000000000001,process_tree,2.01,process_tree,650.73
1010000,2127.523,27.644,37.125,4.26,process_tree,2.01,process_tree,650.35
1020000,2149.546,8.705,11.935,5.015,process_tree,2.01,process_tree,650.9
1030000,2170.598,13.316,16.222,4.970000000000001,process_tree,2.01,process_tree,650.86
1040000,2192.721,18.467,23.331,4.26,process_tree,2.01,process_tree,650.6
1050000,2213.546,19.791,18.607,5.015,process_tree,2.01,process_tree,650.73
1060000,2234.862,21.885,30.442,4.3,process_tree,2.01,process_tree,649.88
1070000,2255.988,8.211,14.375,5.015,process_tree,2.01,process_tree,650.55
1080000,2278.138,6.202,6.919,5.015,process_tree,2.01,process_tree,650.52
1090000,2300.074,21.011,23.713,2.845,process_tree,2.01,process_tree,651.05
1100000,2320.647,57.784,47.834,4.975,process_tree,2.01,process_tree,650.39
1110000,2342.011,21.774,32.045,5.68,process_tree,2.01,process_tree,650.95
1120000,2362.474,44.128,43.079,5.68,process_tree,2.01,process_tree,650.34
1130000,2383.919,21.056,29.097,4.3,process_tree,2.01,process_tree,650.43
1140000,2404.548,13.635,21.644,5.015,process_tree,2.01,process_tree,650.32
1150000,2425.186,9.809,9.561,4.26,process_tree,2.01,process_tree,650.64
1160000,2445.929,38.594,38.424,5.88,process_tree,2.01,process_tree,650.96
1170000,2467.352,12.235,10.673,4.26,process_tree,2.01,process_tree,650.66
1180000,2488.256,9.813,10.994,6.45,process_tree,2.01,process_tree,650.65
1190000,2510.131,13.635,18.702,5.015,process_tree,2.01,process_tree,650.96
1200000,2532.259,3.736,7.292,5.735,process_tree,2.01,process_tree,650.41
1210000,2554.333,4.08,7.37,4.3,process_tree,2.01,process_tree,650.86
1220000,2575.003,3.378,7.812,5.88,process_tree,2.01,process_tree,650.53
1230000,2596.82,3.422,5.345,5.68,process_tree,2.01,process_tree,650.53
1240000,2618.527,5.802,7.369,4.970000000000001,process_tree,2.01,process_tree,650.36
1250000,2639.594,13.378,27.409,4.970000000000001,process_tree,2.01,process_tree,650.79
1260000,2660.573,3.482,10.51,4.26,process_tree,2.01,process_tree,650.54
1270000,2683.031,3.252,6.798,4.26,process_tree,2.01,process_tree,650.67
1280000,2704.673,5.019,5.384,6.595000000000001,process_tree,2.01,process_tree,650.73
1290000,2725.801,4.651,3.574,4.3,process_tree,2.01,process_tree,650.36
1300000,2747.344,5.424,4.004,4.970000000000001,process_tree,2.01,process_tree,650.42
1310000,2768.75,5.168,3.87,5.015,process_tree,2.01,process_tree,650.5
1320000,2790.183,4.379,3.479,4.985,process_tree,2.01,process_tree,650.29
1330000,2812.583,4.541,3.555,5.015,process_tree,2.01,process_tree,650.67
1340000,2833.459,6.194,3.655,5.015,process_tree,2.01,process_tree,650.54
1350000,2855.174,7.247,4.197,4.3,process_tree,2.01,process_tree,650.96
1360000,2876.95,8.203,4.771,4.970000000000001,process_tree,2.01,process_tree,650.54
1370000,2898.592,9.689,5.53,6.45,process_tree,2.01,process_tree,650.52
1380000,2919.757,10.024,7.904,4.3,process_tree,2.01,process_tree,650.75
1390000,2941.265,11.484,7.409,5.015,process_tree,2.01,process_tree,650.61
1400000,2962.691,16.876,8.517,4.970000000000001,process_tree,2.01,process_tree,650.93
1410000,2983.376,14.631,6.63,6.45,process_tree,2.01,process_tree,650.63
1420000,3005.253,13.807,7.748,15.669999999999998,process_tree,2.01,process_tree,650.95
1430000,3026.45,17.27,11.703,4.970000000000001,process_tree,2.01,process_tree,650.85
1440000,3048.08,17.615,12.855,4.970000000000001,process_tree,2.01,process_tree,651.31
1450000,3068.525,29.389,24.702,4.970000000000001,process_tree,2.01,process_tree,650.93
1460000,3090.031,20.967,22.611,4.970000000000001,process_tree,2.01,process_tree,650.62
1470000,3110.966,42.167,39.277,16.455000000000002,process_tree,2.01,process_tree,650.74
1480000,3132.472,28.663,25.989,4.970000000000001,process_tree,2.01,process_tree,650.85
1490000,3153.015,9.968,8.232,5.015,process_tree,2.01,process_tree,650.48
1500000,3174.48,7.712,5.154,6.39,process_tree,2.01,process_tree,651.22
1510000,3195.151,7.57,5.446,4.970000000000001,process_tree,2.01,process_tree,650.84
1520000,3216.439,8.812,5.747,5.68,process_tree,2.01,process_tree,650.91
1530000,3238.27,9.554,7.478,3.55,process_tree,2.01,process_tree,650.7
1540000,3259.143,16.664,14.32,4.3,process_tree,2.01,process_tree,650.93
1550000,3279.869,11.997,10.481,4.970000000000001,process_tree,2.01,process_tree,650.88
1560000,3300.437,13.364,12.989,5.68,process_tree,2.01,process_tree,651.03
1570000,3321.341,13.561,14.535,5.015,process_tree,2.01,process_tree,650.75
1580000,3342.965,2.248,6.885,7.1450000000000005,process_tree,2.01,process_tree,651.09
1590000,3364.627,2.008,3.284,4.3,process_tree,2.01,process_tree,650.61
1600000,3386.103,1.4,2.655,4.26,process_tree,2.01,process_tree,650.38
1610000,3408.489,2.044,3.993,5.015,process_tree,2.01,process_tree,651.21
1620000,3429.498,5.321,10.426,9.3,process_tree,2.01,process_tree,650.71
1630000,3450.181,12.117,23.054,10.709999999999999,process_tree,2.01,process_tree,650.89
1640000,3471.126,19.002,34.719,5.015,process_tree,2.01,process_tree,650.94
1650000,3491.674,8.786,25.238,4.3,process_tree,2.01,process_tree,650.62
