step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,68.4,system,
10000,23.574,1.213,0.75,5.005,process_tree,1.97,process_tree,639.26
20000,40.059,1.627,1.093,14.325,process_tree,1.98,process_tree,642.27
30000,55.587,2.557,1.75,5.015,process_tree,2.0,process_tree,646.27
40000,71.809,2.835,1.897,21.49,process_tree,1.99,process_tree,645.82
50000,86.912,3.316,2.62,13.544999999999998,process_tree,2.0,process_tree,646.64
60000,101.5,3.967,3.559,5.82,process_tree,2.0,process_tree,647.9
70000,116.713,4.247,3.715,4.970000000000001,process_tree,2.01,process_tree,649.5
80000,136.385,4.118,3.954,15.725,process_tree,2.0,process_tree,648.62
90000,152.648,4.862,4.0,7.855000000000001,process_tree,2.01,process_tree,650.24
100000,167.255,5.093,5.355,16.445,process_tree,2.0,process_tree,649.36
110000,183.368,6.059,5.948,4.970000000000001,process_tree,2.01,process_tree,650.02
120000,201.379,6.553,6.837,23.735,process_tree,2.01,process_tree,649.73
130000,217.021,9.113,8.464,5.015,process_tree,2.01,process_tree,652.42
140000,232.383,11.002,8.748,5.695,process_tree,2.01,process_tree,651.3
150000,247.147,16.634,13.826,5.735,process_tree,2.01,process_tree,651.9
160000,264.033,13.867,12.008,9.834999999999999,process_tree,2.01,process_tree,652.22
170000,278.989,16.855,14.306,8.575,process_tree,2.01,process_tree,650.72
180000,294.339,26.052,17.308,20.09,process_tree,2.01,process_tree,650.71
190000,309.168,34.021,28.216,12.15,process_tree,2.02,process_tree,653.32
200000,323.879,26.076,22.068,28.619999999999997,process_tree,2.01,process_tree,651.95
210000,339.159,26.965,22.587,11.535,process_tree,2.02,process_tree,653.16
220000,354.306,20.59,13.415,11.469999999999999,process_tree,2.02,process_tree,653.32
230000,369.527,25.463,22.821,3.585,process_tree,2.02,process_tree,653.88
240000,384.81,15.54,11.696,5.7,process_tree,2.02,process_tree,653.78
250000,399.538,40.0,29.337,3.585,process_tree,2.02,process_tree,654.36
260000,415.078,29.185,28.497,7.1,process_tree,2.02,process_tree,654.73
270000,430.419,43.6,35.802,7.4799999999999995,process_tree,2.02,process_tree,654.73
