step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,79.0,system,
10000,27.925,1.388,0.944,16.455000000000002,process_tree,1.98,process_tree,640.45
20000,48.724,2.655,1.913,7.964999999999999,process_tree,2.0,process_tree,646.83
30000,68.245,8.606,9.286,5.015,process_tree,2.0,process_tree,648.52
40000,89.697,16.653,21.065,13.794999999999998,process_tree,2.01,process_tree,650.59
50000,109.611,27.327,27.351,7.12,process_tree,2.0,process_tree,649.37
60000,130.332,22.197,18.62,5.015,process_tree,2.01,process_tree,649.94
70000,150.846,62.481,36.754,11.42,process_tree,2.01,process_tree,649.88
80000,169.359,44.185,31.757,5.015,process_tree,2.01,process_tree,650.67
90000,188.987,47.616,34.469,4.970000000000001,process_tree,2.01,process_tree,650.25
100000,210.13,24.114,28.755,22.805,process_tree,2.0,process_tree,649.27
110000,229.095,43.111,27.757,3.585,process_tree,2.01,process_tree,650.34
120000,250.138,31.319,27.666,4.375,process_tree,2.01,process_tree,651.43
130000,269.421,41.232,43.289,23.604999999999997,process_tree,2.01,process_tree,652.08
140000,288.625,47.06,30.873,4.3,process_tree,2.01,process_tree,650.73
150000,308.337,76.79,31.076,15.030000000000001,process_tree,2.01,process_tree,651.0
160000,327.256,28.418,37.073,5.82,process_tree,2.01,process_tree,652.41
170000,347.16,32.865,42.327,6.660000000000001,process_tree,2.01,process_tree,651.89
180000,367.264,4.562,9.103,13.55,process_tree,2.01,process_tree,652.28
190000,385.718,71.656,40.436,4.3,process_tree,2.02,process_tree,652.94
200000,405.449,16.727,34.024,5.82,process_tree,2.01,process_tree,652.13
210000,425.292,10.767,19.619,13.569999999999999,process_tree,2.01,process_tree,650.84
220000,447.457,1.548,6.151,5.015,process_tree,2.01,process_tree,651.56
230000,466.897,11.331,15.61,4.3,process_tree,2.01,process_tree,651.15
240000,485.001,51.222,45.272,6.435,process_tree,2.01,process_tree,651.02
250000,505.223,38.713,45.224,6.45,process_tree,2.01,process_tree,651.24
260000,526.411,3.499,10.629,5.6850000000000005,process_tree,2.01,process_tree,651.57
270000,546.38,24.418,33.973,7.165000000000001,process_tree,2.01,process_tree,652.18
280000,566.795,40.488,47.439,29.475,process_tree,2.02,process_tree,653.59
290000,586.844,43.694,47.514,7.165000000000001,process_tree,2.02,process_tree,653.27
300000,606.095,71.6,40.238,5.735,process_tree,2.01,process_tree,652.62
310000,627.498,34.105,29.055,5.015,process_tree,2.02,process_tree,653.92
320000,647.538,22.384,28.292,20.18,process_tree,2.01,process_tree,652.56
330000,667.594,16.036,23.51,19.235,process_tree,2.02,process_tree,653.52
340000,685.662,90.918,28.719,7.1,process_tree,2.01,process_tree,651.8
350000,706.248,46.567,39.182,4.970000000000001,process_tree,2.02,process_tree,653.68
360000,726.6,92.454,26.141,15.675,process_tree,2.01,process_tree,652.25
370000,745.41,61.262,32.85,4.970000000000001,process_tree,2.01,process_tree,651.87
380000,764.476,80.91,33.826,5.015,process_tree,2.01,process_tree,652.5
390000,785.632,76.194,33.56,9.315000000000001,process_tree,2.01,process_tree,652.45
400000,803.618,70.022,31.76,8.525,process_tree,2.02,process_tree,652.87
410000,824.135,71.218,42.256,5.015,process_tree,2.01,process_tree,652.7
420000,844.632,100.0,0.0,6.45,process_tree,2.02,process_tree,652.74
430000,863.588,100.0,0.0,5.735,process_tree,2.01,process_tree,652.28
440000,884.254,92.662,25.421,7.165000000000001,process_tree,2.02,process_tree,652.91
450000,904.411,100.0,0.0,6.795,process_tree,2.01,process_tree,652.16
460000,924.017,65.567,39.837,5.7299999999999995,process_tree,2.01,process_tree,651.93
470000,941.566,8.594,21.049,4.970000000000001,process_tree,2.01,process_tree,651.54
480000,962.466,9.389,17.319,5.7299999999999995,process_tree,2.02,process_tree,653.04
490000,980.863,16.773,25.643,5.68,process_tree,2.01,process_tree,652.41
500000,1001.078,66.527,43.382,4.3,process_tree,2.05,process_tree,662.52
510000,1020.431,67.438,39.784,12.794999999999998,process_tree,2.05,process_tree,663.31
520000,1039.551,90.945,28.633,8.575,process_tree,2.04,process_tree,662.12
530000,1059.197,64.233,44.377,14.219999999999999,process_tree,2.05,process_tree,664.36
540000,1077.372,100.0,0.0,4.970000000000001,process_tree,2.05,process_tree,664.66
550000,1096.967,92.331,26.567,5.735,process_tree,2.05,process_tree,663.48
560000,1116.968,61.493,43.179,5.015,process_tree,2.05,process_tree,664.42
570000,1137.601,71.477,42.118,14.25,process_tree,2.05,process_tree,663.05
580000,1156.803,73.869,34.44,4.970000000000001,process_tree,2.05,process_tree,663.26
590000,1178.04,40.504,38.863,16.439999999999998,process_tree,2.05,process_tree,663.33
600000,1195.914,92.382,24.091,4.970000000000001,process_tree,2.05,process_tree,662.88
610000,1214.757,87.873,25.974,4.3,process_tree,2.05,process_tree,663.44
620000,1235.843,91.527,26.793,4.3,process_tree,2.05,process_tree,662.88
630000,1256.641,33.631,40.832,4.3,process_tree,2.05,process_tree,663.47
640000,1274.604,79.573,39.508,6.45,process_tree,2.05,process_tree,663.47
650000,1294.633,69.071,41.143,23.634999999999998,process_tree,2.05,process_tree,663.28
660000,1314.126,80.21,39.58,5.6850000000000005,process_tree,2.05,process_tree,663.34
670000,1333.925,57.828,47.583,5.68,process_tree,2.05,process_tree,664.71
680000,1351.553,76.25,38.121,5.735,process_tree,2.05,process_tree,663.59
690000,1370.957,93.725,20.812,22.205,process_tree,2.05,process_tree,663.76
700000,1392.114,67.682,44.602,4.970000000000001,process_tree,2.05,process_tree,664.99
710000,1409.872,100.0,0.0,5.015,process_tree,2.05,process_tree,664.99
720000,1430.452,100.0,0.0,11.375,process_tree,2.05,process_tree,663.47
730000,1449.723,100.0,0.0,6.45,process_tree,2.05,process_tree,663.49
740000,1470.187,73.238,41.729,4.970000000000001,process_tree,2.05,process_tree,663.73
750000,1490.081,85.221,27.648,25.794999999999998,process_tree,2.04,process_tree,662.2
760000,1509.331,63.147,45.708,4.3,process_tree,2.05,process_tree,663.96
770000,1528.682,100.0,0.0,3.55,process_tree,2.05,process_tree,663.36
780000,1548.426,100.0,0.0,4.970000000000001,process_tree,2.05,process_tree,663.34
790000,1567.555,86.036,34.206,5.015,process_tree,2.05,process_tree,663.56
800000,1587.295,95.691,13.627,8.309999999999999,process_tree,2.05,process_tree,663.39
810000,1606.618,55.97,46.003,15.015,process_tree,2.05,process_tree,663.66
820000,1624.856,95.489,12.759,4.375,process_tree,2.05,process_tree,663.64
830000,1645.664,24.141,34.766,5.015,process_tree,2.05,process_tree,664.61
840000,1664.054,8.843,22.314,8.6,process_tree,2.05,process_tree,662.97
850000,1684.196,4.907,11.953,5.015,process_tree,2.05,process_tree,663.1
860000,1702.939,5.359,12.488,5.01,process_tree,2.04,process_tree,661.73
870000,1724.31,1.127,3.834,16.355,process_tree,2.05,process_tree,663.69
880000,1743.591,3.582,10.543,5.735,process_tree,2.05,process_tree,664.02
890000,1763.234,43.668,45.108,4.970000000000001,process_tree,2.05,process_tree,663.96
900000,1783.91,6.475,12.853,4.970000000000001,process_tree,2.05,process_tree,664.49
910000,1803.843,33.169,44.166,7.040000000000001,process_tree,2.05,process_tree,663.85
920000,1823.178,78.078,41.013,5.720000000000001,process_tree,2.05,process_tree,664.58
930000,1840.357,13.469,27.5,6.45,process_tree,2.05,process_tree,664.26
940000,1858.987,66.422,34.572,24.195,process_tree,2.05,process_tree,662.71
950000,1878.514,48.836,39.863,5.015,process_tree,2.05,process_tree,664.23
960000,1900.395,91.992,26.561,7.165000000000001,process_tree,2.05,process_tree,663.61
