step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,80.8,system,
10000,27.809,1.365,0.862,5.735,process_tree,1.97,process_tree,638.8
20000,48.587,2.295,1.417,5.015,process_tree,1.98,process_tree,641.75
30000,68.727,3.092,2.38,5.015,process_tree,1.99,process_tree,644.8
40000,89.709,4.366,3.528,5.015,process_tree,1.99,process_tree,643.93
50000,110.222,5.491,5.033,5.01,process_tree,1.99,process_tree,644.34
60000,130.484,6.752,6.548,5.015,process_tree,1.99,process_tree,644.98
70000,150.135,7.932,9.8,5.015,process_tree,1.99,process_tree,645.13
80000,169.216,11.253,12.654,7.165000000000001,process_tree,1.99,process_tree,644.01
90000,188.805,15.045,17.925,4.3,process_tree,1.99,process_tree,645.0
100000,209.408,25.335,29.606,4.985,process_tree,1.99,process_tree,644.68
110000,227.828,29.38,32.593,6.45,process_tree,1.99,process_tree,645.67
120000,248.29,31.168,32.941,4.970000000000001,process_tree,1.99,process_tree,645.55
130000,266.487,63.838,37.537,5.015,process_tree,1.99,process_tree,645.53
140000,286.503,56.585,42.565,4.970000000000001,process_tree,1.99,process_tree,644.57
150000,305.061,89.755,28.366,3.585,process_tree,1.99,process_tree,645.64
160000,324.507,77.6,34.701,7.165000000000001,process_tree,1.99,process_tree,645.93
170000,343.649,80.17,39.66,4.970000000000001,process_tree,1.99,process_tree,646.02
180000,363.56,96.708,8.129,6.4399999999999995,process_tree,1.99,process_tree,645.68
190000,381.978,92.092,26.229,2.8649999999999998,process_tree,1.99,process_tree,645.2
200000,401.72,63.274,41.845,14.305000000000001,process_tree,1.99,process_tree,645.4
210000,420.451,82.1,37.972,4.970000000000001,process_tree,1.99,process_tree,645.64
220000,438.745,100.0,0.0,4.970000000000001,process_tree,2.0,process_tree,646.25
230000,458.06,100.0,0.0,4.3,process_tree,1.99,process_tree,645.89
240000,478.552,100.0,0.0,5.015,process_tree,1.99,process_tree,646.07
250000,498.128,83.793,31.706,4.970000000000001,process_tree,1.99,process_tree,644.82
260000,518.334,100.0,0.0,5.015,process_tree,1.99,process_tree,645.52
270000,537.532,81.955,38.28,5.015,process_tree,1.99,process_tree,645.45
280000,558.023,100.0,0.0,4.985,process_tree,1.99,process_tree,645.46
290000,577.684,90.07,29.79,7.88,process_tree,1.99,process_tree,645.7
300000,596.868,85.869,31.312,4.970000000000001,process_tree,2.0,process_tree,646.3
310000,617.718,100.0,0.0,4.3,process_tree,2.0,process_tree,646.33
320000,637.311,56.543,40.492,6.45,process_tree,2.0,process_tree,646.29
330000,657.531,91.725,27.445,6.39,process_tree,2.0,process_tree,646.66
340000,676.994,84.915,35.379,4.970000000000001,process_tree,1.99,process_tree,646.14
350000,696.171,78.973,35.394,5.015,process_tree,1.99,process_tree,645.17
360000,715.175,90.33,29.01,5.015,process_tree,1.99,process_tree,645.62
370000,736.892,85.871,34.608,3.585,process_tree,1.99,process_tree,646.1
380000,756.952,89.467,29.793,5.82,process_tree,1.99,process_tree,646.16
390000,776.161,86.929,32.031,5.015,process_tree,1.99,process_tree,646.19
400000,795.354,83.433,37.045,6.45,process_tree,2.0,process_tree,646.48
410000,816.36,93.011,19.768,6.45,process_tree,1.99,process_tree,645.75
420000,834.46,90.936,28.662,6.535000000000001,process_tree,1.99,process_tree,646.13
430000,854.403,94.145,18.514,4.970000000000001,process_tree,2.0,process_tree,646.55
440000,874.096,90.0,30.0,4.3,process_tree,1.99,process_tree,646.19
450000,894.985,95.8,14.549,16.41,process_tree,1.99,process_tree,646.14
460000,914.394,100.0,0.0,7.165000000000001,process_tree,1.99,process_tree,646.21
470000,934.228,85.9,34.538,6.45,process_tree,2.0,process_tree,646.32
480000,953.323,96.69,9.93,4.26,process_tree,2.0,process_tree,646.4
490000,973.081,100.0,0.0,5.015,process_tree,1.99,process_tree,646.12
500000,993.467,91.792,27.224,8.59,process_tree,2.02,process_tree,655.27
510000,1012.571,66.882,44.001,10.709999999999999,process_tree,2.03,process_tree,656.4
520000,1031.066,63.022,46.55,5.68,process_tree,2.03,process_tree,656.82
530000,1051.342,100.0,0.0,3.585,process_tree,2.03,process_tree,657.31
540000,1071.157,100.0,0.0,5.68,process_tree,2.03,process_tree,657.29
550000,1090.886,96.369,12.577,5.015,process_tree,2.03,process_tree,656.48
560000,1110.535,85.923,33.17,7.140000000000001,process_tree,2.03,process_tree,656.7
570000,1130.521,100.0,0.0,5.725,process_tree,2.03,process_tree,657.23
580000,1150.193,86.308,32.374,6.445,process_tree,2.03,process_tree,657.05
590000,1170.301,100.0,0.0,4.3,process_tree,2.03,process_tree,657.12
600000,1189.566,100.0,0.0,5.015,process_tree,2.03,process_tree,657.46
610000,1209.313,100.0,0.0,4.3,process_tree,2.03,process_tree,656.91
620000,1228.601,75.194,42.966,5.015,process_tree,2.03,process_tree,657.42
630000,1248.214,100.0,0.0,4.3,process_tree,2.03,process_tree,656.86
640000,1268.123,95.845,13.138,5.015,process_tree,2.03,process_tree,657.49
650000,1287.543,100.0,0.0,6.43,process_tree,2.03,process_tree,656.42
660000,1307.196,100.0,0.0,7.165000000000001,process_tree,2.03,process_tree,656.97
670000,1326.619,94.758,17.385,7.165000000000001,process_tree,2.03,process_tree,657.39
680000,1347.076,85.807,34.765,5.01,process_tree,2.03,process_tree,656.51
690000,1366.375,100.0,0.0,5.68,process_tree,2.03,process_tree,657.25
700000,1385.085,100.0,0.0,5.015,process_tree,2.03,process_tree,657.17
710000,1404.784,90.829,22.465,4.3,process_tree,2.03,process_tree,656.84
720000,1425.562,100.0,0.0,4.3,process_tree,2.03,process_tree,657.2
730000,1444.393,100.0,0.0,2.8649999999999998,process_tree,2.03,process_tree,657.3
740000,1463.812,80.227,39.547,4.26,process_tree,2.03,process_tree,657.71
750000,1483.313,100.0,0.0,8.309999999999999,process_tree,2.03,process_tree,657.34
760000,1503.704,100.0,0.0,18.585,process_tree,2.03,process_tree,656.21
770000,1523.316,90.813,24.308,4.970000000000001,process_tree,2.03,process_tree,657.41
780000,1543.574,78.729,40.732,4.970000000000001,process_tree,2.03,process_tree,657.38
790000,1563.607,100.0,0.0,5.7299999999999995,process_tree,2.03,process_tree,656.93
800000,1582.192,78.65,40.882,5.6850000000000005,process_tree,2.03,process_tree,656.9
810000,1601.707,100.0,0.0,4.975,process_tree,2.03,process_tree,656.9
820000,1621.972,91.75,27.362,8.559999999999999,process_tree,2.03,process_tree,656.98
830000,1640.485,87.6,32.807,6.45,process_tree,2.03,process_tree,656.91
