step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.2,system,
10000,22.289,1.25,0.735,9.32,process_tree,2.0,process_tree,647.31
20000,39.565,1.884,1.319,8.525,process_tree,2.0,process_tree,648.11
30000,55.862,2.847,2.133,5.720000000000001,process_tree,1.99,process_tree,645.44
40000,72.491,4.939,3.838,6.404999999999999,process_tree,2.0,process_tree,646.95
50000,88.189,7.607,6.499,6.404999999999999,process_tree,2.0,process_tree,646.84
60000,104.587,13.214,14.325,5.7299999999999995,process_tree,2.01,process_tree,649.76
70000,119.657,58.293,40.812,4.970000000000001,process_tree,2.01,process_tree,650.12
80000,136.036,91.478,24.104,4.975,process_tree,2.01,process_tree,649.5
90000,152.912,100.0,0.0,17.869999999999997,process_tree,2.01,process_tree,650.36
100000,167.2,84.692,35.9,8.6,process_tree,2.01,process_tree,651.11
110000,183.506,100.0,0.0,5.7299999999999995,process_tree,2.0,process_tree,647.26
120000,200.232,87.809,28.547,21.47,process_tree,2.01,process_tree,651.05
130000,216.712,85.344,28.321,12.844999999999999,process_tree,2.01,process_tree,650.09
140000,231.185,100.0,0.0,4.3,process_tree,2.01,process_tree,650.94
150000,247.477,83.367,37.193,9.265,process_tree,2.01,process_tree,651.67
160000,262.813,97.267,9.065,12.8,process_tree,2.01,process_tree,651.82
170000,278.239,91.75,27.362,5.015,process_tree,2.01,process_tree,651.74
180000,294.178,77.856,41.428,8.58,process_tree,2.01,process_tree,651.72
190000,310.518,81.891,38.415,26.939999999999998,process_tree,2.01,process_tree,651.74
200000,325.152,100.0,0.0,6.39,process_tree,2.01,process_tree,652.14
210000,341.554,90.927,28.69,5.015,process_tree,2.02,process_tree,652.91
220000,358.21,85.764,34.87,6.4350000000000005,process_tree,2.01,process_tree,652.48
230000,374.103,84.808,35.63,13.569999999999999,process_tree,2.02,process_tree,652.79
240000,389.543,85.714,34.993,3.55,process_tree,2.01,process_tree,651.86
250000,405.992,93.855,19.434,19.575,process_tree,2.01,process_tree,652.23
260000,422.764,91.692,27.556,21.475,process_tree,2.01,process_tree,652.65
270000,438.809,90.02,29.94,8.309999999999999,process_tree,2.01,process_tree,651.89
280000,455.099,92.369,26.434,6.404999999999999,process_tree,2.02,process_tree,653.26
290000,471.804,92.323,26.594,4.035,process_tree,2.02,process_tree,653.33
300000,488.245,69.911,43.208,6.43,process_tree,2.02,process_tree,652.91
310000,503.106,77.023,41.95,10.7,process_tree,2.02,process_tree,653.79
320000,519.983,83.392,37.137,14.235,process_tree,2.01,process_tree,652.64
330000,535.837,78.946,38.8,8.569999999999999,process_tree,2.02,process_tree,653.22
340000,550.873,90.982,28.518,9.945,process_tree,2.02,process_tree,653.18
350000,567.616,80.06,39.88,6.410000000000001,process_tree,2.02,process_tree,653.45
360000,584.251,70.21,45.505,22.175,process_tree,2.02,process_tree,653.14
370000,601.025,83.475,36.951,7.165000000000001,process_tree,2.02,process_tree,653.55
380000,615.617,73.433,44.056,6.45,process_tree,2.02,process_tree,652.79
390000,632.211,71.514,45.04,7.875,process_tree,2.02,process_tree,652.95
400000,648.528,76.969,42.048,13.570000000000002,process_tree,2.02,process_tree,653.33
410000,663.846,80.633,38.758,4.3,process_tree,2.02,process_tree,653.71
420000,680.17,87.513,33.039,7.1450000000000005,process_tree,2.02,process_tree,652.74
430000,696.108,81.567,36.743,34.36,process_tree,2.02,process_tree,653.09
440000,709.949,100.0,0.0,5.735,process_tree,2.01,process_tree,652.29
450000,724.284,78.679,40.828,5.725,process_tree,2.01,process_tree,651.11
460000,740.697,81.882,38.434,13.61,process_tree,2.02,process_tree,653.52
470000,756.976,85.864,34.626,17.335,process_tree,2.02,process_tree,653.0
480000,772.612,75.288,42.804,4.970000000000001,process_tree,2.02,process_tree,653.68
490000,789.668,78.186,40.706,17.635,process_tree,2.02,process_tree,653.72
500000,806.465,100.0,0.0,23.5,process_tree,2.04,process_tree,661.87
510000,823.176,91.683,27.583,10.030000000000001,process_tree,2.04,process_tree,662.24
520000,838.531,83.417,37.082,4.26,process_tree,2.05,process_tree,662.89
530000,855.861,91.683,27.583,6.404999999999999,process_tree,2.05,process_tree,663.02
540000,872.462,94.786,12.772,5.7299999999999995,process_tree,2.04,process_tree,659.25
550000,887.898,91.683,27.583,8.525,process_tree,2.04,process_tree,662.18
560000,905.392,94.64,16.08,4.3,process_tree,2.04,process_tree,659.46
570000,922.027,77.843,34.19,16.445,process_tree,2.05,process_tree,663.18
580000,937.47,100.0,0.0,7.165000000000001,process_tree,2.04,process_tree,662.41
590000,953.674,62.675,46.93,5.720000000000001,process_tree,2.05,process_tree,663.61
600000,970.809,100.0,0.0,8.55,process_tree,2.05,process_tree,663.85
610000,988.034,90.02,29.94,23.639999999999997,process_tree,2.05,process_tree,663.98
620000,1002.866,90.04,29.88,4.275,process_tree,2.04,process_tree,660.2
630000,1019.972,88.058,29.087,9.27,process_tree,2.05,process_tree,662.91
640000,1036.925,90.955,28.604,15.035000000000002,process_tree,2.05,process_tree,663.5
650000,1051.612,78.629,40.923,15.75,process_tree,2.05,process_tree,663.59
660000,1069.623,67.106,44.145,12.16,process_tree,2.05,process_tree,664.02
670000,1084.147,83.525,36.84,9.235,process_tree,2.05,process_tree,664.77
680000,1099.925,80.06,39.88,7.1049999999999995,process_tree,2.05,process_tree,663.53
690000,1115.772,83.392,37.137,17.815,process_tree,2.05,process_tree,663.38
700000,1130.109,81.964,38.262,4.970000000000001,process_tree,2.05,process_tree,664.1
710000,1146.037,100.0,0.0,6.87,process_tree,2.05,process_tree,663.27
720000,1161.195,84.031,30.954,12.885,process_tree,2.05,process_tree,664.23
730000,1176.504,77.038,41.922,8.59,process_tree,2.05,process_tree,664.22
740000,1191.039,88.944,31.27,6.404999999999999,process_tree,2.05,process_tree,664.39
750000,1206.363,70.862,43.951,14.294999999999998,process_tree,2.05,process_tree,664.77
760000,1221.824,100.0,0.0,14.3,process_tree,2.05,process_tree,663.68
770000,1236.345,92.623,25.554,5.7299999999999995,process_tree,2.05,process_tree,664.06
780000,1252.196,77.207,40.304,14.3,process_tree,2.05,process_tree,664.39
790000,1267.851,81.982,38.223,6.4,process_tree,2.05,process_tree,664.18
800000,1282.3,69.1,45.728,7.165000000000001,process_tree,2.05,process_tree,664.49
810000,1297.642,66.027,46.505,20.66,process_tree,2.05,process_tree,663.99
820000,1313.596,90.04,29.88,7.835000000000001,process_tree,2.05,process_tree,664.3
830000,1327.974,95.869,14.309,5.015,process_tree,2.05,process_tree,664.73
840000,1343.538,90.03,29.91,4.26,process_tree,2.05,process_tree,664.71
850000,1359.047,100.0,0.0,6.390000000000001,process_tree,2.05,process_tree,663.38
860000,1374.617,90.04,29.88,11.42,process_tree,2.05,process_tree,664.15
870000,1389.016,100.0,0.0,4.970000000000001,process_tree,2.04,process_tree,662.33
880000,1405.155,90.918,28.719,8.084999999999999,process_tree,2.05,process_tree,663.71
890000,1420.516,85.779,34.835,6.435,process_tree,2.05,process_tree,663.91
900000,1433.916,100.0,0.0,4.970000000000001,process_tree,2.05,process_tree,664.03
910000,1450.579,100.0,0.0,3.585,process_tree,2.05,process_tree,663.62
920000,1466.912,100.0,0.0,4.970000000000001,process_tree,2.05,process_tree,663.86
930000,1483.299,83.433,37.044,14.3,process_tree,2.05,process_tree,664.05
940000,1496.947,94.845,16.3,7.1,process_tree,2.05,process_tree,663.23
950000,1512.357,100.0,0.0,7.839999999999999,process_tree,2.05,process_tree,663.38
960000,1528.24,100.0,0.0,10.0,process_tree,2.05,process_tree,664.41
970000,1542.231,91.0,28.461,5.68,process_tree,2.05,process_tree,664.72
980000,1557.61,66.875,46.846,6.404999999999999,process_tree,2.04,process_tree,660.64
990000,1573.561,83.4,37.119,17.77,process_tree,2.05,process_tree,663.65
1000000,1588.968,91.767,27.307,15.680000000000001,process_tree,2.05,process_tree,663.97
1010000,1602.715,100.0,0.0,8.565000000000001,process_tree,2.05,process_tree,664.19
1020000,1617.741,100.0,0.0,5.015,process_tree,2.05,process_tree,663.78
1030000,1632.813,100.0,0.0,14.209999999999999,process_tree,2.05,process_tree,664.39
1040000,1646.57,100.0,0.0,3.585,process_tree,2.05,process_tree,662.75
1050000,1661.88,90.918,28.719,9.295,process_tree,2.05,process_tree,664.34
