step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,85.8,system,
10000,27.143,1.692,1.285,5.735,process_tree,1.97,process_tree,638.38
20000,48.498,6.157,7.064,4.3,process_tree,1.98,process_tree,639.96
30000,70.033,31.736,26.702,6.43,process_tree,1.97,process_tree,639.43
40000,90.927,67.42,27.354,4.3,process_tree,1.98,process_tree,640.59
50000,112.988,75.706,42.084,4.970000000000001,process_tree,1.98,process_tree,640.65
60000,133.412,86.007,34.277,6.39,process_tree,1.98,process_tree,640.28
70000,155.712,13.744,29.759,5.005,process_tree,1.97,process_tree,639.68
80000,176.014,74.345,41.924,5.015,process_tree,1.98,process_tree,640.91
90000,198.466,100.0,0.0,11.459999999999999,process_tree,1.98,process_tree,640.0
100000,219.159,79.6,39.083,4.970000000000001,process_tree,1.98,process_tree,640.2
110000,240.605,73.645,31.302,4.970000000000001,process_tree,1.98,process_tree,641.07
120000,261.981,85.271,29.425,12.075,process_tree,1.98,process_tree,640.15
130000,282.122,89.982,28.096,4.3,process_tree,1.98,process_tree,641.27
140000,304.037,100.0,0.0,20.035000000000004,process_tree,1.98,process_tree,641.04
150000,324.846,90.22,29.34,5.68,process_tree,1.98,process_tree,641.61
160000,346.635,100.0,0.0,15.739999999999998,process_tree,1.98,process_tree,640.55
170000,367.259,25.484,43.024,5.015,process_tree,1.98,process_tree,642.19
180000,390.149,1.857,9.315,5.015,process_tree,1.98,process_tree,641.98
190000,412.096,1.468,4.911,6.45,process_tree,1.98,process_tree,641.82
200000,434.351,3.273,16.277,5.680000000000001,process_tree,1.98,process_tree,641.88
210000,457.48,1.332,8.36,4.970000000000001,process_tree,1.98,process_tree,640.44
220000,479.936,1.021,5.376,4.26,process_tree,1.98,process_tree,641.27
230000,502.256,3.22,16.179,22.785,process_tree,1.98,process_tree,640.82
240000,523.183,3.22,15.753,5.68,process_tree,1.98,process_tree,641.84
250000,545.861,3.085,15.337,5.015,process_tree,1.98,process_tree,642.31
260000,568.601,1.896,11.867,4.26,process_tree,1.98,process_tree,642.06
270000,590.994,1.951,11.83,4.3,process_tree,1.98,process_tree,641.06
280000,612.511,6.248,23.134,24.09,process_tree,1.98,process_tree,640.97
290000,634.549,5.271,20.99,7.165000000000001,process_tree,1.98,process_tree,641.32
300000,655.487,6.325,22.997,5.735,process_tree,1.98,process_tree,642.29
310000,677.91,8.926,27.464,5.015,process_tree,1.98,process_tree,641.66
320000,699.261,15.764,35.528,19.945,process_tree,1.98,process_tree,640.97
330000,719.051,43.59,48.866,5.725,process_tree,1.98,process_tree,642.7
340000,739.944,17.793,37.271,6.45,process_tree,1.98,process_tree,642.24
350000,761.614,4.331,18.949,4.3,process_tree,1.98,process_tree,641.97
360000,783.875,19.973,39.404,4.3,process_tree,1.98,process_tree,640.91
370000,804.521,78.671,40.841,4.26,process_tree,1.98,process_tree,642.29
380000,826.063,37.969,48.05,13.525,process_tree,1.98,process_tree,640.97
390000,845.841,84.685,35.918,5.015,process_tree,1.98,process_tree,641.95
400000,868.459,75.119,43.096,5.720000000000001,process_tree,1.98,process_tree,640.93
410000,890.981,81.918,38.357,10.655000000000001,process_tree,1.98,process_tree,641.34
420000,912.445,52.076,48.051,7.815,process_tree,1.98,process_tree,642.05
430000,934.885,90.918,28.719,5.88,process_tree,1.98,process_tree,641.18
440000,957.816,42.489,49.047,13.605,process_tree,1.98,process_tree,641.35
450000,978.735,34.981,47.31,2.84,process_tree,1.98,process_tree,641.69
460000,1001.335,37.297,47.717,6.415000000000001,process_tree,1.98,process_tree,641.34
470000,1022.051,14.841,34.768,6.45,process_tree,1.98,process_tree,642.6
480000,1044.835,8.798,27.502,5.735,process_tree,1.98,process_tree,642.22
490000,1067.658,8.893,27.473,8.91,process_tree,1.98,process_tree,641.33
500000,1090.412,9.926,28.812,4.3,process_tree,2.01,process_tree,649.91
510000,1111.563,43.787,49.303,5.625,process_tree,2.01,process_tree,652.13
520000,1134.497,84.723,35.828,5.005,process_tree,2.01,process_tree,652.16
530000,1156.99,51.791,49.014,11.969999999999999,process_tree,2.01,process_tree,651.32
540000,1178.941,25.513,43.007,4.970000000000001,process_tree,2.01,process_tree,652.54
550000,1201.234,11.246,26.868,4.970000000000001,process_tree,2.01,process_tree,652.41
560000,1223.253,34.752,46.749,15.675,process_tree,2.01,process_tree,650.98
570000,1244.148,43.272,48.298,9.139999999999999,process_tree,2.01,process_tree,652.17
580000,1266.448,26.243,42.739,12.865,process_tree,2.01,process_tree,651.25
590000,1288.818,47.737,49.583,4.3,process_tree,2.02,process_tree,652.81
600000,1311.118,39.4,48.59,20.06,process_tree,2.01,process_tree,651.23
610000,1332.311,42.083,48.95,6.45,process_tree,2.01,process_tree,652.5
620000,1354.022,37.648,47.827,4.970000000000001,process_tree,2.01,process_tree,651.75
630000,1376.533,61.394,48.397,7.8549999999999995,process_tree,2.01,process_tree,651.96
640000,1397.638,56.581,49.233,4.970000000000001,process_tree,2.02,process_tree,652.88
650000,1420.314,64.443,47.706,7.8549999999999995,process_tree,2.01,process_tree,651.45
660000,1440.967,61.389,48.402,4.970000000000001,process_tree,2.02,process_tree,653.14
670000,1463.509,50.428,49.574,3.75,process_tree,2.01,process_tree,652.34
680000,1485.537,58.184,49.035,14.319999999999999,process_tree,2.01,process_tree,651.89
690000,1508.422,39.023,48.212,12.885,process_tree,2.01,process_tree,651.27
700000,1529.681,87.6,32.807,5.735,process_tree,2.01,process_tree,652.13
710000,1552.078,42.7,49.07,10.73,process_tree,2.01,process_tree,651.8
720000,1573.47,48.209,49.588,5.735,process_tree,2.01,process_tree,652.6
730000,1596.139,81.945,38.3,5.015,process_tree,2.01,process_tree,652.64
740000,1618.555,64.971,47.431,4.26,process_tree,2.01,process_tree,651.45
750000,1639.991,83.583,36.71,5.015,process_tree,2.01,process_tree,652.26
760000,1662.65,44.978,49.218,6.404999999999999,process_tree,2.01,process_tree,651.23
770000,1684.781,9.428,27.896,5.725,process_tree,2.01,process_tree,651.97
780000,1706.011,27.496,44.009,6.45,process_tree,2.01,process_tree,652.32
790000,1728.888,7.719,21.878,4.3,process_tree,2.01,process_tree,651.46
800000,1751.304,16.772,36.048,11.42,process_tree,2.01,process_tree,651.86
810000,1773.135,14.896,34.345,5.015,process_tree,2.01,process_tree,652.69
820000,1795.767,10.573,28.146,7.12,process_tree,2.01,process_tree,651.58
830000,1817.386,25.575,42.975,4.3,process_tree,2.01,process_tree,651.6
840000,1838.618,27.881,43.43,4.985,process_tree,2.02,process_tree,652.73
850000,1860.98,17.076,36.683,4.26,process_tree,2.02,process_tree,652.79
860000,1882.83,53.607,49.598,26.514999999999997,process_tree,2.01,process_tree,651.78
870000,1904.08,24.191,42.053,3.55,process_tree,2.02,process_tree,652.76
880000,1928.021,18.543,38.21,6.404999999999999,process_tree,2.01,process_tree,651.39
890000,1951.417,18.598,38.376,12.88,process_tree,2.01,process_tree,651.56
900000,1973.615,23.676,41.258,3.585,process_tree,2.02,process_tree,653.16
910000,1997.568,6.23,19.692,5.68,process_tree,2.01,process_tree,652.55
920000,2021.308,26.896,43.317,5.015,process_tree,2.01,process_tree,651.65
930000,2043.51,41.35,48.803,5.015,process_tree,2.01,process_tree,652.64
940000,2065.973,50.317,49.684,4.3,process_tree,2.01,process_tree,652.26
950000,2089.811,58.032,49.213,12.830000000000002,process_tree,2.01,process_tree,651.91
960000,2113.011,57.348,49.252,3.585,process_tree,2.01,process_tree,651.8
970000,2135.135,81.891,38.415,6.45,process_tree,2.01,process_tree,652.7
980000,2158.54,75.192,42.97,7.140000000000001,process_tree,2.01,process_tree,652.22
990000,2181.32,88.922,31.333,4.970000000000001,process_tree,2.01,process_tree,652.67
1000000,2203.76,100.0,0.0,7.875,process_tree,2.02,process_tree,652.87
1010000,2227.025,91.725,27.445,9.275,process_tree,2.01,process_tree,652.39
1020000,2249.075,70.565,44.717,5.015,process_tree,2.02,process_tree,654.09
1030000,2272.096,90.06,29.82,5.715000000000001,process_tree,2.02,process_tree,653.21
1040000,2295.512,57.219,48.511,11.42,process_tree,2.02,process_tree,652.79
1050000,2316.628,35.995,46.147,5.015,process_tree,2.02,process_tree,653.53
1060000,2339.992,87.785,29.601,5.015,process_tree,2.01,process_tree,652.36
1070000,2362.503,80.347,39.308,15.040000000000001,process_tree,2.02,process_tree,652.92
1080000,2384.408,75.369,41.076,2.84,process_tree,2.02,process_tree,653.72
1090000,2407.003,100.0,0.0,5.725,process_tree,2.01,process_tree,652.39
1100000,2429.381,71.475,38.004,4.3,process_tree,2.02,process_tree,653.76
1110000,2452.866,87.688,32.576,7.8549999999999995,process_tree,2.01,process_tree,652.5
1120000,2476.229,69.654,45.52,20.610000000000003,process_tree,2.01,process_tree,652.5
1130000,2497.447,57.457,49.126,5.68,process_tree,2.02,process_tree,653.44
1140000,2520.435,32.988,46.347,6.404999999999999,process_tree,2.02,process_tree,652.86
1150000,2542.105,23.657,41.455,4.26,process_tree,2.02,process_tree,653.87
1160000,2564.674,33.756,44.462,6.435,process_tree,2.01,process_tree,652.68
1170000,2586.597,24.973,42.54,5.015,process_tree,2.02,process_tree,653.64
1180000,2608.603,21.274,40.215,5.6850000000000005,process_tree,2.02,process_tree,653.11
1190000,2631.453,18.331,38.149,7.12,process_tree,2.02,process_tree,652.75
1200000,2652.861,11.726,31.496,5.680000000000001,process_tree,2.02,process_tree,654.51
1210000,2678.326,1.056,7.154,6.45,process_tree,2.02,process_tree,654.06
1220000,2704.662,0.504,0.354,9.29,process_tree,2.01,process_tree,652.18
1230000,2730.382,0.443,0.386,6.4399999999999995,process_tree,2.02,process_tree,653.06
1240000,2756.023,0.49,0.391,9.979999999999999,process_tree,2.02,process_tree,653.02
1250000,2780.922,0.522,0.413,11.87,process_tree,2.01,process_tree,652.33
1260000,2807.02,0.453,0.528,4.985,process_tree,2.01,process_tree,652.64
1270000,2831.529,0.611,0.602,10.719999999999999,process_tree,2.02,process_tree,652.98
1280000,2856.249,0.6,0.485,14.305000000000001,process_tree,2.01,process_tree,652.47
1290000,2880.15,0.83,1.557,4.975,process_tree,2.02,process_tree,652.82
1300000,2900.197,12.011,31.681,27.32,process_tree,2.02,process_tree,652.8
1310000,2922.208,9.867,28.828,4.970000000000001,process_tree,2.02,process_tree,653.88
1320000,2945.144,8.626,27.068,4.3,process_tree,2.02,process_tree,653.0
1330000,2968.711,16.042,36.037,5.015,process_tree,2.01,process_tree,652.68
