step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.5,system,
10000,18.248,1.168,0.668,12.855,process_tree,2.03,process_tree,655.96
20000,29.85,1.197,0.704,13.569999999999999,process_tree,2.04,process_tree,659.54
30000,41.329,1.372,0.91,8.559999999999999,process_tree,2.03,process_tree,658.68
40000,53.283,1.649,1.055,15.035,process_tree,2.03,process_tree,658.8
50000,68.174,2.369,1.611,13.830000000000002,process_tree,2.03,process_tree,659.0
60000,78.773,3.311,2.433,16.46,process_tree,2.03,process_tree,658.95
70000,89.254,4.222,3.489,6.445,process_tree,2.03,process_tree,659.0
80000,100.096,6.876,6.29,14.419999999999998,process_tree,2.03,process_tree,659.0
90000,111.024,9.428,8.415,5.015,process_tree,2.04,process_tree,659.22
100000,124.478,31.503,23.429,17.165,process_tree,2.03,process_tree,659.07
110000,134.832,24.632,21.202,6.404999999999999,process_tree,2.04,process_tree,660.01
120000,145.491,42.57,30.955,13.559999999999999,process_tree,2.04,process_tree,660.03
130000,155.78,35.876,32.227,20.615000000000002,process_tree,2.04,process_tree,659.82
140000,169.151,61.276,32.597,12.885,process_tree,2.04,process_tree,659.57
150000,180.25,64.55,34.792,5.015,process_tree,2.04,process_tree,659.99
160000,190.918,45.091,34.275,21.325,process_tree,2.04,process_tree,659.97
170000,201.828,28.042,27.354,6.779999999999999,process_tree,2.04,process_tree,660.37
180000,211.852,23.285,21.629,15.75,process_tree,2.04,process_tree,661.25
190000,225.047,74.492,36.549,9.955000000000002,process_tree,2.04,process_tree,660.04
200000,235.096,43.686,31.9,11.430000000000001,process_tree,2.04,process_tree,660.11
210000,244.965,76.85,37.873,27.195,process_tree,2.04,process_tree,660.42
220000,254.898,57.042,35.036,15.01,process_tree,2.04,process_tree,661.11
230000,265.564,74.97,33.265,5.015,process_tree,2.04,process_tree,661.0
240000,278.949,57.826,45.575,7.844999999999999,process_tree,2.04,process_tree,661.68
