step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.0,system,
10000,36.966,1.174,0.718,8.535,process_tree,2.02,process_tree,653.36
20000,45.355,1.175,0.681,7.140000000000001,process_tree,2.09,process_tree,676.68
30000,54.352,1.192,0.745,12.169999999999998,process_tree,2.16,process_tree,700.2
40000,63.226,1.168,0.724,19.345,process_tree,2.22,process_tree,720.46
50000,72.627,1.138,0.703,21.365000000000002,process_tree,2.29,process_tree,742.43
60000,81.062,1.23,0.787,15.005,process_tree,2.37,process_tree,766.77
70000,90.189,1.144,0.728,5.6850000000000005,process_tree,2.43,process_tree,788.54
80000,98.819,1.177,0.734,4.975,process_tree,2.5,process_tree,809.47
90000,107.724,1.116,0.643,14.915000000000001,process_tree,2.57,process_tree,831.2
100000,116.388,1.14,0.715,11.434999999999999,process_tree,2.63,process_tree,853.53
110000,125.461,1.114,0.675,6.43,process_tree,2.71,process_tree,877.15
120000,135.159,1.183,0.715,7.885000000000001,process_tree,2.78,process_tree,900.26
130000,144.373,1.222,0.671,12.85,process_tree,2.83,process_tree,915.29
140000,153.282,1.243,0.762,15.02,process_tree,2.89,process_tree,937.21
150000,162.842,1.16,0.696,23.715,process_tree,2.96,process_tree,958.45
160000,170.819,1.202,0.679,13.584999999999999,process_tree,3.03,process_tree,981.04
170000,179.306,1.235,0.699,21.355,process_tree,3.09,process_tree,1001.93
180000,187.001,1.238,0.801,11.425,process_tree,3.16,process_tree,1024.32
190000,195.294,1.194,0.696,14.319999999999999,process_tree,3.23,process_tree,1045.45
200000,202.404,1.142,0.68,8.565000000000001,process_tree,3.3,process_tree,1067.4
210000,210.143,1.152,0.702,13.584999999999999,process_tree,3.36,process_tree,1089.1
220000,218.026,1.21,0.675,10.709999999999999,process_tree,3.43,process_tree,1110.9
230000,332.738,1.234,0.81,17.785000000000004,process_tree,2.49,process_tree,806.41
240000,341.134,1.424,0.934,21.695,process_tree,2.43,process_tree,787.46
250000,348.733,1.419,0.857,10.03,process_tree,2.42,process_tree,784.98
260000,356.925,1.44,0.946,10.709999999999999,process_tree,2.43,process_tree,788.0
270000,364.309,1.477,0.954,12.135,process_tree,2.45,process_tree,793.68
280000,371.556,1.494,0.984,6.779999999999999,process_tree,2.48,process_tree,802.57
