step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,84.7,system,
10000,22.107,0.77,0.507,13.584999999999999,process_tree,1.97,process_tree,637.4
20000,35.946,0.876,0.587,4.65,process_tree,1.97,process_tree,639.29
30000,51.361,1.152,0.659,13.59,process_tree,1.97,process_tree,639.41
40000,65.585,1.285,0.708,6.409999999999999,process_tree,1.97,process_tree,639.66
50000,79.944,1.428,0.756,2.2649999999999997,process_tree,1.97,process_tree,639.49
60000,93.198,1.758,0.955,19.695,process_tree,1.98,process_tree,639.91
70000,107.963,2.235,1.255,4.295,process_tree,1.98,process_tree,640.26
80000,120.892,3.01,2.263,5.705,process_tree,1.98,process_tree,640.67
90000,134.235,4.702,3.781,3.585,process_tree,1.98,process_tree,640.79
100000,148.651,5.986,6.264,9.27,process_tree,1.98,process_tree,641.13
110000,160.883,7.45,7.969,7.135,process_tree,1.98,process_tree,641.19
120000,174.639,7.25,7.819,17.9,process_tree,1.98,process_tree,641.25
130000,187.068,8.474,7.456,11.4,process_tree,1.98,process_tree,640.87
140000,199.108,12.06,9.972,4.970000000000001,process_tree,1.98,process_tree,641.26
150000,212.912,12.6,13.386,19.32,process_tree,1.98,process_tree,641.21
160000,226.189,13.025,10.065,13.555000000000001,process_tree,1.98,process_tree,641.36
170000,239.594,18.796,16.19,13.569999999999999,process_tree,1.98,process_tree,641.37
180000,252.497,12.394,8.948,13.515,process_tree,1.98,process_tree,641.11
190000,265.249,17.491,16.738,4.970000000000001,process_tree,1.98,process_tree,641.22
200000,278.998,18.688,16.297,14.209999999999999,process_tree,1.98,process_tree,641.07
210000,291.944,14.992,9.643,15.669999999999998,process_tree,1.98,process_tree,641.45
220000,305.771,13.363,7.87,11.445,process_tree,1.98,process_tree,642.04
230000,318.876,18.508,12.373,8.545,process_tree,1.98,process_tree,642.8
240000,331.474,19.232,14.461,2.8649999999999998,process_tree,1.99,process_tree,643.0
250000,345.907,9.773,4.711,12.85,process_tree,1.99,process_tree,643.55
260000,359.274,8.71,3.652,15.015,process_tree,1.99,process_tree,643.64
270000,371.56,9.309,3.735,5.015,process_tree,1.99,process_tree,643.89
280000,385.528,10.149,3.641,4.3,process_tree,1.99,process_tree,643.81
290000,397.843,11.833,7.163,4.3,process_tree,1.99,process_tree,643.98
300000,411.158,31.217,17.918,6.45,process_tree,1.99,process_tree,643.85
310000,423.575,15.68,13.822,7.135,process_tree,1.99,process_tree,644.0
320000,437.734,9.938,3.946,5.01,process_tree,1.99,process_tree,643.64
330000,450.257,11.384,4.157,9.955,process_tree,1.99,process_tree,643.92
340000,462.611,7.758,4.157,5.015,process_tree,1.99,process_tree,644.33
350000,476.579,8.261,4.106,22.81,process_tree,1.99,process_tree,643.88
360000,489.712,9.404,3.793,3.585,process_tree,1.99,process_tree,643.86
370000,503.885,8.465,2.677,5.715000000000001,process_tree,1.99,process_tree,644.21
380000,516.565,9.27,2.029,7.154999999999999,process_tree,1.99,process_tree,644.0
390000,528.744,8.246,2.089,2.84,process_tree,1.99,process_tree,644.01
400000,542.834,8.908,2.53,23.494999999999997,process_tree,1.99,process_tree,644.15
410000,556.05,8.766,2.307,2.15,process_tree,1.99,process_tree,643.91
420000,570.1,10.031,2.022,22.195,process_tree,1.99,process_tree,643.96
430000,582.86,11.325,1.935,13.605,process_tree,1.99,process_tree,643.72
440000,595.527,11.134,1.935,5.88,process_tree,1.99,process_tree,644.12
450000,609.497,10.806,2.28,7.859999999999999,process_tree,1.99,process_tree,644.35
460000,621.954,12.036,2.755,7.1450000000000005,process_tree,1.99,process_tree,644.29
470000,635.572,9.796,2.966,5.705,process_tree,1.99,process_tree,644.32
480000,648.428,7.627,2.51,26.49,process_tree,1.99,process_tree,644.31
490000,661.265,8.293,2.72,3.585,process_tree,1.99,process_tree,644.18
500000,675.112,8.903,2.599,15.044999999999998,process_tree,2.01,process_tree,650.32
510000,687.994,7.705,2.46,21.48,process_tree,2.02,process_tree,653.0
520000,700.945,7.039,1.893,5.015,process_tree,2.02,process_tree,654.05
530000,714.85,7.541,2.348,6.445,process_tree,2.02,process_tree,654.57
540000,727.119,8.417,2.627,8.6,process_tree,2.02,process_tree,654.37
550000,740.627,9.177,2.717,12.084999999999999,process_tree,2.02,process_tree,654.39
560000,752.788,10.356,2.796,19.305,process_tree,2.02,process_tree,654.37
570000,766.863,11.065,2.528,9.235,process_tree,2.02,process_tree,654.46
580000,780.001,10.718,1.934,11.385,process_tree,2.02,process_tree,654.57
590000,792.405,10.651,2.114,4.995,process_tree,2.02,process_tree,654.29
600000,805.711,10.685,1.836,11.415000000000001,process_tree,2.02,process_tree,654.29
610000,818.255,10.167,1.511,5.715000000000001,process_tree,2.02,process_tree,654.67
620000,831.719,9.029,1.402,7.85,process_tree,2.02,process_tree,654.68
630000,844.127,9.28,1.551,29.3,process_tree,2.02,process_tree,654.84
640000,856.7,10.921,1.753,2.8649999999999998,process_tree,2.02,process_tree,654.76
650000,870.284,11.832,2.003,12.115,process_tree,2.02,process_tree,654.5
660000,882.479,13.272,2.554,7.15,process_tree,2.02,process_tree,654.62
670000,896.838,12.59,2.51,7.12,process_tree,2.02,process_tree,654.75
680000,909.692,12.084,2.531,11.45,process_tree,2.02,process_tree,654.76
690000,922.02,10.96,2.442,5.015,process_tree,2.02,process_tree,654.88
700000,935.184,12.728,2.572,12.15,process_tree,2.02,process_tree,655.14
710000,947.315,14.579,3.048,4.2,process_tree,2.02,process_tree,654.96
720000,960.631,18.134,3.5,15.755,process_tree,2.02,process_tree,654.85
730000,973.726,19.46,3.735,17.195,process_tree,2.02,process_tree,654.8
740000,986.273,18.437,3.617,3.585,process_tree,2.02,process_tree,655.09
750000,999.726,17.162,3.039,14.334999999999999,process_tree,2.02,process_tree,655.0
760000,1012.444,18.498,4.127,10.694999999999999,process_tree,2.02,process_tree,654.88
770000,1024.823,19.049,4.597,4.3,process_tree,2.02,process_tree,655.21
780000,1038.055,21.862,3.969,23.619999999999997,process_tree,2.02,process_tree,655.12
790000,1049.956,26.683,4.696,4.970000000000001,process_tree,2.02,process_tree,655.07
800000,1064.074,28.136,6.357,12.115,process_tree,2.02,process_tree,655.36
810000,1076.318,29.009,5.859,8.584999999999999,process_tree,2.02,process_tree,655.17
820000,1088.731,25.926,4.592,5.015,process_tree,2.02,process_tree,655.43
830000,1102.736,30.631,5.937,20.05,process_tree,2.02,process_tree,655.13
840000,1114.688,30.486,5.588,5.715000000000001,process_tree,2.02,process_tree,655.51
850000,1128.004,29.116,6.154,6.409999999999999,process_tree,2.02,process_tree,655.54
860000,1140.016,25.0,5.244,9.3,process_tree,2.02,process_tree,655.57
870000,1152.681,21.13,4.042,3.585,process_tree,2.02,process_tree,655.55
880000,1165.89,22.374,3.693,6.215,process_tree,2.02,process_tree,655.31
890000,1177.837,17.258,4.838,13.535,process_tree,2.02,process_tree,655.42
900000,1191.711,15.124,3.189,11.42,process_tree,2.02,process_tree,655.28
910000,1204.366,15.512,2.948,15.75,process_tree,2.02,process_tree,655.64
920000,1216.403,14.764,3.082,1.435,process_tree,2.02,process_tree,655.36
930000,1230.171,15.041,3.102,6.404999999999999,process_tree,2.02,process_tree,655.69
940000,1243.007,14.234,2.651,4.3,process_tree,2.02,process_tree,655.44
950000,1256.352,14.517,4.085,7.159999999999999,process_tree,2.02,process_tree,655.27
960000,1268.982,14.318,2.461,15.755,process_tree,2.02,process_tree,655.75
970000,1281.723,14.169,3.408,5.015,process_tree,2.02,process_tree,655.68
980000,1295.642,15.685,3.735,8.6,process_tree,2.02,process_tree,655.55
990000,1308.318,16.164,3.306,11.41,process_tree,2.02,process_tree,655.58
1000000,1322.116,14.951,3.075,9.235,process_tree,2.02,process_tree,655.91
1010000,1334.879,13.346,3.24,8.545,process_tree,2.02,process_tree,655.86
1020000,1346.765,13.06,3.01,3.585,process_tree,2.02,process_tree,655.71
1030000,1360.636,14.057,2.717,17.18,process_tree,2.02,process_tree,655.67
1040000,1372.651,13.978,2.442,2.8649999999999998,process_tree,2.02,process_tree,655.49
1050000,1386.8,15.263,2.287,10.004999999999999,process_tree,2.02,process_tree,655.76
1060000,1399.351,14.065,2.699,17.869999999999997,process_tree,2.02,process_tree,655.66
1070000,1413.076,14.12,2.696,9.32,process_tree,2.02,process_tree,655.78
1080000,1424.222,16.131,2.822,7.865,process_tree,2.02,process_tree,655.76
1090000,1435.523,13.668,3.387,3.585,process_tree,2.02,process_tree,655.59
1100000,1448.085,13.606,2.665,7.140000000000001,process_tree,2.02,process_tree,655.83
1110000,1459.446,13.543,2.47,4.275,process_tree,2.02,process_tree,655.58
1120000,1471.231,15.369,2.539,4.3,process_tree,2.02,process_tree,655.85
1130000,1485.41,16.432,2.926,9.98,process_tree,2.02,process_tree,655.67
1140000,1496.87,15.742,2.545,2.8649999999999998,process_tree,2.02,process_tree,655.5
1150000,1509.573,15.768,2.63,14.865,process_tree,2.02,process_tree,655.55
1160000,1521.371,15.935,3.099,22.185,process_tree,2.02,process_tree,655.64
1170000,1532.973,14.492,2.503,4.970000000000001,process_tree,2.02,process_tree,655.93
1180000,1545.827,14.485,2.767,13.434999999999999,process_tree,2.02,process_tree,655.74
1190000,1557.456,14.383,2.614,2.8649999999999998,process_tree,2.02,process_tree,655.56
1200000,1570.406,14.915,2.863,9.99,process_tree,2.02,process_tree,655.56
1210000,1581.801,14.641,3.291,10.725,process_tree,2.02,process_tree,655.43
1220000,1593.462,15.155,2.908,4.970000000000001,process_tree,2.02,process_tree,655.53
1230000,1607.24,14.848,3.694,7.140000000000001,process_tree,2.02,process_tree,655.73
1240000,1619.122,15.983,2.943,3.55,process_tree,2.02,process_tree,655.38
1250000,1631.816,16.056,3.13,17.075,process_tree,2.02,process_tree,655.54
1260000,1643.81,18.24,3.442,14.325,process_tree,2.02,process_tree,655.74
1270000,1655.338,18.033,4.807,4.970000000000001,process_tree,2.02,process_tree,655.62
1280000,1667.585,17.104,4.523,5.705,process_tree,2.02,process_tree,655.9
