step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,85.6,system,
10000,23.576,1.301,0.791,11.379999999999999,process_tree,1.97,process_tree,637.71
20000,37.766,2.687,1.847,4.3,process_tree,1.98,process_tree,640.49
30000,53.406,4.767,4.235,5.015,process_tree,1.98,process_tree,642.86
40000,68.65,9.741,10.331,3.585,process_tree,1.99,process_tree,644.18
50000,84.194,26.0,23.224,4.3,process_tree,1.99,process_tree,644.73
60000,98.679,70.96,40.611,7.1,process_tree,1.99,process_tree,644.5
70000,113.741,90.5,26.87,22.785,process_tree,1.99,process_tree,645.06
80000,128.224,100.0,0.0,7.42,process_tree,1.99,process_tree,645.29
90000,144.071,88.517,28.519,4.3,process_tree,1.99,process_tree,645.84
100000,158.87,100.0,0.0,19.215,process_tree,1.99,process_tree,645.34
110000,172.309,100.0,0.0,4.26,process_tree,1.99,process_tree,645.09
120000,186.646,94.891,16.156,6.43,process_tree,1.99,process_tree,644.47
130000,201.208,88.67,29.734,17.905,process_tree,1.99,process_tree,645.19
140000,214.437,100.0,0.0,4.26,process_tree,1.99,process_tree,645.59
150000,228.915,100.0,0.0,14.25,process_tree,1.99,process_tree,645.78
160000,243.642,75.843,34.835,15.76,process_tree,1.99,process_tree,645.42
170000,257.004,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,645.66
180000,271.473,90.936,28.662,14.319999999999999,process_tree,1.99,process_tree,645.66
190000,284.204,100.0,0.0,4.26,process_tree,1.99,process_tree,645.29
200000,298.378,100.0,0.0,4.26,process_tree,1.99,process_tree,646.12
210000,313.178,100.0,0.0,15.005,process_tree,1.99,process_tree,645.93
220000,327.288,100.0,0.0,10.02,process_tree,1.99,process_tree,645.93
230000,340.63,84.808,35.63,5.82,process_tree,2.0,process_tree,646.43
240000,353.921,100.0,0.0,13.544999999999998,process_tree,2.0,process_tree,646.32
250000,366.766,70.31,45.354,4.3,process_tree,1.99,process_tree,645.92
260000,380.684,100.0,0.0,4.3,process_tree,2.0,process_tree,646.38
270000,394.771,84.669,35.954,6.4350000000000005,process_tree,1.99,process_tree,645.59
280000,407.636,100.0,0.0,4.26,process_tree,1.99,process_tree,645.7
290000,421.472,92.323,26.594,5.04,process_tree,1.99,process_tree,646.15
300000,435.367,100.0,0.0,31.294999999999998,process_tree,1.99,process_tree,646.12
310000,448.45,66.8,42.434,4.3,process_tree,1.99,process_tree,645.84
320000,462.672,100.0,0.0,4.3,process_tree,1.99,process_tree,646.16
330000,477.23,92.323,26.594,10.015,process_tree,1.99,process_tree,645.77
340000,490.002,100.0,0.0,4.970000000000001,process_tree,1.99,process_tree,645.65
350000,503.529,100.0,0.0,6.720000000000001,process_tree,1.99,process_tree,645.79
360000,517.835,83.467,36.97,10.67,process_tree,1.99,process_tree,645.85
370000,531.064,78.011,41.137,4.3,process_tree,2.0,process_tree,646.27
380000,545.264,100.0,0.0,6.415000000000001,process_tree,2.0,process_tree,646.27
390000,560.018,80.153,39.695,10.719999999999999,process_tree,1.99,process_tree,645.63
400000,572.611,100.0,0.0,4.3,process_tree,1.99,process_tree,645.67
410000,586.558,98.509,4.715,16.445,process_tree,1.99,process_tree,645.71
420000,601.028,100.0,0.0,11.440000000000001,process_tree,1.99,process_tree,645.92
430000,613.827,100.0,0.0,5.015,process_tree,1.99,process_tree,645.14
440000,627.969,90.18,29.46,6.415000000000001,process_tree,2.0,process_tree,646.28
450000,641.371,92.362,26.46,5.735,process_tree,1.99,process_tree,646.03
460000,655.073,100.0,0.0,24.895,process_tree,1.99,process_tree,645.85
470000,669.484,75.733,40.911,5.725,process_tree,2.0,process_tree,646.33
480000,683.056,81.882,38.434,4.985,process_tree,1.99,process_tree,645.93
490000,696.798,83.873,34.514,9.27,process_tree,1.99,process_tree,645.81
500000,710.836,86.589,31.231,16.34,process_tree,2.02,process_tree,654.22
510000,724.525,100.0,0.0,4.3,process_tree,2.02,process_tree,655.88
520000,738.407,100.0,0.0,7.860000000000001,process_tree,2.02,process_tree,655.88
530000,752.604,77.062,41.88,5.725,process_tree,2.03,process_tree,656.16
540000,766.482,67.638,42.617,4.3,process_tree,2.03,process_tree,656.37
550000,779.57,97.07,8.79,12.165000000000001,process_tree,2.03,process_tree,656.95
560000,793.91,90.936,28.662,12.125,process_tree,2.03,process_tree,656.62
570000,807.154,91.683,27.583,5.735,process_tree,2.03,process_tree,656.83
580000,820.921,91.733,27.417,14.285,process_tree,2.03,process_tree,656.75
590000,836.012,100.0,0.0,5.85,process_tree,2.03,process_tree,656.92
600000,849.623,75.192,42.97,4.26,process_tree,2.03,process_tree,657.2
610000,864.157,100.0,0.0,19.3,process_tree,2.03,process_tree,656.89
620000,878.786,83.3,30.971,9.275,process_tree,2.03,process_tree,657.12
630000,892.656,84.638,36.026,4.3,process_tree,2.03,process_tree,656.59
640000,906.838,92.438,26.194,16.36,process_tree,2.03,process_tree,657.26
650000,920.567,82.827,36.485,5.68,process_tree,2.03,process_tree,657.71
660000,934.639,100.0,0.0,11.445,process_tree,2.03,process_tree,657.47
670000,948.775,100.0,0.0,9.28,process_tree,2.03,process_tree,657.46
680000,962.838,100.0,0.0,5.015,process_tree,2.03,process_tree,657.19
690000,977.686,92.346,26.514,9.29,process_tree,2.03,process_tree,656.65
700000,991.847,100.0,0.0,7.15,process_tree,2.03,process_tree,656.99
710000,1005.443,100.0,0.0,4.3,process_tree,2.03,process_tree,657.19
720000,1019.348,96.45,10.65,7.159999999999999,process_tree,2.03,process_tree,657.47
730000,1033.346,80.19,39.621,7.815,process_tree,2.03,process_tree,657.09
740000,1047.762,100.0,0.0,4.26,process_tree,2.03,process_tree,657.27
750000,1062.122,100.0,0.0,10.719999999999999,process_tree,2.03,process_tree,657.01
760000,1076.079,100.0,0.0,4.970000000000001,process_tree,2.03,process_tree,657.64
