step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,86.6,system,
10000,17.878,1.281,0.79,18.185000000000002,process_tree,1.96,process_tree,635.03
20000,30.303,1.575,0.996,17.355,process_tree,1.97,process_tree,637.48
30000,41.868,2.364,1.601,22.73,process_tree,1.97,process_tree,637.66
40000,54.177,3.359,2.417,10.705,process_tree,1.97,process_tree,638.88
50000,65.313,5.21,4.512,22.185,process_tree,1.97,process_tree,639.47
60000,76.423,6.009,5.962,11.42,process_tree,1.97,process_tree,639.42
70000,87.698,6.732,6.415,9.309999999999999,process_tree,1.97,process_tree,639.6
80000,98.97,12.13,11.035,4.925,process_tree,1.98,process_tree,639.94
90000,109.772,16.253,17.548,7.87,process_tree,1.98,process_tree,639.86
100000,120.402,24.632,27.838,18.05,process_tree,1.98,process_tree,639.95
110000,131.104,26.968,22.592,5.7,process_tree,1.98,process_tree,640.25
120000,142.564,25.414,17.519,11.6,process_tree,1.98,process_tree,640.86
130000,153.026,21.717,21.11,15.675,process_tree,1.98,process_tree,640.77
140000,163.533,40.386,24.97,8.57,process_tree,1.98,process_tree,640.54
150000,175.056,34.511,31.226,16.44,process_tree,1.98,process_tree,640.62
160000,185.835,84.51,31.19,19.235,process_tree,1.98,process_tree,640.5
170000,196.111,43.378,35.417,19.869999999999997,process_tree,1.98,process_tree,640.63
180000,206.772,89.154,26.135,23.634999999999998,process_tree,1.98,process_tree,640.86
190000,217.765,60.858,43.45,20.04,process_tree,1.98,process_tree,641.33
200000,228.187,48.884,40.533,19.305,process_tree,1.98,process_tree,640.88
210000,239.057,34.453,32.595,24.354999999999997,process_tree,1.98,process_tree,640.86
220000,250.082,31.135,26.677,6.45,process_tree,1.98,process_tree,640.94
230000,261.171,26.083,23.893,22.775,process_tree,1.98,process_tree,641.36
240000,271.324,24.738,17.942,23.490000000000002,process_tree,1.98,process_tree,641.01
250000,282.478,21.544,22.688,14.334999999999999,process_tree,1.98,process_tree,641.17
260000,293.818,11.311,7.742,6.44,process_tree,1.98,process_tree,640.93
270000,304.519,26.179,23.205,8.024999999999999,process_tree,1.98,process_tree,641.73
280000,315.686,33.569,25.944,19.31,process_tree,1.98,process_tree,641.58
290000,326.526,21.84,18.824,20.675,process_tree,1.98,process_tree,641.93
300000,337.543,26.776,14.858,16.395,process_tree,1.98,process_tree,642.04
310000,348.307,20.618,9.301,10.75,process_tree,1.98,process_tree,642.09
320000,358.815,23.182,12.136,17.905,process_tree,1.98,process_tree,642.46
330000,369.758,25.773,21.078,11.455000000000002,process_tree,1.98,process_tree,642.49
340000,380.495,26.071,24.619,19.330000000000002,process_tree,1.98,process_tree,642.74
350000,391.344,24.659,22.91,9.995,process_tree,1.98,process_tree,642.52
360000,401.696,41.08,25.379,8.595,process_tree,1.98,process_tree,642.88
370000,412.718,42.533,19.672,7.12,process_tree,1.98,process_tree,642.51
380000,423.622,40.543,25.137,12.175,process_tree,1.98,process_tree,642.61
390000,434.281,37.433,12.336,21.35,process_tree,1.98,process_tree,642.8
400000,445.173,28.516,19.401,10.705000000000002,process_tree,1.98,process_tree,642.56
410000,456.99,32.709,19.689,15.0,process_tree,1.98,process_tree,642.43
420000,466.687,76.0,30.899,5.015,process_tree,1.98,process_tree,642.75
430000,478.468,76.0,32.742,6.415000000000001,process_tree,1.98,process_tree,642.48
440000,487.874,81.275,28.923,4.970000000000001,process_tree,1.98,process_tree,642.63
450000,499.457,68.831,38.073,5.015,process_tree,1.98,process_tree,642.69
460000,509.755,100.0,0.0,4.26,process_tree,1.98,process_tree,642.65
470000,520.737,83.015,31.596,5.015,process_tree,1.98,process_tree,642.63
480000,531.856,100.0,0.0,6.45,process_tree,1.98,process_tree,642.72
490000,542.253,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,642.88
500000,553.25,100.0,0.0,0.71,process_tree,2.01,process_tree,650.23
510000,564.438,100.0,0.0,5.015,process_tree,2.01,process_tree,652.0
520000,575.151,100.0,0.0,5.015,process_tree,2.01,process_tree,652.71
