step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,91.3,system,
10000,28.628,1.583,1.05,7.12,process_tree,1.96,process_tree,634.11
20000,50.092,4.85,5.568,15.030000000000001,process_tree,1.97,process_tree,638.79
30000,71.838,56.54,37.099,5.720000000000001,process_tree,1.97,process_tree,639.69
40000,92.952,55.543,44.006,18.479999999999997,process_tree,1.97,process_tree,639.75
50000,114.819,95.0,15.811,8.535,process_tree,1.98,process_tree,639.81
60000,136.132,100.0,0.0,5.725,process_tree,1.98,process_tree,639.95
70000,156.373,95.217,15.865,9.28,process_tree,1.98,process_tree,639.91
80000,177.877,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,640.0
90000,197.471,90.509,28.468,5.015,process_tree,1.98,process_tree,639.88
100000,218.766,89.313,28.276,5.735,process_tree,1.98,process_tree,640.32
110000,239.373,91.875,26.948,4.970000000000001,process_tree,1.98,process_tree,640.25
120000,260.126,91.145,28.001,5.015,process_tree,1.98,process_tree,640.51
130000,279.637,100.0,0.0,12.885000000000002,process_tree,1.98,process_tree,640.25
140000,300.817,73.56,43.847,4.970000000000001,process_tree,1.98,process_tree,641.06
150000,320.562,90.18,29.46,5.735,process_tree,1.98,process_tree,641.06
160000,341.33,89.067,30.924,11.379999999999999,process_tree,1.98,process_tree,641.18
170000,362.079,78.829,40.541,5.01,process_tree,1.98,process_tree,641.43
180000,383.256,100.0,0.0,6.435,process_tree,1.98,process_tree,641.47
190000,403.275,100.0,0.0,24.905,process_tree,1.98,process_tree,640.99
200000,424.516,83.715,35.113,4.3,process_tree,1.98,process_tree,641.08
210000,444.754,100.0,0.0,16.455000000000002,process_tree,1.98,process_tree,641.27
220000,465.638,100.0,0.0,22.905,process_tree,1.98,process_tree,641.21
230000,486.03,92.392,26.354,5.735,process_tree,1.98,process_tree,640.84
240000,506.693,100.0,0.0,6.415000000000001,process_tree,1.98,process_tree,641.07
250000,526.999,100.0,0.0,18.595,process_tree,1.98,process_tree,641.37
260000,548.789,100.0,0.0,3.585,process_tree,1.98,process_tree,641.37
270000,568.977,100.0,0.0,5.720000000000001,process_tree,1.98,process_tree,641.4
280000,589.818,100.0,0.0,10.655,process_tree,1.98,process_tree,641.22
