step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,87.1,system,
10000,22.872,1.222,0.797,5.015,process_tree,1.96,process_tree,635.34
20000,38.324,2.205,1.572,4.3,process_tree,1.97,process_tree,637.61
30000,54.197,3.961,3.342,5.015,process_tree,1.97,process_tree,638.73
40000,68.77,9.71,10.301,4.3,process_tree,1.98,process_tree,639.76
50000,83.541,19.497,19.194,16.475,process_tree,1.97,process_tree,639.61
60000,98.251,96.527,10.982,11.41,process_tree,1.98,process_tree,640.75
70000,112.289,100.0,0.0,16.46,process_tree,1.98,process_tree,640.63
80000,126.722,100.0,0.0,7.1450000000000005,process_tree,1.98,process_tree,640.63
90000,140.205,100.0,0.0,5.015,process_tree,1.98,process_tree,639.82
100000,154.335,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,639.83
110000,169.965,100.0,0.0,4.26,process_tree,1.98,process_tree,640.92
120000,183.668,100.0,0.0,18.425,process_tree,1.98,process_tree,641.02
130000,196.986,64.806,47.653,4.26,process_tree,1.98,process_tree,639.84
140000,211.675,88.911,31.364,5.015,process_tree,1.98,process_tree,640.11
150000,226.49,87.538,32.973,4.3,process_tree,1.98,process_tree,639.84
160000,241.106,100.0,0.0,5.68,process_tree,1.98,process_tree,639.84
170000,256.131,100.0,0.0,5.6850000000000005,process_tree,1.98,process_tree,639.84
180000,270.958,91.692,27.556,2.84,process_tree,1.98,process_tree,640.02
190000,285.071,100.0,0.0,5.015,process_tree,1.98,process_tree,639.83
200000,299.724,100.0,0.0,12.184999999999999,process_tree,1.98,process_tree,640.31
210000,314.199,89.556,21.417,5.82,process_tree,1.98,process_tree,640.75
220000,329.385,100.0,0.0,5.015,process_tree,1.98,process_tree,640.77
230000,344.113,100.0,0.0,4.3,process_tree,1.98,process_tree,640.83
240000,358.737,91.692,27.556,4.970000000000001,process_tree,1.98,process_tree,640.63
250000,373.323,77.038,41.922,3.55,process_tree,1.98,process_tree,640.65
260000,388.266,100.0,0.0,5.015,process_tree,1.98,process_tree,640.65
270000,402.262,100.0,0.0,5.015,process_tree,1.98,process_tree,640.5
280000,416.874,100.0,0.0,4.3,process_tree,1.98,process_tree,640.8
290000,430.889,83.408,37.1,3.75,process_tree,1.98,process_tree,640.56
300000,445.165,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,640.54
310000,459.667,100.0,0.0,2.84,process_tree,1.98,process_tree,640.57
320000,473.663,88.956,31.238,4.26,process_tree,1.98,process_tree,640.55
330000,487.911,100.0,0.0,6.39,process_tree,1.98,process_tree,640.68
340000,502.318,100.0,0.0,3.585,process_tree,1.98,process_tree,640.69
350000,516.755,100.0,0.0,5.015,process_tree,1.98,process_tree,640.7
360000,531.136,100.0,0.0,5.015,process_tree,1.98,process_tree,640.77
370000,545.892,91.675,27.611,5.015,process_tree,1.98,process_tree,640.82
380000,560.045,100.0,0.0,5.68,process_tree,1.98,process_tree,640.77
390000,574.613,100.0,0.0,5.680000000000001,process_tree,1.98,process_tree,640.77
400000,589.859,84.746,35.774,4.3,process_tree,1.98,process_tree,641.01
410000,604.034,100.0,0.0,6.395,process_tree,1.98,process_tree,641.18
420000,617.798,100.0,0.0,4.3,process_tree,1.98,process_tree,641.21
430000,632.798,100.0,0.0,7.4799999999999995,process_tree,1.98,process_tree,641.17
440000,647.359,100.0,0.0,3.585,process_tree,1.98,process_tree,641.21
450000,661.712,81.864,38.473,4.970000000000001,process_tree,1.98,process_tree,640.91
460000,676.859,84.646,36.008,4.3,process_tree,1.98,process_tree,640.8
470000,690.076,73.507,43.935,5.015,process_tree,1.98,process_tree,640.96
480000,703.287,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,640.86
490000,718.637,100.0,0.0,5.735,process_tree,1.98,process_tree,640.83
500000,732.713,100.0,0.0,4.26,process_tree,2.0,process_tree,649.31
510000,746.949,100.0,0.0,4.970000000000001,process_tree,2.01,process_tree,650.51
520000,762.506,91.683,27.583,5.015,process_tree,2.01,process_tree,651.0
530000,776.31,100.0,0.0,5.015,process_tree,2.01,process_tree,651.03
540000,790.551,83.383,37.156,3.585,process_tree,2.01,process_tree,651.04
550000,805.741,100.0,0.0,4.375,process_tree,2.01,process_tree,650.88
560000,820.429,100.0,0.0,2.15,process_tree,2.01,process_tree,650.88
570000,834.86,100.0,0.0,4.970000000000001,process_tree,2.01,process_tree,650.85
580000,850.802,84.646,36.008,4.3,process_tree,2.01,process_tree,651.14
590000,864.995,100.0,0.0,2.84,process_tree,2.01,process_tree,651.08
600000,879.446,100.0,0.0,5.015,process_tree,2.01,process_tree,651.98
610000,894.662,100.0,0.0,5.735,process_tree,2.01,process_tree,651.06
620000,908.903,80.06,39.88,4.3,process_tree,2.01,process_tree,651.3
630000,923.225,100.0,0.0,3.55,process_tree,2.01,process_tree,651.07
640000,938.483,91.7,27.528,3.55,process_tree,2.01,process_tree,651.62
650000,952.725,100.0,0.0,5.015,process_tree,2.01,process_tree,651.22
660000,967.528,100.0,0.0,5.7299999999999995,process_tree,2.01,process_tree,651.99
670000,982.52,100.0,0.0,4.3,process_tree,2.01,process_tree,651.32
680000,997.039,100.0,0.0,4.970000000000001,process_tree,2.01,process_tree,651.29
690000,1011.962,100.0,0.0,4.26,process_tree,2.01,process_tree,651.3
