step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,89.3,system,
10000,30.442,1.236,0.781,9.99,process_tree,2.01,process_tree,650.9
20000,38.91,1.23,0.794,12.15,process_tree,2.08,process_tree,675.13
30000,48.322,1.22,0.696,19.31,process_tree,2.16,process_tree,698.75
40000,56.75,1.2,0.691,17.110000000000003,process_tree,2.22,process_tree,719.26
50000,64.576,1.236,0.782,15.739999999999998,process_tree,2.29,process_tree,742.09
60000,73.389,1.22,0.728,17.869999999999997,process_tree,2.35,process_tree,762.39
70000,82.602,1.177,0.715,10.01,process_tree,2.43,process_tree,787.96
80000,91.235,1.275,0.789,12.88,process_tree,2.5,process_tree,809.38
90000,99.788,1.241,0.803,6.425,process_tree,2.57,process_tree,831.67
100000,108.529,1.183,0.718,11.45,process_tree,2.64,process_tree,854.96
110000,117.178,1.24,0.74,8.735,process_tree,2.69,process_tree,871.25
120000,125.185,1.237,0.718,15.725,process_tree,2.76,process_tree,893.74
130000,133.822,1.204,0.727,9.309999999999999,process_tree,2.82,process_tree,913.8
140000,142.15,1.209,0.672,9.309999999999999,process_tree,2.89,process_tree,935.66
150000,150.001,1.268,0.761,5.7299999999999995,process_tree,2.96,process_tree,957.23
160000,157.722,1.273,0.73,7.12,process_tree,3.02,process_tree,978.64
170000,166.85,1.193,0.745,16.355,process_tree,3.09,process_tree,1000.18
180000,174.026,1.164,0.612,17.185,process_tree,3.15,process_tree,1021.99
190000,182.623,1.216,0.716,17.935,process_tree,3.22,process_tree,1043.3
200000,190.088,1.203,0.746,7.8549999999999995,process_tree,3.29,process_tree,1064.96
210000,197.787,1.224,0.792,13.584999999999999,process_tree,3.36,process_tree,1086.97
220000,205.881,1.242,0.77,19.94,process_tree,3.42,process_tree,1107.91
230000,212.796,1.225,0.706,8.58,process_tree,3.49,process_tree,1130.46
240000,219.968,1.184,0.725,4.970000000000001,process_tree,3.56,process_tree,1151.84
250000,227.684,1.174,0.685,19.330000000000002,process_tree,3.62,process_tree,1173.07
260000,234.511,1.245,0.762,11.42,process_tree,3.69,process_tree,1195.13
270000,242.447,1.197,0.745,8.55,process_tree,3.76,process_tree,1216.88
280000,249.585,1.189,0.766,7.154999999999999,process_tree,3.82,process_tree,1238.43
290000,256.965,1.17,0.683,13.514999999999997,process_tree,3.89,process_tree,1260.42
300000,264.051,1.228,0.705,7.165000000000001,process_tree,3.96,process_tree,1281.95
310000,272.135,1.295,0.865,14.255,process_tree,4.02,process_tree,1303.41
