step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,55.6,system,
10000,17.592,1.081,0.661,30.085,process_tree,1.97,process_tree,638.52
20000,30.708,1.334,0.848,23.61,process_tree,1.98,process_tree,640.4
30000,42.967,1.61,0.902,4.3,process_tree,1.98,process_tree,640.59
40000,53.892,1.902,1.094,12.775,process_tree,1.98,process_tree,640.92
50000,65.956,2.328,1.366,25.055,process_tree,1.98,process_tree,640.75
60000,76.617,2.653,1.332,4.26,process_tree,1.98,process_tree,640.77
70000,90.505,3.147,2.197,31.52,process_tree,1.98,process_tree,640.9
80000,105.907,3.488,2.496,13.580000000000002,process_tree,1.98,process_tree,641.18
90000,119.119,3.908,2.929,23.630000000000003,process_tree,1.98,process_tree,641.39
100000,132.387,4.003,3.325,5.015,process_tree,1.98,process_tree,641.52
110000,149.77,4.993,4.566,6.435,process_tree,1.98,process_tree,641.76
120000,171.051,5.483,4.431,16.380000000000003,process_tree,1.98,process_tree,642.13
130000,192.538,7.08,7.072,6.565,process_tree,1.98,process_tree,642.1
140000,214.953,6.836,7.217,13.995,process_tree,1.98,process_tree,642.13
150000,237.307,9.094,9.616,20.655,process_tree,1.99,process_tree,643.13
160000,248.491,11.983,12.85,17.18,process_tree,1.99,process_tree,643.64
170000,262.017,12.707,14.18,10.86,process_tree,1.99,process_tree,644.57
180000,283.036,15.795,15.818,5.695,process_tree,1.99,process_tree,644.23
190000,303.575,11.743,9.553,7.1450000000000005,process_tree,1.99,process_tree,645.27
200000,324.669,10.746,10.578,5.015,process_tree,1.99,process_tree,644.7
210000,353.775,11.44,10.398,13.569999999999999,process_tree,1.99,process_tree,644.88
220000,375.247,12.101,10.699,27.05,process_tree,1.99,process_tree,644.8
230000,396.204,10.321,8.908,10.73,process_tree,1.99,process_tree,645.2
240000,416.659,15.646,10.5,2.8649999999999998,process_tree,1.99,process_tree,645.35
250000,435.63,58.653,37.529,5.015,process_tree,1.99,process_tree,644.71
260000,459.49,91.445,27.052,8.584999999999999,process_tree,1.99,process_tree,645.17
270000,479.757,95.464,14.345,11.42,process_tree,1.99,process_tree,645.29
280000,500.755,65.558,36.555,19.240000000000002,process_tree,1.99,process_tree,645.5
290000,523.003,94.1,17.7,7.15,process_tree,1.99,process_tree,644.77
300000,545.499,95.53,13.41,17.82,process_tree,1.99,process_tree,645.31
310000,566.95,79.908,37.15,17.875,process_tree,1.99,process_tree,645.2
320000,590.869,74.454,40.222,8.11,process_tree,1.99,process_tree,645.65
330000,613.111,93.092,22.912,24.335,process_tree,1.99,process_tree,645.94
340000,634.979,84.846,35.539,8.535,process_tree,1.99,process_tree,645.98
350000,656.75,97.644,6.663,12.17,process_tree,1.99,process_tree,646.07
360000,678.56,93.678,17.882,22.854999999999997,process_tree,1.99,process_tree,645.89
370000,702.039,100.0,0.0,4.295,process_tree,2.0,process_tree,646.52
380000,723.558,94.909,16.099,7.12,process_tree,2.0,process_tree,646.25
390000,745.395,43.858,37.432,5.7,process_tree,1.99,process_tree,646.08
400000,767.534,71.494,30.008,12.17,process_tree,2.0,process_tree,646.25
410000,790.144,94.1,16.688,16.435,process_tree,2.0,process_tree,646.43
420000,812.513,82.933,33.615,6.535000000000001,process_tree,2.0,process_tree,646.39
430000,834.243,97.61,7.17,5.725,process_tree,2.0,process_tree,646.52
440000,857.827,100.0,0.0,27.195,process_tree,2.0,process_tree,646.91
450000,880.29,87.22,24.322,15.755,process_tree,2.0,process_tree,646.47
460000,902.684,38.29,20.558,4.970000000000001,process_tree,2.0,process_tree,646.49
470000,925.174,77.367,36.072,5.725,process_tree,1.99,process_tree,646.23
480000,947.316,93.033,23.106,4.995,process_tree,2.0,process_tree,646.93
490000,969.683,64.1,32.888,5.015,process_tree,2.0,process_tree,646.76
500000,991.047,78.692,23.343,5.015,process_tree,2.02,process_tree,655.02
510000,1014.593,87.4,31.142,4.970000000000001,process_tree,2.03,process_tree,657.5
520000,1035.765,98.678,3.74,4.970000000000001,process_tree,2.03,process_tree,656.76
530000,1057.647,77.2,35.801,4.970000000000001,process_tree,2.03,process_tree,657.33
540000,1084.68,91.79,18.709,9.295,process_tree,2.03,process_tree,657.09
550000,1094.776,91.075,27.167,30.060000000000002,process_tree,2.03,process_tree,658.21
560000,1104.814,79.06,32.765,10.7,process_tree,2.03,process_tree,657.36
570000,1115.431,82.885,35.593,22.005000000000003,process_tree,2.03,process_tree,658.26
580000,1125.767,92.844,20.239,17.09,process_tree,2.03,process_tree,658.25
590000,1135.643,82.879,35.124,12.830000000000002,process_tree,2.03,process_tree,658.0
600000,1145.977,94.191,18.37,25.05,process_tree,2.03,process_tree,657.44
610000,1156.191,86.455,28.748,14.280000000000001,process_tree,2.03,process_tree,658.11
620000,1166.222,100.0,0.0,20.294999999999998,process_tree,2.03,process_tree,658.3
630000,1176.685,85.829,34.713,20.675,process_tree,2.03,process_tree,658.36
640000,1186.792,100.0,0.0,7.12,process_tree,2.03,process_tree,658.27
650000,1197.535,100.0,0.0,6.415000000000001,process_tree,2.03,process_tree,658.07
660000,1208.587,100.0,0.0,22.169999999999998,process_tree,2.03,process_tree,658.39
670000,1220.618,100.0,0.0,17.895,process_tree,2.03,process_tree,658.15
680000,1231.877,100.0,0.0,17.895,process_tree,2.03,process_tree,657.9
