step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,54.4,system,
10000,25.79,1.165,0.715,6.4399999999999995,process_tree,2.01,process_tree,651.69
20000,42.239,1.256,0.711,10.74,process_tree,2.02,process_tree,653.93
30000,63.799,1.414,0.93,12.225,process_tree,2.02,process_tree,654.04
40000,79.663,1.767,1.11,13.6,process_tree,2.02,process_tree,655.27
50000,95.537,2.23,1.415,16.975,process_tree,2.02,process_tree,654.88
60000,116.438,2.692,1.965,15.02,process_tree,2.02,process_tree,655.35
70000,131.937,3.795,2.681,10.7,process_tree,2.03,process_tree,656.09
80000,146.727,6.076,5.018,20.77,process_tree,2.03,process_tree,656.23
90000,166.015,8.824,7.47,8.55,process_tree,2.02,process_tree,655.41
100000,181.172,13.538,14.269,12.855,process_tree,2.03,process_tree,656.41
110000,196.508,17.685,19.364,15.885000000000002,process_tree,2.03,process_tree,656.22
120000,217.583,24.355,17.506,16.355,process_tree,2.03,process_tree,656.21
130000,232.806,19.467,17.213,23.5,process_tree,2.03,process_tree,656.5
140000,241.158,24.106,21.122,16.435,process_tree,2.03,process_tree,656.18
150000,251.217,50.284,37.992,8.584999999999999,process_tree,2.04,process_tree,662.32
160000,263.399,72.329,35.725,11.41,process_tree,2.03,process_tree,657.46
170000,277.126,36.975,35.102,10.005,process_tree,2.03,process_tree,657.84
180000,295.032,32.441,30.257,11.45,process_tree,2.03,process_tree,656.69
190000,308.393,37.7,27.163,10.03,process_tree,2.03,process_tree,657.55
200000,322.072,27.239,24.516,6.45,process_tree,2.03,process_tree,658.78
210000,340.05,33.733,23.951,17.82,process_tree,2.03,process_tree,657.74
220000,353.82,54.064,30.812,7.869999999999999,process_tree,2.03,process_tree,657.9
230000,367.744,71.521,38.065,6.45,process_tree,2.03,process_tree,658.67
240000,386.057,62.144,32.93,26.47,process_tree,2.03,process_tree,658.21
250000,399.591,43.95,32.991,14.219999999999999,process_tree,2.03,process_tree,657.49
260000,413.398,35.422,30.376,13.61,process_tree,2.03,process_tree,658.71
270000,432.365,39.388,34.87,20.669999999999998,process_tree,2.03,process_tree,658.09
280000,447.094,63.15,29.247,19.18,process_tree,2.03,process_tree,658.58
290000,461.899,75.44,24.235,17.905,process_tree,2.03,process_tree,658.7
300000,479.678,58.8,32.26,17.580000000000002,process_tree,2.03,process_tree,657.59
310000,494.078,49.911,30.608,6.404999999999999,process_tree,2.03,process_tree,658.18
320000,508.573,30.932,23.374,6.425,process_tree,2.03,process_tree,658.01
330000,528.232,58.543,34.133,10.735,process_tree,2.03,process_tree,658.27
340000,543.736,80.073,26.871,6.45,process_tree,2.03,process_tree,658.23
350000,559.706,29.043,34.577,31.689999999999998,process_tree,2.03,process_tree,658.65
360000,581.259,14.668,14.325,19.305,process_tree,2.03,process_tree,658.0
370000,597.179,36.738,38.332,12.885,process_tree,2.03,process_tree,658.37
380000,612.918,100.0,0.0,15.680000000000001,process_tree,2.03,process_tree,658.33
390000,632.182,100.0,0.0,10.709999999999999,process_tree,2.03,process_tree,658.76
