step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,72.5,system,
10000,11.034,1.176,0.691,4.26,process_tree,2.01,process_tree,651.24
20000,21.167,1.231,0.743,5.015,process_tree,2.03,process_tree,656.44
30000,31.489,1.408,0.834,4.970000000000001,process_tree,2.03,process_tree,656.92
40000,41.665,1.656,1.123,16.35,process_tree,2.03,process_tree,657.2
50000,52.385,2.15,1.488,7.255,process_tree,2.03,process_tree,657.11
60000,63.512,2.525,1.912,14.310000000000002,process_tree,2.03,process_tree,657.09
70000,74.26,3.126,2.308,22.175,process_tree,2.03,process_tree,656.97
80000,84.157,4.415,4.004,13.495,process_tree,2.03,process_tree,657.0
90000,93.748,5.065,4.268,12.135,process_tree,2.03,process_tree,656.91
100000,103.11,6.52,6.072,5.015,process_tree,1.64,process_tree,531.75
